Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Vega,Esther Vega,-813602,Junior,Junior,https://cdn5.wyscout.com/photos/team/public/g-15494_120x120.png,Liga Femenina BetPlay,LB,LB,100,,0,,0,17.0,2008-10-27,0,,8,798,0,0.0,0,0.03,15.0,59.4,Colombia,['Colombia'],unknown,0,0,False,14.21,9.14,74.07,0.79,42.86,1.13,1.5,0.23,6.32,8.4,0.68,1,0.11,0,0.0,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.23,1.02,44.44,3.38,30.0,0.11,0.56,0.23,4.4,0.0,0.56,14.44,56.25,9.14,50.62,0.9,75.0,11.95,62.26,2.26,30.0,17.11,31.68,0.0,0.23,0.0,0.0,0.0,0.0,0.0,2.59,56.52,0.34,0.0,0.11,0.0,0.0,0.0,5.41,37.5,68.75,1.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.79,0.0,0.0,0.0,0.0,0,0.0
L. Basanta,Leury Isabel Basanta Gil,-333289,América de Cali,América de Cali,https://cdn5.wyscout.com/photos/team/public/g38631_120x120.png,Liga Femenina BetPlay,LB,LB,95,,0,,0,33.0,1993-04-07,0,,8,796,1,1.17,1,0.51,17.3,56.86,Venezuela,['Venezuela'],unknown,0,0,False,10.06,6.9,67.21,3.2800000000000002,34.48,0.23,0.43,0.0,5.2,10.0,1.13,1,0.11,0,0.0,2.71,0.11,1,0.11,0.13,0,0.0,4,0.45,25.0,25.0,0.11,2.04,33.33,2.04,33.33,0.0,0.0,0.5700000000000001,1.92,88.24,5.77,58.82,0.9,1.47,0.23,21.93,2.04,1.58,34.37,75.33,15.6,71.01,3.39,96.67,29.51,79.69,2.83,60.0,17.68,37.98,0.06,0.5700000000000001,0.0,0.0,0.23,100.0,0.45,5.2,71.74,2.49,45.45,0.11,100.0,0.5700000000000001,0.79,10.97,71.13,79.07,9.72,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
L. Navarro,Laura Daniela Navarro Suesca,-333581,Junior,Junior,https://cdn5.wyscout.com/photos/team/public/g-15494_120x120.png,Liga Femenina BetPlay,"RCMF3, RDMF, RCMF",RCMF3,37,RDMF,25,RCMF,17,25.0,2000-11-01,0,,8,790,0,0.05,0,0.41000000000000003,20.62,51.38,Colombia,['Colombia'],unknown,0,0,False,9.68,9.0,72.15,2.05,50.0,0.11,0.15,0.11,3.08,4.09,1.25,2,0.23,0,0.0,0.5700000000000001,0.0,0,0.0,0.01,0,0.0,4,0.46,25.0,0.0,0.0,0.34,0.0,0.23,0.0,0.11,0.0,0.11,1.48,30.77,7.06,30.65,0.11,0.5700000000000001,0.11,10.14,0.68,0.8,20.85,66.67,10.82,60.0,2.39,90.48,17.43,71.24,3.08,48.15,18.32,35.07,0.05,0.34,0.0,0.0,0.0,0.0,0.11,4.5600000000000005,60.0,1.1400000000000001,40.0,0.11,0.0,0.5700000000000001,0.11,5.24,67.39,65.79,4.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.05,0.46,0.0,0.0,0.34,0,0.0
L. Montaño,Luiza Fernanda Montaño Angulo,-333388,Internacional Palmira,Internacional Palmira,https://cdn5.wyscout.com/photos/team/public/g-20982_120x120.png,Liga Femenina BetPlay,"LCB, RCB",LCB,84,RCB,12,,0,26.0,2000-01-16,0,,8,785,4,2.63,0,0.13,12.38,62.04,Colombia,['Colombia'],unknown,0,0,False,8.25,4.93,76.74,2.75,54.17,0.5700000000000001,0.91,0.0,3.9,6.22,0.5700000000000001,2,0.23,0,0.0,0.92,0.46,1,0.11,0.30000000000000004,1,0.11,7,0.8,71.43,57.143,0.0,0.23,50.0,0.23,50.0,0.0,0.0,0.0,0.5700000000000001,40.0,2.64,52.17,0.5700000000000001,0.11,0.0,13.53,0.11,1.26,29.81,76.54,16.17,65.96,2.29,95.0,19.72,88.37,9.86,53.49,23.03,34.51,0.01,0.23,0.0,0.0,0.0,0.0,0.34,6.76,59.32,0.92,37.5,0.5700000000000001,40.0,0.11,0.11,8.6,65.33,89.19,8.48,0,,0,,0,0.0,0.0,0.0,,,1.72,,2.75,0.0,0.0,0.0,0.0,3,100.0
A. Caicedo Caicedo,Angélica María Caicedo Caicedo,-333387,Internacional Palmira,Internacional Palmira,https://cdn5.wyscout.com/photos/team/public/g-20982_120x120.png,Liga Femenina BetPlay,"LB, LAMF, RAMF",LB,24,LAMF,23,RAMF,18,23.0,2002-06-11,0,,8,785,2,0.72,0,0.25,23.04,44.78,Colombia,['Colombia'],unknown,0,0,False,9.52,6.99,65.57,4.13,52.78,0.23,0.37,0.34,4.7,7.5,1.49,2,0.23,0,0.0,2.75,0.23,2,0.23,0.08,1,0.11,7,0.8,57.14,28.571,0.0,1.38,16.67,0.23,0.0,0.92,25.0,0.34,4.01,51.43,9.52,31.33,3.44,2.52,0.6900000000000001,11.58,2.41,0.6900000000000001,24.65,65.58,8.25,55.56,5.16,88.89,21.55,71.28,1.72,33.33,15.28,25.93,0.03,0.8,0.11,0.0,0.11,0.0,0.34,2.64,56.52,2.18,26.32,0.11,0.0,0.8,0.34,3.67,62.5,56.0,5.73,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.13,0.0,0.0,0.0,0.0,0,0.0
Á. Acosta,Ángela Tatiana Acosta Suárez,-333179,Real Santander,Real Santander,https://cdn5.wyscout.com/photos/team/public/g38689_120x120.png,Liga Femenina BetPlay,GK,GK,100,,0,,0,22.0,2003-07-21,0,,8,781,0,0.08,0,0.18,1.73,53.33,Colombia,['Colombia'],unknown,172,64,False,3.46,0.46,50.0,0.58,80.0,0.0,0.0,0.0,3.23,4.06,0.12,0,0.0,0,0.0,0.35000000000000003,0.0,0,0.0,0.01,0,0.0,7,0.81,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,50.0,0.35000000000000003,33.33,0.0,0.0,0.0,8.64,0.0,0.12,21.66,56.91,17.63,51.63,0.0,0.0,5.42,87.23,15.9,47.83,43.17,48.76,0.02,0.12,0.0,0.0,0.0,0.0,0.0,3.69,34.38,0.46,0.0,0.12,0.0,0.0,0.0,11.52,56.0,86.21,3.34,12,1.38,49,5.65,3,75.51,12.17,1.4,0.17,0.02,0.0,2.65,0.58,,,,0.0,0,0.0
D. Carrasquilla,Dayana Carrasquilla,-683814,Junior,Junior,https://cdn5.wyscout.com/photos/team/public/g-15494_120x120.png,Liga Femenina BetPlay,"RB, RCB",RB,82,RCB,13,,0,,,0,,8,780,0,0.6000000000000001,0,0.12,19.04,58.18,Colombia,['Colombia'],unknown,0,0,False,12.35,10.96,71.58,0.6900000000000001,50.0,0.23,0.30000000000000004,0.23,4.27,5.63,1.38,1,0.12,0,0.0,0.46,0.0,0,0.0,0.07,0,0.0,1,0.12,0.0,0.0,0.0,0.46,25.0,0.0,0.0,0.46,25.0,0.0,0.58,60.0,4.38,28.95,0.12,0.23,0.0,6.12,0.35000000000000003,0.46,12.46,66.67,6.35,61.82,1.04,55.56,10.27,71.91,1.73,46.67,18.58,30.91,0.01,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,1.96,47.06,0.46,25.0,0.0,0.0,0.12,0.12,3.58,61.29,81.48,3.12,0,,0,,0,0.0,0.0,0.0,,,0.23,,0.6900000000000001,0.0,0.0,0.0,0.0,0,0.0
M. Muñoz,Mariana Muñoz Ramírez,-333043,América de Cali,América de Cali,https://cdn5.wyscout.com/photos/team/public/g38631_120x120.png,Liga Femenina BetPlay,"RWF, RW, LCMF3",RWF,34,RW,20,LCMF3,13,23.0,2003-01-02,0,,8,780,2,1.25,1,1.07,18.81,47.85,Colombia,['Colombia'],unknown,0,0,False,8.88,6.35,78.18,2.77,33.33,0.0,0.0,0.0,3.92,7.5,1.27,0,0.0,0,0.0,2.54,0.23,2,0.23,0.14,0,0.0,13,1.5,23.08,15.385,0.12,2.19,47.37,0.81,28.57,1.38,58.33,0.35000000000000003,2.31,50.0,7.38,37.5,2.77,0.92,0.12,26.65,2.08,1.5,35.31,79.08,7.96,63.77,8.77,94.74,31.96,83.03,1.15,30.0,15.97,20.87,0.12,1.04,0.0,0.0,0.12,0.0,0.81,3.46,66.67,2.88,40.0,0.46,0.0,0.92,1.15,3.69,78.13,77.42,10.73,0,,0,,0,0.0,0.0,0.0,,,0.12,,2.77,0.0,0.0,0.0,0.0,0,0.0
A. Apraez,Alejandra Yaqueline Apraez Guerrero,-409422,Llaneros,Llaneros,https://cdn5.wyscout.com/photos/team/public/g-15492_120x120.png,Liga Femenina BetPlay,"DMF, RDMF, CB",DMF,58,RDMF,22,CB,10,26.0,1999-06-07,0,,8,780,0,0.59,0,0.28,22.15,55.21,Colombia,['Colombia'],unknown,0,0,False,13.04,7.5,60.0,2.77,50.0,0.46,0.71,0.81,8.08,12.43,1.62,0,0.0,0,0.0,2.08,0.0,0,0.0,0.07,0,0.0,20,2.31,25.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.23,0.0,0.0,2.42,61.9,8.31,56.94,0.12,0.6900000000000001,0.0,27.46,0.35000000000000003,3.46,50.19,66.9,29.19,58.5,5.31,93.48,38.42,75.38,11.42,40.4,21.07,34.79,0.03,0.58,0.0,0.0,0.12,0.0,0.23,12.23,49.06,2.88,12.0,1.96,23.53,0.58,0.12,12.92,60.71,80.95,9.69,0,,0,,0,0.0,0.0,0.0,,,0.81,,2.77,1.5,0.58,40.0,0.0,0,0.0
P. Montáñez,Paula Montáñez,-333021,Llaneros,Llaneros,https://cdn5.wyscout.com/photos/team/public/g-15492_120x120.png,Liga Femenina BetPlay,GK,GK,100,,0,,0,22.0,2003-05-16,0,,8,780,0,0.0,0,0.0,1.15,90.0,Colombia,['Colombia'],unknown,0,0,False,0.6900000000000001,0.0,0.0,0.92,87.5,0.0,0.0,0.0,0.6900000000000001,1.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,9.92,0.12,0.46,18.69,80.86,9.92,67.44,0.0,0.0,11.65,98.02,7.04,52.46,27.55,38.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,45.45,96.92,7.5,9,1.04,45,5.19,4,80.0,10.54,1.22,1.54,0.178,0.0,1.5,0.92,,,,0.0,0,0.0
