Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Burns,Emily Raechel Burns,-283714,Nantes,Nantes,https://cdn5.wyscout.com/photos/team/public/g32633_120x120.png,Première Ligue,GK,GK,100,,0,,0,28.0,1997-07-24,0,,23,2263,0,0.0,0,0.0,0.72,94.44,Canada,['Canada'],unknown,0,0,False,1.15,0.12,100.0,0.44,90.91,0.0,0.0,0.0,1.03,1.35,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,18.81,0.04,0.4,25.25,90.39,9.54,78.75,0.04,100.0,21.36,97.58,3.86,51.55,22.48,36.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,28.38,98.36,14.52,42,1.67,145,5.77,5,71.03,47.49,1.8900000000000001,5.49,0.218,0.0,1.31,0.44,,,,0.0,0,0.0
A. Pinguet,Alice Pinguet,-197858,Saint-Étienne,Saint-Étienne,https://cdn5.wyscout.com/photos/team/public/g5776_120x120.png,Première Ligue,GK,GK,100,,0,,0,23.0,2002-06-29,0,,22,2203,0,0.0,0,0.0,0.86,76.19,France,['France'],,0,0,False,2.41,0.08,0.0,0.25,100.0,0.04,0.05,0.0,2.37,2.87,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,100.0,0.0,0.0,0.0,12.71,0.16,0.49,20.75,81.1,11.97,70.65,0.0,0.0,9.85,97.51,10.87,66.54,32.85,41.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,36.0,0.04,0.0,0.0,0.0,0.0,0.0,7.11,71.26,96.5,8.17,38,1.55,105,4.29,3,63.81,34.29,1.4,-3.71,-0.152,0.0,1.5899999999999999,0.25,,,,0.0,0,0.0
M. Wahl,Manon Wahl,-186904,Strasbourg,Strasbourg,https://cdn5.wyscout.com/photos/team/public/g-15126_120x120.png,Première Ligue,GK,GK,100,,0,,0,24.0,2001-06-27,0,,22,2179,0,0.0,0,0.14,0.99,79.17,France,['France'],right,170,0,False,2.44,0.25,33.33,0.33,100.0,0.04,0.05,0.0,2.31,2.99,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,18.55,0.45,0.33,31.02,88.81,15.08,80.0,0.04,100.0,21.06,98.63,9.95,68.05,25.84,38.59,0.01,0.04,0.04,0.0,0.0,0.0,0.0,0.8300000000000001,30.0,0.08,0.0,0.08,0.0,0.0,0.0,6.61,68.75,97.41,14.33,39,1.6099999999999999,128,5.29,7,69.53,34.89,1.44,-4.11,-0.17,0.04,1.53,0.33,,,,0.0,0,0.0
C. Picaud,Constance Picaud,401133,Fleury 91,Fleury 91,https://cdn5.wyscout.com/photos/team/public/g39850_120x120.png,Première Ligue,GK,GK,100,,0,,0,27.0,1998-07-05,0,,22,2160,0,0.0,0,0.41000000000000003,0.92,81.82,France,['France'],right,180,0,False,2.21,0.17,50.0,0.42,100.0,0.04,0.05,0.0,2.08,2.64,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,66.67,0.0,0.0,0.0,16.58,0.21,0.25,27.08,83.85,13.58,71.17,0.0,0.0,18.79,96.23,8.29,55.78,27.34,43.41,0.02,0.04,0.0,0.04,0.0,0.0,0.0,0.88,19.05,0.0,0.0,0.08,0.0,0.0,0.0,6.21,57.05,96.19,12.04,25,1.04,107,4.46,8,76.64,27.4,1.1400000000000001,2.4,0.1,0.0,2.04,0.42,,,,0.0,0,0.0
M. Earps,Mary Earps,183695,PSG,PSG,https://cdn5.wyscout.com/photos/team/public/g5286_120x120.png,Première Ligue,GK,GK,100,,0,,0,33.0,1993-03-07,0,,22,2151,0,0.0,1,0.0,0.21,80.0,England,['England'],right,173,0,False,1.5899999999999999,0.08,50.0,0.13,100.0,0.0,0.0,0.0,1.55,2.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,0.25,0.0,21.3,91.55,8.54,82.84,0.0,0.0,16.49,98.73,4.8100000000000005,66.96,25.34,40.62,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.42,30.0,0.08,0.0,0.0,0.0,0.0,0.0,2.89,63.77,97.46,11.55,18,0.75,56,2.34,12,67.86,16.61,0.7000000000000001,-1.3900000000000001,-0.058,0.0,0.67,0.13,,,,0.0,0,0.0
M. Cosson,Maureen Cosson,414954,Nantes,Nantes,https://cdn5.wyscout.com/photos/team/public/g32633_120x120.png,Première Ligue,"LCB3, LCB",LCB3,51,LCB,24,,0,29.0,1996-07-11,0,,22,2151,2,1.6600000000000001,0,0.17,14.44,59.13,France,['France'],,0,0,False,10.42,6.78,70.99,2.7199999999999998,47.69,0.42,0.54,0.29,5.19,6.73,0.63,3,0.13,0,0.0,1.17,0.08,2,0.08,0.07,0,0.0,22,0.92,36.36,9.091,0.0,0.5,25.0,0.46,27.27,0.04,0.0,0.08,0.88,71.43,3.26,43.59,0.63,1.13,0.0,35.61,0.33,0.67,51.09,81.9,23.85,72.81,4.27,98.04,45.02,87.55,5.5600000000000005,41.35,20.39,41.14,0.01,0.17,0.0,0.0,0.17,50.0,0.04,7.03,60.71,1.13,37.04,0.79,47.37,0.21,0.13,10.13,59.09,91.03,18.66,0,,0,,0,0.0,0.0,0.0,,,2.09,,2.7199999999999998,0.04,0.0,0.0,0.0,0,0.0
N. Carage,Noémie Carage,213239,Dijon,Dijon,https://cdn5.wyscout.com/photos/team/public/g16384_120x120.png,Première Ligue,LCB,LCB,89,,0,,0,29.0,1996-09-09,0,,22,2127,0,0.67,0,0.05,10.28,58.85,France,['France'],,0,0,False,9.31,5.8,70.8,1.9,51.11,0.17,0.19,0.68,5.04,5.8,0.34,4,0.17,0,0.0,0.42,0.0,0,0.0,0.03,0,0.0,3,0.13,33.33,0.0,0.0,0.13,33.33,0.08,50.0,0.0,0.0,0.0,0.59,57.14,1.4,39.39,0.13,0.34,0.0,42.27,0.04,0.34,58.86,89.07,24.63,79.21,3.64,98.84,53.02,92.58,5.71,57.78,20.07,34.38,0.0,0.17,0.04,0.0,0.0,0.0,0.0,4.19,73.74,0.42,50.0,0.30000000000000004,57.14,0.13,0.04,9.52,60.44,97.34,27.0,0,,0,,0,0.0,0.0,0.0,,,2.12,,1.9,0.0,0.0,0.0,0.0,0,0.0
E. Kouache,Eva Kouache,465296,Le Havre,Le Havre,https://cdn5.wyscout.com/photos/team/public/g-9116_120x120.png,Première Ligue,RB,RB,94,,0,,0,26.0,2000-01-07,0,,22,2117,0,0.02,1,0.62,14.33,61.13,France,['France'],,0,0,False,12.37,9.69,67.98,1.45,41.18,0.09,0.09,0.17,5.7,5.82,0.43,1,0.04,0,0.0,0.98,0.0,0,0.0,0.0,0,0.0,2,0.09,0.0,0.0,0.04,1.7000000000000002,37.5,0.0,0.0,1.7000000000000002,37.5,0.09,0.6000000000000001,57.14,2.0,51.06,0.13,0.68,0.13,19.09,0.43,0.77,32.52,65.36,18.92,60.45,2.59,85.25,24.57,73.01,6.25,42.86,20.0,33.01,0.03,0.43,0.0,0.0,0.0,0.0,0.17,6.55,55.19,1.9100000000000001,44.44,0.47000000000000003,36.36,0.30000000000000004,0.64,9.57,63.11,73.38,6.55,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.45,0.09,0.0,0.0,0.0,0,0.0
K. Korošec,Kaja Korošec,467245,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,"LDMF, DMF, RDMF",LDMF,51,DMF,30,RDMF,11,24.0,2001-11-17,0,,22,2113,2,2.87,1,0.25,15.33,65.0,Slovenia,['Slovenia'],,0,0,False,10.35,7.54,79.1,3.07,66.67,0.38,0.55,0.43,4.0,5.79,0.47000000000000003,2,0.09,0,0.0,0.85,0.09,1,0.04,0.12,0,0.0,16,0.68,50.0,12.5,0.04,0.51,33.33,0.43,30.0,0.09,50.0,0.0,0.47000000000000003,63.64,3.2800000000000002,41.56,0.85,0.21,0.09,26.92,0.26,0.64,43.53,82.88,13.84,64.31,8.52,98.0,37.01,88.61,6.05,51.41,19.42,32.55,0.01,0.30000000000000004,0.0,0.0,0.04,100.0,0.04,7.84,63.59,1.62,36.84,0.89,19.05,0.6000000000000001,0.13,6.3,72.3,92.31,15.5,0,,0,,0,0.0,0.0,0.0,,,2.09,,3.07,0.0,0.0,0.0,0.0,1,100.0
M. Chavas,Mylène Chavas,323664,Paris,Paris,https://cdn5.wyscout.com/photos/team/public/g39849_120x120.png,Première Ligue,GK,GK,100,,0,,0,28.0,1998-01-07,0,,22,2096,0,0.0,0,0.0,0.9,95.24,France,['France'],right,178,0,False,2.06,0.13,100.0,0.56,100.0,0.04,0.06,0.0,1.8900000000000001,2.7,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.0,0.0,0.0,18.85,0.26,0.17,27.27,88.19,15.33,81.23,0.0,0.0,19.49,98.02,7.77,63.54,26.41,38.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,41.67,0.0,0.0,0.0,0.0,0.0,0.0,5.37,56.0,97.65,10.95,14,0.6000000000000001,69,2.96,12,79.71,18.08,0.78,4.08,0.17500000000000002,0.0,1.8900000000000001,0.56,,,,0.0,0,0.0
