Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Yi Yan,Lee Yi Yan,-760536,Sha Tin,Sha Tin,https://cdn5.wyscout.com/photos/team/public/g-17155_120x120.png,1st Division,GK,GK,100,,0,,0,,,0,,17,1610,0,0.0,0,0.0,0.5,44.44,Hong Kong,['Hong Kong'],unknown,0,0,False,1.79,0.11,0.0,0.06,0.0,0.06,0.08,0.0,1.73,2.52,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,5.2,0.17,0.11,14.31,80.47,7.88,65.96,0.0,0.0,9.5,94.71,4.8100000000000005,52.33,27.56,39.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.69,40.91,98.17,6.09,28,1.57,94,5.25,4,70.21,22.12,1.24,-5.88,-0.329,0.0,0.45,0.06,,,,0.0,0,0
Chan Wing Sze,Wing Sze Chan,99533,Sha Tin,Sha Tin,https://cdn5.wyscout.com/photos/team/public/g-17155_120x120.png,1st Division,"RDMF, DMF, LCMF",RDMF,38,DMF,32,LCMF,10,42.0,1983-09-11,0,,17,1610,3,1.25,0,1.35,22.14,57.32,Hong Kong,['Hong Kong'],,0,0,False,14.59,8.89,76.73,2.8,72.0,0.0,0.0,0.34,7.77,11.3,0.39,0,0.0,0,0.0,1.6800000000000002,0.17,3,0.17,0.07,1,0.06,26,1.45,30.77,11.538,0.0,1.6800000000000002,16.67,0.61,27.27,0.9500000000000001,11.76,0.28,1.6800000000000002,56.67,7.32,37.4,1.06,1.01,0.06,23.2,1.12,0.89,49.58,63.13,22.14,50.0,5.53,88.89,39.58,69.92,8.33,40.27,19.51,33.15,0.08,0.5,0.06,0.06,0.06,0.0,0.06,12.02,52.09,3.47,29.03,1.17,38.1,0.84,0.39,10.62,63.16,70.96,15.2,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.8,0.34,0.06,0.0,0.28,0,0
Ma Chak Shun,Chak Shun Ma,-109109,TSL FC,TSL FC,https://cdn5.wyscout.com/photos/team/public/g-17162_120x120.png,1st Division,LCB,LCB,100,,0,,0,30.0,1996-03-02,0,,17,1609,1,0.78,0,0.30000000000000004,9.23,58.79,Hong Kong,['Hong Kong'],,0,0,False,6.26,4.75,72.94,1.29,60.87,0.22,0.43,0.11,2.5700000000000003,4.95,0.45,1,0.06,0,0.0,0.28,0.06,1,0.06,0.04,1,0.06,7,0.39,42.86,14.286,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.17,33.33,1.9,23.53,0.84,0.62,0.0,29.93,0.06,0.34,50.57,82.52,25.62,74.67,1.23,90.91,44.92,88.42,5.59,35.0,20.11,29.51,0.02,0.17,0.06,0.06,0.0,0.0,0.06,6.82,65.57,0.62,18.18,0.28,20.0,0.06,0.06,11.19,71.0,93.39,20.3,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.29,0.0,0.0,0.0,0.0,0,0
Chan Tsz Shan,Tsz Shan Chan,-387887,TSL FC,TSL FC,https://cdn5.wyscout.com/photos/team/public/g-17162_120x120.png,1st Division,RCB,RCB,100,,0,,0,21.0,2005-01-19,0,,17,1575,4,1.6099999999999999,5,0.42,5.66,67.68,Hong Kong,['Hong Kong'],unknown,0,0,False,4.97,2.4,80.95,0.91,68.75,0.11,0.22,0.23,2.91,5.5600000000000005,0.23,1,0.06,0,0.0,0.8,0.23,4,0.23,0.09,1,0.06,8,0.46,75.0,50.0,0.29,0.11,50.0,0.0,0.0,0.11,50.0,0.0,0.5700000000000001,60.0,1.37,45.83,0.5700000000000001,0.91,0.0,27.03,0.23,0.29,46.74,76.65,23.31,61.52,1.71,90.0,35.6,88.44,11.03,38.86,24.18,36.75,0.02,0.29,0.06,0.06,0.11,50.0,0.34,10.63,53.23,1.31,26.09,1.49,30.77,0.34,0.06,10.63,72.58,92.96,19.49,0,,0,,0,0.0,0.0,0.0,,,1.03,,0.91,0.11,0.0,0.0,0.0,0,0
Chan Wing Lam,Wing Lam Chan,-308219,TSL FC,TSL FC,https://cdn5.wyscout.com/photos/team/public/g-17162_120x120.png,1st Division,DMF,DMF,87,,0,,0,22.0,2003-07-30,0,,17,1535,1,0.9400000000000001,7,3.26,13.31,59.47,Hong Kong,['Hong Kong'],unknown,0,0,False,9.79,4.63,82.28,1.82,61.29,0.0,0.0,0.12,5.98,11.55,0.06,0,0.0,0,0.0,1.35,0.06,1,0.06,0.06,0,0.0,21,1.23,42.86,4.7620000000000005,0.41000000000000003,0.7000000000000001,25.0,0.18,33.33,0.53,22.22,0.18,1.0,52.94,4.4,36.0,0.8200000000000001,0.53,0.06,31.78,0.12,0.7000000000000001,51.19,74.57,22.87,61.28,5.8,90.91,40.87,82.93,9.62,42.68,20.65,35.22,0.19,1.29,0.12,0.06,0.29,40.0,0.53,15.42,63.5,2.99,41.18,2.35,40.0,1.29,0.12,11.2,78.53,86.29,17.53,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.82,1.82,0.18,66.67,0.7000000000000001,0,0
Chu Sin Kwan,Sin Kwan Chu,-388000,Sha Tin,Sha Tin,https://cdn5.wyscout.com/photos/team/public/g-17155_120x120.png,1st Division,"LCB, RCB",LCB,55,RCB,41,,0,21.0,2004-09-24,0,,17,1529,1,0.59,0,0.0,11.18,64.74,Hong Kong,['Hong Kong'],unknown,0,0,False,10.18,7.59,68.99,0.71,58.33,0.35000000000000003,0.51,0.65,4.59,6.57,0.47000000000000003,2,0.12,0,0.0,0.29,0.06,1,0.06,0.03,0,0.0,7,0.41000000000000003,28.57,14.286,0.0,0.12,50.0,0.06,100.0,0.06,0.0,0.0,0.29,40.0,1.94,51.52,0.47000000000000003,0.65,0.0,21.84,0.18,0.53,39.32,71.56,19.01,55.73,1.4100000000000001,83.33,31.67,81.23,7.53,31.25,23.28,34.59,0.0,0.0,0.06,0.06,0.06,0.0,0.06,6.65,40.71,0.8200000000000001,21.43,0.41000000000000003,0.0,0.12,0.06,9.12,52.26,90.73,15.25,0,,0,,0,0.0,0.0,0.0,,,0.71,,0.71,0.18,0.0,0.0,0.0,0,0
Leung Wai Nga,Wai Nga Leung,-109087,Kitchee,Kitchee,https://cdn5.wyscout.com/photos/team/public/g-17160_120x120.png,1st Division,GK,GK,100,,0,,0,37.0,1988-08-24,0,,16,1522,0,0.0,0,0.0,0.41000000000000003,57.14,Hong Kong,['Hong Kong'],,172,0,False,1.6,0.06,0.0,0.12,100.0,0.0,0.0,0.0,1.6,2.95,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.39,0.0,0.06,14.49,83.27,8.1,70.8,0.0,0.0,9.52,98.76,4.97,53.57,27.72,41.32,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.47000000000000003,50.0,0.0,0.0,0.06,0.0,0.0,0.0,3.31,64.29,98.97,5.74,7,0.41000000000000003,36,2.13,11,80.56,7.94,0.47000000000000003,0.9400000000000001,0.056,0.0,0.65,0.12,,,,0.0,0,0
Chu So Kwan,So Kwan Chu,-387950,Kitchee,Kitchee,https://cdn5.wyscout.com/photos/team/public/g-17160_120x120.png,1st Division,"LB, LCB3, LWB",LB,58,LCB3,17,LWB,15,22.0,2004-03-03,0,,16,1520,2,1.78,1,1.3,12.67,56.07,Hong Kong,['Hong Kong'],unknown,0,0,False,8.35,4.74,76.25,0.30000000000000004,40.0,0.12,0.22,0.0,4.62,8.73,0.24,0,0.0,0,0.0,2.37,0.12,2,0.12,0.11,1,0.06,10,0.59,40.0,20.0,0.06,2.31,30.77,1.8900000000000001,28.13,0.41000000000000003,42.86,0.41000000000000003,1.72,82.76,5.98,45.54,1.07,1.72,0.12,32.45,0.71,0.65,46.3,78.52,17.7,67.56,8.17,94.2,41.8,83.29,2.19,37.84,19.36,29.35,0.08,1.07,0.18,0.0,0.0,0.0,0.36,9.41,67.3,3.26,36.36,0.24,0.0,0.89,0.65,10.42,81.82,83.12,14.03,0,,0,,0,0.0,0.0,0.0,,,0.24,,0.30000000000000004,0.0,0.0,0.0,0.47000000000000003,1,0
Ip Yuen Tung,Yuen Tung Ip,-387908,WSE,WSE,https://cdn5.wyscout.com/photos/team/public/g-17156_120x120.png,1st Division,"LCB, LCB3",LCB,75,LCB3,13,,0,34.0,1991-09-20,0,,16,1510,2,0.53,0,0.0,8.52,69.23,Hong Kong,['Hong Kong'],unknown,0,0,False,10.31,5.07,78.82,0.9500000000000001,56.25,0.06,0.06,0.72,6.26,6.79,0.12,0,0.0,0,0.0,0.12,0.12,2,0.12,0.03,2,0.12,3,0.18,66.67,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,77.78,0.18,0.0,0.0,6.5,0.0,0.6000000000000001,19.61,55.62,13.53,47.14,0.42,85.71,12.99,69.72,6.62,27.93,22.02,31.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,33.33,0.30000000000000004,0.0,0.12,50.0,0.0,0.0,6.44,29.63,75.0,4.29,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.9500000000000001,0.06,0.0,0.0,0.0,0,0
S. Wong,Sze Wai Wong,-451747,Tuen Mun,Tuen Mun,https://cdn5.wyscout.com/photos/team/public/g-17171_120x120.png,1st Division,"LCB, RCB, LCB3",LCB,67,RCB,19,LCB3,12,33.0,1993-01-18,0,,16,1502,0,0.18,0,0.0,8.57,62.94,Hong Kong,['Hong Kong'],unknown,0,0,False,11.98,5.63,77.66,0.72,58.33,0.0,0.0,1.2,7.61,8.64,0.12,1,0.06,0,0.0,0.06,0.0,0,0.0,0.01,0,0.0,1,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.18,33.33,1.38,17.39,0.18,0.0,0.0,2.7,0.12,0.06,13.3,59.01,6.05,45.54,0.6000000000000001,80.0,10.97,63.93,2.2800000000000002,36.84,17.51,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,20.0,0.06,0.0,0.0,0.0,0.06,0.0,4.13,10.14,67.14,4.19,0,,0,,0,0.0,0.0,0.0,,,0.24,,0.72,0.0,0.0,0.0,0.0,0,0
