Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. McQuillan,Amanda McQuillan,306158,Shelbourne,Shelbourne,https://cdn5.wyscout.com/photos/team/public/g34391_120x120.png,Women's Premier League,GK,GK,100,,0,,0,27.0,1998-03-24,0,,22,2116,0,0.0,0,0.0,0.51,83.33,Republic of Ireland,['Republic of Ireland'],,170,0,False,2.13,0.04,100.0,0.30000000000000004,85.71,0.0,0.0,0.0,2.08,3.15,0.0,5,0.21,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.09,100.0,0.04,0.0,0.0,15.48,0.34,0.13,24.97,76.32,17.06,68.08,0.04,100.0,9.78,94.35,15.18,64.71,36.34,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,57.75,0.0,0.0,0.17,50.0,0.0,0.0,10.42,68.57,94.35,7.53,25,1.06,83,3.5300000000000002,7,69.88,23.43,1.0,-1.57,-0.067,0.04,0.6000000000000001,0.30000000000000004,,,,0.0,0,0.0
M. O'Sullivan,Maria O'Sullivan,-241489,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g20687_120x120.png,Women's Premier League,GK,GK,100,,0,,0,24.0,2001-02-11,0,,22,2107,0,0.0,0,0.0,0.85,80.0,Republic of Ireland,['Republic of Ireland'],,175,0,False,1.96,0.09,50.0,0.51,83.33,0.0,0.0,0.0,1.92,2.5700000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,21.53,0.47000000000000003,0.17,32.72,85.64,15.29,73.46,0.04,0.0,23.32,97.8,9.4,55.45,25.7,37.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,33.33,0.0,0.0,0.0,0.0,0.0,0.0,6.02,45.39,96.68,15.42,28,1.2,113,4.83,7,75.22,29.97,1.28,1.97,0.084,0.0,1.37,0.51,,,,0.0,0,0.0
A. Kelly,Aoife Kelly,-325681,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g20687_120x120.png,Women's Premier League,"LCMF, LDMF, DMF",LCMF,24,LDMF,19,DMF,13,19.0,2006-03-01,0,,22,2099,2,2.27,0,1.3599999999999999,22.51,50.48,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,9.13,7.46,72.41,2.02,57.45,0.09,0.11,0.13,3.64,4.87,1.03,3,0.13,0,0.0,1.67,0.09,2,0.09,0.1,0,0.0,19,0.81,57.89,10.526,0.0,0.51,41.67,0.26,16.67,0.26,66.67,0.13,1.5,65.71,11.02,33.46,0.9400000000000001,1.29,0.0,23.15,0.77,1.54,38.25,86.88,9.65,73.78,10.12,95.76,36.45,88.59,1.29,56.67,16.18,18.79,0.06,0.56,0.0,0.04,0.04,0.0,0.17,5.27,80.49,0.81,52.63,0.09,50.0,0.34,0.21,4.03,75.53,90.32,11.96,0,,0,,0,0.0,0.0,0.0,,,1.07,,2.02,0.0,0.0,0.0,0.04,0,0.0
Becky Cassin,Rebekah Dorothy Cassin,413026,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g20687_120x120.png,Women's Premier League,"DMF, RDMF, RCMF",DMF,46,RDMF,20,RCMF,16,29.0,1996-08-26,0,,22,2082,2,1.53,2,1.8,16.86,55.64,Republic of Ireland,['Republic of Ireland'],,0,0,False,10.2,7.18,69.88,3.03,54.29,0.09,0.11,0.39,5.1,6.78,1.21,4,0.17,0,0.0,0.91,0.09,1,0.04,0.07,0,0.0,17,0.73,35.29,11.765,0.09,0.65,20.0,0.56,23.08,0.09,0.0,0.17,0.8200000000000001,57.89,4.37,38.61,0.56,0.43,0.0,28.92,0.61,1.3,46.77,82.16,13.44,66.24,10.03,93.1,40.98,86.39,5.14,56.3,18.44,31.83,0.08,0.6900000000000001,0.04,0.0,0.04,100.0,0.17,6.53,66.23,1.25,31.03,0.17,50.0,0.30000000000000004,0.17,6.87,69.81,87.62,17.81,0,,0,,0,0.0,0.0,0.0,,,1.04,,3.03,0.39,0.0,0.0,1.9,1,100.0
I. Flocchini,Isabella Flocchini,-601920,Treaty United,Treaty United,https://cdn5.wyscout.com/photos/team/public/g-12666_120x120.png,Women's Premier League,"AMF, LCMF",AMF,51,LCMF,20,,0,22.0,2003-07-23,0,,22,2066,13,8.53,3,2.73,24.53,47.25,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,7.36,5.97,65.69,2.31,32.08,0.22,0.28,0.04,3.22,4.2,0.5700000000000001,1,0.04,0,0.0,4.62,0.5700000000000001,13,0.5700000000000001,0.37,0,0.0,71,3.09,57.75,18.31,0.13,0.7000000000000001,25.0,0.35000000000000003,25.0,0.35000000000000003,25.0,0.13,4.97,52.63,13.46,42.07,2.92,2.48,0.35000000000000003,18.91,2.22,1.87,32.41,71.24,10.24,54.89,6.01,89.13,30.1,74.24,1.7000000000000002,33.33,15.91,26.89,0.12,1.0,0.04,0.04,0.44,10.0,0.52,4.97,59.65,2.35,38.89,0.5700000000000001,7.69,1.0,0.17,5.01,62.61,79.3,9.89,0,,0,,0,0.0,0.0,0.0,,,0.13,,2.31,0.09,0.04,100.0,0.09,0,0.0
A. O''Gorman,Aine O''Gorman,99083,Shamrock Rovers,Shamrock Rovers,https://cdn5.wyscout.com/photos/team/public/g6004_120x120.png,Women's Premier League,"CF, RCMF, RW",CF,21,RCMF,16,RW,15,36.0,1989-05-13,0,,22,2064,11,13.34,5,5.41,18.14,42.31,Republic of Ireland,['Republic of Ireland'],right,163,0,False,4.67,3.66,72.62,2.27,28.85,0.09,0.12,0.0,1.92,2.67,0.52,1,0.04,0,0.0,3.79,0.48,10,0.44,0.58,0,0.0,74,3.23,43.24,14.865,0.22,2.92,34.33,0.87,45.0,2.05,29.79,0.35000000000000003,2.31,56.6,9.42,35.65,4.45,1.22,0.17,24.2,2.83,0.74,39.64,71.4,13.08,59.33,7.33,89.88,32.83,79.28,4.01,31.52,18.2,31.57,0.24,2.18,0.13,0.0,0.22,40.0,0.92,7.46,52.63,4.67,47.66,0.65,40.0,2.05,1.05,6.54,72.67,71.99,12.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.27,0.04,0.04,0.0,0.74,2,50.0
R. McGovern,Roisin McGovern,477765,Bohemian FC,Bohemian FC,https://cdn5.wyscout.com/photos/team/public/g-12663_120x120.png,Women's Premier League,RCB,RCB,99,,0,,0,24.0,2001-01-18,0,,21,2028,3,1.88,1,0.49,12.43,63.57,Republic of Ireland,['Republic of Ireland'],,0,0,False,8.96,5.8100000000000005,73.28,2.9699999999999998,61.19,0.04,0.06,0.62,4.66,6.31,0.89,4,0.18,0,0.0,0.36,0.13,3,0.13,0.08,3,0.13,10,0.44,40.0,30.0,0.04,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.27,50.0,1.6400000000000001,32.43,0.89,0.67,0.0,28.36,0.0,0.4,46.46,79.75,27.47,73.18,2.66,96.67,38.7,86.01,7.68,48.55,20.21,36.55,0.02,0.09,0.04,0.0,0.0,0.0,0.09,5.41,54.92,0.58,15.38,0.44,40.0,0.18,0.0,11.23,58.1,90.78,12.51,0,,0,,0,0.0,0.0,0.0,,,2.04,,2.9699999999999998,0.04,0.0,0.0,0.0,0,0.0
A. Brennan,Aoibhe Brennan,-531317,Bohemian FC,Bohemian FC,https://cdn5.wyscout.com/photos/team/public/g-12663_120x120.png,Women's Premier League,"RDMF, LDMF, DMF",RDMF,59,LDMF,15,DMF,11,17.0,2007-12-08,0,,21,2019,2,3.32,4,1.52,28.22,52.45,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,14.35,9.85,74.66,3.5700000000000003,50.0,0.49,0.67,0.67,6.51,8.83,1.07,5,0.22,0,0.0,2.23,0.09,2,0.09,0.15,0,0.0,53,2.36,26.42,3.774,0.18,0.89,15.0,0.18,25.0,0.58,7.69,0.4,2.67,55.0,11.68,35.88,1.03,1.11,0.36,23.58,0.53,1.25,43.11,73.53,17.12,53.65,9.36,96.67,35.84,80.22,6.46,43.45,19.52,37.44,0.07,0.62,0.0,0.04,0.04,0.0,0.09,7.85,48.3,2.36,37.74,0.67,20.0,0.71,0.27,7.18,63.35,81.12,10.39,0,,0,,0,0.0,0.0,0.0,,,1.83,,3.5700000000000003,0.67,0.27,16.67,1.56,0,0.0
P. Slattery,Pearl Slattery,306584,Shelbourne,Shelbourne,https://cdn5.wyscout.com/photos/team/public/g34391_120x120.png,Women's Premier League,CB,CB,89,,0,,0,36.0,1989-04-11,0,,21,2019,5,4.55,2,0.59,7.76,59.2,Republic of Ireland,['Republic of Ireland'],,0,0,False,6.55,3.43,67.53,2.36,62.26,0.13,0.2,0.62,4.1,6.12,0.36,4,0.18,0,0.0,0.62,0.22,5,0.22,0.2,4,0.18,20,0.89,55.0,25.0,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.31,42.86,0.98,40.91,1.11,0.13,0.04,18.68,0.22,0.36,35.08,87.93,14.22,79.31,4.32,95.88,31.43,91.06,3.5700000000000003,62.5,18.08,27.75,0.03,0.13,0.0,0.13,0.0,0.0,0.09,1.43,71.88,0.09,0.0,0.09,50.0,0.09,0.0,5.66,61.42,95.56,13.06,0,,0,,0,0.0,0.0,0.0,,,3.74,,2.36,0.0,0.0,0.0,0.0,0,0.0
D. Doherty,Della Doherty,-192547,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g20687_120x120.png,Women's Premier League,"RB, RCB",RB,60,RCB,39,,0,22.0,2003-07-30,0,,22,2019,3,1.8900000000000001,1,1.25,11.01,60.73,Republic of Ireland,['Republic of Ireland'],,0,0,False,9.05,6.11,70.07,1.83,58.54,0.0,0.0,0.62,4.77,6.37,0.18,0,0.0,0,0.0,1.16,0.13,3,0.13,0.08,1,0.04,14,0.62,28.57,21.429,0.04,1.16,46.15,0.0,0.0,1.16,46.15,0.13,0.71,62.5,1.83,48.78,1.07,0.53,0.13,29.02,1.29,0.18,42.35,78.95,19.88,68.61,5.97,96.27,34.37,86.51,6.82,46.41,20.06,37.02,0.06,0.62,0.0,0.0,0.0,0.0,0.13,5.13,50.43,1.65,43.24,0.45,30.0,0.36,0.62,9.58,65.58,88.97,11.72,0,,0,,0,0.0,0.0,0.0,,,1.03,,1.83,0.0,0.0,0.0,0.0,0,0.0
