Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Mežecka,Fanija Mežecka,-441771,Metta,Metta,https://cdn5.wyscout.com/photos/team/public/g-18248_120x120.png,Women League,"DMF, LCMF, CB",DMF,30,LCMF,25,CB,18,23.0,2002-07-22,0,,24,2193,5,2.73,1,0.84,15.14,56.64,Latvia,['Latvia'],unknown,0,0,False,10.79,7.8,72.63,1.4,61.76,0.12,0.19,0.33,5.01,7.89,0.66,1,0.04,0,0.0,0.62,0.21,5,0.21,0.11,2,0.08,17,0.7000000000000001,35.29,29.412,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,53.33,4.15,32.67,1.15,0.86,0.0,21.42,0.04,0.29,37.06,77.08,13.95,66.76,4.6,90.18,34.88,79.18,2.18,43.4,17.56,26.77,0.03,0.45,0.04,0.0,0.04,100.0,0.12,6.11,67.79,0.45,36.36,0.12,66.67,0.41000000000000003,0.0,7.39,58.33,82.94,13.95,0,,0,,0,0.0,0.0,0.0,,,1.31,,1.4,0.0,0.0,0.0,0.0,0,0.0
N. Yelshina,Nikola Yelshina,-441690,Rīgas FS,Rīgas FS,https://cdn5.wyscout.com/photos/team/public/g27993_120x120.png,Women League,GK,GK,100,,0,,0,16.0,2009-08-06,0,,24,2165,0,0.0,0,0.0,1.16,78.57,Latvia,['Latvia'],unknown,0,0,False,2.91,0.37,44.44,0.62,93.33,0.0,0.0,0.0,2.74,3.44,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,5.65,0.21,0.17,18.46,60.81,13.26,48.28,0.0,0.0,8.27,90.45,10.18,36.73,35.22,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,24.56,0.37,11.11,0.04,0.0,0.04,0.0,6.53,45.86,92.31,4.86,112,4.66,307,12.76,2,63.52,88.24,3.67,-23.76,-0.988,0.0,2.08,0.62,,,,0.0,0,0.0
A. Skļemenova,Alīna Skļemenova,-289839,RFS,RFS,https://cdn5.wyscout.com/photos/team/public/g-16546_120x120.png,Women League,GK,GK,100,,0,,0,21.0,2004-03-15,0,,23,2161,0,0.0,0,0.0,0.62,66.67,Latvia,['Latvia'],unknown,0,0,False,1.96,0.0,0.0,0.5,75.0,0.04,0.07,0.0,1.92,3.3,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.08,0.12,20.32,90.16,7.87,82.01,0.0,0.0,17.45,95.47,2.87,57.97,23.39,28.47,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.21,40.0,0.0,0.0,0.04,0.0,0.0,0.0,2.71,44.62,96.35,11.41,29,1.21,95,3.96,10,69.47,25.7,1.07,-3.3,-0.137,0.0,1.42,0.5,,,,0.0,0,0.0
D. Dockaitė,Dockaitė Dovilė,-211066,Auda,Auda,https://cdn5.wyscout.com/photos/team/public/g-18245_120x120.png,Women League,"LCMF, CF, AMF",LCMF,28,CF,27,AMF,21,22.0,2003-12-12,0,,23,2125,8,7.44,3,2.47,24.27,47.99,Lithuania,['Lithuania'],,0,0,False,7.92,6.18,68.49,1.82,48.84,0.21,0.26,0.17,3.47,4.21,0.51,0,0.0,0,0.0,4.15,0.34,8,0.34,0.32,1,0.04,60,2.54,40.0,13.333,0.13,1.1400000000000001,25.93,0.38,33.33,0.76,22.22,0.21,5.42,51.56,13.21,38.78,1.9500000000000002,2.03,0.42,11.52,2.37,1.69,20.58,60.49,8.72,47.57,2.8,86.36,16.09,69.74,3.43,28.4,20.13,35.97,0.1,0.85,0.0,0.04,0.13,33.33,0.34,4.53,37.38,1.65,41.03,0.59,35.71,0.64,0.38,3.64,52.33,64.71,5.76,0,,0,,0,0.0,0.0,0.0,,,0.04,,1.82,0.59,0.21,40.0,0.97,0,0.0
T. Baļičeva,Tatjana Baļičeva,304662,RFS,RFS,https://cdn5.wyscout.com/photos/team/public/g-16546_120x120.png,Women League,LCB3,LCB3,80,,0,,0,27.0,1998-04-06,0,,23,2091,3,2.7800000000000002,6,4.51,9.51,57.47,Latvia,['Latvia'],,0,0,False,7.27,5.08,71.19,0.99,69.57,0.17,0.29,0.22,3.49,5.97,0.34,0,0.0,0,0.0,1.33,0.13,3,0.13,0.12,0,0.0,40,1.72,40.0,7.5,0.26,1.85,20.93,1.51,22.86,0.30000000000000004,14.29,0.39,0.8200000000000001,31.58,2.45,26.32,0.43,1.55,0.04,33.23,0.47000000000000003,0.17,53.54,74.44,31.12,71.78,2.2800000000000002,86.79,44.94,79.69,6.84,53.46,20.39,33.63,0.19,1.46,0.09,0.17,0.13,0.0,0.26,11.54,64.55,3.01,32.86,0.6900000000000001,31.25,0.6900000000000001,0.52,17.73,75.73,80.93,15.8,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,0.99,1.94,0.56,38.46,3.44,2,0.0
M. Ščucka,Monta Ščucka,-441731,Auda,Auda,https://cdn5.wyscout.com/photos/team/public/g-18245_120x120.png,Women League,"RW, CF, RAMF",RW,55,CF,17,RAMF,16,20.0,2005-11-12,0,,24,2057,1,3.27,5,1.96,13.39,40.85,Latvia,['Latvia'],unknown,0,0,False,4.94,5.12,55.56,0.92,14.29,0.0,0.0,0.04,2.1,2.54,0.88,2,0.09,0,0.0,1.9300000000000002,0.04,1,0.04,0.14,0,0.0,33,1.44,30.3,3.03,0.22,1.23,35.71,0.09,100.0,1.1400000000000001,30.77,0.22,2.36,42.59,5.43,32.26,1.6600000000000001,1.31,0.22,12.6,2.58,0.66,20.52,54.58,9.19,44.76,2.45,80.36,17.11,59.08,2.19,30.0,16.69,20.7,0.09,0.5700000000000001,0.0,0.0,0.09,50.0,0.35000000000000003,3.24,47.3,2.06,21.28,0.35000000000000003,25.0,0.31,0.35000000000000003,5.12,47.01,55.74,5.34,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.92,0.0,0.0,0.0,0.18,0,0.0
U. Upīte,Uma Upīte,-422667,Metta,Metta,https://cdn5.wyscout.com/photos/team/public/g-18248_120x120.png,Women League,"LB, LB5",LB,66,LB5,25,,0,18.0,2007-11-19,0,,24,2054,0,1.37,3,3.8,17.31,48.35,Latvia,['Latvia'],unknown,0,0,False,8.89,6.75,62.99,0.74,58.82,0.18,0.28,0.09,4.47,7.03,0.44,3,0.13,0,0.0,2.8,0.0,0,0.0,0.06,0,0.0,21,0.92,33.33,0.0,0.13,2.06,36.17,1.9300000000000002,36.36,0.13,33.33,0.13,2.94,58.21,8.59,37.76,1.88,3.51,0.31,19.15,1.8399999999999999,0.26,31.77,78.9,9.38,75.23,6.57,93.33,27.69,84.49,2.1,43.75,17.62,27.8,0.17,1.23,0.04,0.04,0.04,100.0,0.35000000000000003,2.54,67.24,2.19,44.0,0.22,20.0,0.61,0.79,6.84,64.1,75.2,10.78,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,0.74,0.5700000000000001,0.09,0.0,2.54,0,0.0
K. Baroniņa,Katrīna Baroniņa,-441704,Liepājas FS,Liepājas FS,https://cdn5.wyscout.com/photos/team/public/g-18247_120x120.png,Women League,GK,GK,100,,0,,0,17.0,2008-01-05,0,,22,2051,0,0.0,0,0.0,2.06,78.72,Latvia,['Latvia'],unknown,0,0,False,2.98,0.31,57.14,1.23,89.29,0.04,0.05,0.0,2.76,3.18,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,6.58,0.09,0.48,21.24,57.64,16.15,48.1,0.0,0.0,7.8100000000000005,89.33,13.38,39.34,33.63,40.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,9.38,0.13,0.0,0.04,100.0,0.0,0.0,8.86,33.17,86.81,3.99,82,3.6,253,11.1,1,67.59,74.2,3.26,-7.8,-0.342,0.0,3.33,1.23,,,,0.0,0,0.0
T. Čamane,Tina Čamane,-441802,Liepājas FS,Liepājas FS,https://cdn5.wyscout.com/photos/team/public/g-18247_120x120.png,Women League,"LCB, LCB3",LCB,83,LCB3,13,,0,19.0,2006-10-22,0,,22,2050,0,0.15,0,0.02,11.5,51.53,Latvia,['Latvia'],unknown,0,0,False,10.93,6.1,60.43,0.8300000000000001,47.37,0.22,0.25,1.58,7.02,7.97,0.22,0,0.0,0,0.0,0.88,0.0,0,0.0,0.01,0,0.0,6,0.26,16.67,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.92,80.95,3.64,43.37,0.22,0.26,0.04,15.76,0.18,0.61,29.46,69.6,15.01,57.89,2.37,88.89,22.83,79.42,6.59,36.0,19.75,31.81,0.0,0.04,0.0,0.0,0.09,100.0,0.0,1.45,42.42,0.31,42.86,0.09,100.0,0.13,0.0,8.39,25.13,85.28,8.65,0,,0,,0,0.0,0.0,0.0,,,1.67,,0.8300000000000001,0.13,0.04,0.0,0.04,0,0.0
N. Brahmane,Nikola Brahmane,-141504,Auda,Auda,https://cdn5.wyscout.com/photos/team/public/g-18245_120x120.png,Women League,"LB, LCMF, LB5",LB,29,LCMF,12,LB5,11,27.0,1998-09-10,0,,22,2046,2,3.69,2,1.43,21.55,48.78,Latvia,['Latvia'],,0,0,False,13.02,8.89,60.89,2.38,46.3,0.13,0.16,0.44,7.48,8.98,0.84,4,0.18,0,0.0,2.64,0.09,0,0.0,0.16,0,0.0,25,1.1,40.0,8.0,0.09,1.19,33.33,0.35000000000000003,12.5,0.84,42.11,0.18,3.12,54.93,8.27,37.23,1.06,1.23,0.22,12.45,0.88,1.85,26.92,54.74,14.21,46.44,2.46,87.5,19.88,63.05,5.94,31.85,20.27,35.34,0.06,0.53,0.0,0.0,0.09,100.0,0.31,4.79,44.04,1.32,36.67,0.35000000000000003,37.5,0.35000000000000003,0.4,8.01,35.16,62.33,6.42,0,,0,,0,0.0,0.0,0.0,,,0.53,,2.38,1.01,0.35000000000000003,37.5,1.3599999999999999,2,100.0
