Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Bennett,Lauren Bennett,-727033,Lipscomb Bisons,Lipscomb Bisons,https://cdn5.wyscout.com/photos/team/public/g-7680_120x120.png,NCAA D1 ASUN (W),LCB,LCB,91,,0,,0,,,0,,11,1133,1,1.2,0,0.1,8.34,69.52,United States,['United States'],unknown,177,0,False,8.42,4.21,83.02,2.22,75.0,0.32,0.44,0.87,4.61,6.42,0.4,0,0.0,0,0.0,0.32,0.08,1,0.08,0.1,1,0.08,7,0.56,42.86,14.286,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.08,0.08,0.0,1.11,28.57,0.79,0.08,0.0,10.17,0.16,0.24,27.41,61.45,16.76,48.82,0.87,90.91,18.03,71.81,9.29,41.03,22.52,33.78,0.01,0.08,0.16,0.0,0.0,0.0,0.08,4.13,36.54,0.4,40.0,0.24,33.33,0.16,0.08,8.98,45.13,83.67,7.78,0,,0,,0,0.0,0.0,0.0,,,0.48,,2.22,0.0,0.0,0.0,0.0,0,0
Bekah Doolittle,Rebekah Lilly Doolittle,-467072,Lipscomb Bisons,Lipscomb Bisons,https://cdn5.wyscout.com/photos/team/public/g-7680_120x120.png,NCAA D1 ASUN (W),RCB,RCB,91,,0,,0,21.0,2004-05-01,0,,11,1124,0,0.01,0,0.0,11.69,62.33,United States,['United States'],unknown,167,0,False,10.25,6.41,85.0,1.6800000000000002,38.1,0.96,1.33,0.72,3.84,5.31,0.56,1,0.08,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.16,50.0,2.32,31.03,0.0,0.4,0.0,8.81,0.08,0.64,24.5,61.76,14.65,52.46,1.76,86.36,14.65,79.78,9.77,35.25,22.86,29.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,48.28,0.72,44.44,0.32,50.0,0.32,0.0,8.57,46.73,73.49,6.65,0,,0,,0,0.0,0.0,0.0,,,0.8,,1.6800000000000002,0.0,0.0,0.0,0.0,0,0
T. Ahlemeyer,Tatum Ahlemeyer,-601280,Lipscomb Bisons,Lipscomb Bisons,https://cdn5.wyscout.com/photos/team/public/g-7680_120x120.png,NCAA D1 ASUN (W),"DMF, RDMF",DMF,51,RDMF,19,,0,,,0,,11,1118,0,1.43,2,0.88,17.71,59.09,United States,['United States'],unknown,0,0,False,10.55,6.92,80.23,5.55,59.42,0.4,0.56,0.32,4.59,6.4,0.48,0,0.0,0,0.0,0.56,0.0,0,0.0,0.12,0,0.0,14,1.13,50.0,0.0,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.14,25.64,1.29,0.16,0.0,13.44,0.16,0.32,30.35,72.68,12.64,57.32,3.54,84.09,26.4,75.91,3.86,52.08,19.45,33.01,0.07,0.56,0.08,0.0,0.08,0.0,0.16,7.16,61.8,1.13,50.0,0.56,14.29,0.72,0.0,6.36,70.89,82.27,11.35,0,,0,,0,0.0,0.0,0.0,,,0.32,,5.55,0.0,0.0,0.0,0.0,0,0
P. Bozic,Pia Bozic,517826,Jacksonville Dolphins,Jacksonville Dolphins,https://cdn5.wyscout.com/photos/team/public/g-7683_120x120.png,NCAA D1 ASUN (W),GK,GK,100,,0,,0,25.0,2001-02-17,0,,11,1116,0,0.0,1,0.22,0.65,100.0,Slovenia,['Slovenia'],,173,0,False,1.29,0.08,100.0,0.56,100.0,0.0,0.0,0.0,1.21,2.14,0.16,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,7.98,0.0,0.08,15.97,85.35,8.55,75.47,0.0,0.0,11.53,93.01,4.44,65.45,28.77,42.0,0.02,0.08,0.0,0.0,0.0,0.0,0.08,0.65,37.5,0.08,100.0,0.0,0.0,0.08,0.0,3.31,56.1,98.85,7.02,12,0.97,44,3.55,3,72.73,8.73,0.7000000000000001,-3.27,-0.264,0.0,2.1,0.56,,,,0.0,0,0
L. Hurst,Lucy  Hurst,-467092,Lipscomb Bisons,Lipscomb Bisons,https://cdn5.wyscout.com/photos/team/public/g-7680_120x120.png,NCAA D1 ASUN (W),"LB, LDMF",LB,63,LDMF,19,,0,,,0,,11,1111,1,0.74,1,0.53,17.82,58.18,United States,['United States'],unknown,170,0,False,7.78,5.59,71.01,1.62,65.0,0.24,0.34,0.08,3.56,4.98,0.5700000000000001,1,0.08,0,0.0,4.05,0.08,1,0.08,0.06,0,0.0,16,1.3,18.75,6.25,0.08,2.27,50.0,2.19,51.85,0.08,0.0,0.24,4.13,64.71,9.8,49.59,0.73,2.27,0.49,12.39,0.32,1.54,27.95,54.78,17.58,47.47,2.11,84.62,18.15,66.52,7.7,28.42,22.68,36.3,0.04,0.49,0.08,0.0,0.0,0.0,0.24,6.16,39.47,2.27,39.29,0.49,16.67,0.16,1.05,8.42,50.96,65.67,5.43,0,,0,,0,0.0,0.0,0.0,,,0.32,,1.62,0.24,0.0,0.0,0.0,0,0
H. Johnson,Haley Johnson,-180576,,Lipscomb Bisons,,,"RCMF, CF, LAMF",RCMF,28,CF,17,LAMF,11,26.0,2000-03-10,0,,11,1110,6,2.93,0,1.03,25.82,42.2,United States,['United States'],,170,0,False,9.24,7.11,71.67,6.04,33.33,0.71,0.9400000000000001,0.0,3.43,4.55,1.18,1,0.08,0,0.0,3.32,0.49,5,0.59,0.35000000000000003,2,0.24,14,1.6600000000000001,71.43,35.714,0.0,1.42,25.0,0.36,33.33,1.07,22.22,0.12,2.7199999999999998,60.87,10.42,29.55,2.61,1.78,0.71,13.74,2.13,0.9500000000000001,27.0,66.67,9.59,46.91,6.63,96.43,23.45,72.73,2.13,27.78,15.67,22.26,0.12,0.71,0.0,0.0,0.12,100.0,0.12,3.32,50.0,1.42,33.33,0.36,33.33,0.47000000000000003,0.47000000000000003,3.2,40.74,76.19,4.97,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.04,0.0,0.0,0.0,0.0,0,0
H. Johnson,Hailey Johnson,-496890,Lipscomb Bisons,Lipscomb Bisons,https://cdn5.wyscout.com/photos/team/public/g-7680_120x120.png,NCAA D1 ASUN (W),"RCMF, CF, LAMF",RCMF,31,CF,17,LAMF,11,,,0,,11,1110,6,4.03,0,1.2,26.27,41.67,United States,['United States'],unknown,162,0,False,9.32,6.97,69.77,6.08,34.67,0.73,1.02,0.24,3.73,5.21,1.46,1,0.08,0,0.0,3.73,0.49,6,0.49,0.33,2,0.16,24,1.9500000000000002,70.83,25.0,0.0,1.7000000000000002,19.05,0.65,12.5,1.05,23.08,0.16,3.73,52.17,11.19,29.71,3.73,2.19,0.73,12.49,1.62,0.89,24.41,63.12,8.68,42.99,5.59,91.3,20.84,70.04,1.8599999999999999,26.09,15.61,20.91,0.1,0.73,0.0,0.0,0.08,100.0,0.08,2.76,44.12,1.46,33.33,0.24,33.33,0.49,0.5700000000000001,3.0,37.84,75.0,4.54,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.08,0.0,0.0,0.0,0.0,0,0
A. Speight,Adelyn Speight,-467350,North Alabama Lions,North Alabama Lions,https://cdn5.wyscout.com/photos/team/public/g-12724_120x120.png,NCAA D1 ASUN (W),RCB,RCB,96,,0,,0,,,0,,11,1095,0,0.1,1,0.41000000000000003,9.29,67.26,United States,['United States'],unknown,167,0,False,10.11,5.51,77.61,0.9,63.64,0.33,0.39,0.8200000000000001,5.51,6.57,0.25,0,0.0,0,0.0,0.33,0.0,0,0.0,0.01,0,0.0,2,0.16,50.0,0.0,0.08,0.16,50.0,0.08,0.0,0.08,100.0,0.0,0.25,66.67,2.05,52.0,0.08,0.16,0.16,10.93,0.0,0.8200000000000001,24.9,61.06,15.29,52.15,0.74,88.89,16.85,74.63,7.97,31.96,23.91,35.14,0.03,0.41000000000000003,0.0,0.0,0.0,0.0,0.08,3.45,33.33,0.41000000000000003,20.0,0.25,33.33,0.08,0.08,7.32,42.7,77.65,6.99,0,,0,,0,0.0,0.0,0.0,,,0.33,,0.9,2.3,0.08,100.0,0.41000000000000003,0,0
M. Vukas,Madison Vukas,-277084,North Alabama Lions,North Alabama Lions,https://cdn5.wyscout.com/photos/team/public/g-12724_120x120.png,NCAA D1 ASUN (W),GK,GK,100,,0,,0,23.0,2002-10-08,0,,11,1095,0,0.0,0,0.0,0.41000000000000003,80.0,United States,['United States'],unknown,173,0,False,1.81,0.0,0.0,0.33,100.0,0.0,0.0,0.0,1.81,2.16,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,12.66,77.92,7.4,66.67,0.0,0.0,5.75,97.14,6.82,62.65,32.54,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,28.57,0.0,0.0,0.0,0.0,0.0,0.0,4.85,71.19,96.55,4.77,9,0.74,64,5.26,4,85.94,14.91,1.23,5.91,0.486,0.0,1.23,0.33,,,,0.0,0,0
Alvarez Garcia,Ana Alvarez Garcia,-727025,Jacksonville Dolphins,Jacksonville Dolphins,https://cdn5.wyscout.com/photos/team/public/g-7683_120x120.png,NCAA D1 ASUN (W),"RCMF, LCMF",RCMF,52,LCMF,35,,0,,,0,,11,1061,1,0.34,2,1.81,15.1,53.37,Spain,['Spain'],unknown,0,0,False,7.21,5.94,72.86,2.12,36.0,0.17,0.29,0.17,2.71,4.66,0.17,0,0.0,0,0.0,1.19,0.08,1,0.08,0.03,0,0.0,13,1.1,30.77,7.692,0.17,1.44,29.41,0.68,12.5,0.76,44.44,0.17,1.1,38.46,5.09,35.0,0.08,0.51,0.0,24.68,0.34,0.85,45.04,74.95,17.9,57.82,6.28,95.95,36.31,82.48,7.3,46.51,18.88,31.56,0.15,1.3599999999999999,0.0,0.0,0.0,0.0,0.25,9.75,63.48,3.39,32.5,0.93,9.09,0.76,0.59,9.25,67.89,83.71,15.1,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.12,2.54,0.08,0.0,2.21,0,0
