Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Barenberg,Elena Barenberg,-649095,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),GK,GK,100,,0,,0,18.0,2007-08-09,0,,11,1098,0,0.0,0,0.0,0.8200000000000001,70.0,Germany,['Germany'],,0,0,False,2.46,0.08,100.0,0.41000000000000003,80.0,0.0,0.0,0.0,2.38,3.41,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.33,0.0,0.08,11.31,0.16,0.08,20.16,77.64,9.59,62.39,0.16,50.0,11.48,96.43,8.61,53.33,27.85,36.77,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.0,5.08,35.48,93.1,9.51,12,0.98,47,3.85,3,74.47,11.2,0.92,-0.8,-0.066,0.0,1.31,0.41000000000000003,,,,0.0,0,0.0
L. Reinwald,Luise  Reinwald,-474635,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),"DMF, LDMF, RDMF",DMF,50,LDMF,22,RDMF,19,,,0,,11,1051,1,1.48,0,1.03,27.32,56.74,Germany,['Germany'],unknown,177,0,False,15.41,11.82,76.81,4.11,56.25,0.17,0.24,0.17,6.17,8.47,0.77,0,0.0,0,0.0,2.14,0.09,1,0.09,0.13,0,0.0,19,1.63,36.84,5.263,0.0,0.6900000000000001,37.5,0.43,40.0,0.26,33.33,0.09,2.06,62.5,7.54,36.36,1.28,1.2,0.0,28.52,1.03,0.51,56.6,73.07,24.49,55.94,10.19,93.28,48.73,78.56,7.28,40.0,17.64,30.94,0.09,1.03,0.0,0.0,0.0,0.0,0.09,11.22,57.25,1.8,52.38,0.51,16.67,0.9400000000000001,0.26,10.62,58.87,82.95,15.07,0,,0,,0,0.0,0.0,0.0,,,0.77,,4.11,0.0,0.0,0.0,0.6000000000000001,0,0.0
H. Washington,Hilary Washington,-588889,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),RB,RB,96,,0,,0,,,0,,11,1020,1,0.29,0,0.39,20.29,66.52,Canada,['Canada'],unknown,0,0,False,12.71,10.94,83.87,2.12,75.0,0.09,0.12,0.09,3.44,4.68,0.62,0,0.0,0,0.0,1.15,0.09,1,0.09,0.03,0,0.0,6,0.53,33.33,16.667,0.0,0.97,54.55,0.09,0.0,0.88,60.0,0.26,0.88,50.0,5.03,33.33,0.18,1.5,0.44,23.21,1.15,0.88,40.24,70.39,22.59,64.06,5.21,89.83,32.03,75.48,7.24,50.0,17.83,29.04,0.03,0.71,0.0,0.0,0.09,0.0,0.18,7.59,58.14,2.29,42.31,0.71,37.5,0.88,0.62,12.88,69.18,77.33,6.62,0,,0,,0,0.0,0.0,0.0,,,1.32,,2.12,0.0,0.0,0.0,0.0,0,0.0
A. Thornton,Abbey Thornton,-474642,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),"LCMF, RDMF, LDMF",LCMF,53,RDMF,17,LDMF,13,,,0,,11,996,1,0.99,1,0.35000000000000003,28.01,55.48,United States,['United States'],unknown,180,0,False,13.28,9.31,74.76,5.78,42.19,0.36,0.47000000000000003,0.18,5.96,7.76,1.27,1,0.09,0,0.0,2.17,0.09,1,0.09,0.09,1,0.09,22,1.99,45.45,4.545,0.09,0.99,36.36,0.54,33.33,0.45,40.0,0.18,1.63,55.56,8.49,42.55,1.9,0.9,0.0,23.58,0.99,2.26,42.56,70.91,15.36,55.88,7.95,92.05,36.51,76.24,5.15,40.35,16.5,30.83,0.03,0.63,0.0,0.0,0.0,0.0,0.18,7.14,53.16,1.54,29.41,0.27,33.33,0.72,0.18,6.33,48.57,76.98,11.39,0,,0,,0,0.0,0.0,0.0,,,0.18,,5.78,0.0,0.0,0.0,0.0,0,0.0
C. Ardolino,Colleen Ardolino,-478194,Bryant Bulldogs,Bryant Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7643_120x120.png,NCAA D1 America East (W),"CB, RCB, LCB",CB,43,RCB,41,LCB,11,,,0,,10,988,3,0.74,0,0.0,8.74,64.58,United States,['United States'],unknown,0,0,False,7.74,3.46,78.95,2.0,72.73,0.0,0.0,0.36,5.01,6.63,0.09,0,0.0,0,0.0,0.73,0.27,3,0.27,0.07,1,0.09,7,0.64,85.71,42.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,40.0,2.1,34.78,0.91,0.36,0.18,30.88,0.27,0.27,50.92,80.5,20.04,66.36,3.2800000000000002,86.11,44.64,87.35,6.29,31.88,19.82,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,48.94,0.64,14.29,0.18,50.0,0.18,0.0,8.74,41.67,92.44,21.68,0,,0,,0,0.0,0.0,0.0,,,1.73,,2.0,0.0,0.0,0.0,0.0,0,0.0
M. Luke,Madison Luke,-363369,Bryant Bulldogs,Bryant Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7643_120x120.png,NCAA D1 America East (W),"CF, AMF, RW",CF,67,AMF,11,RW,10,,,0,,10,970,2,2.87,3,1.52,18.56,37.0,United States,['United States'],unknown,162,0,False,4.08,3.71,67.5,1.9500000000000002,23.81,0.0,0.0,0.0,1.58,2.05,0.65,0,0.0,0,0.0,3.43,0.19,2,0.19,0.27,0,0.0,24,2.23,45.83,8.333,0.28,1.3,42.86,0.37,25.0,0.93,50.0,0.28,3.15,58.82,10.67,27.83,1.8599999999999999,1.48,0.37,17.63,2.13,0.09,30.06,71.91,7.79,55.95,6.12,87.88,26.35,78.17,2.51,18.52,17.47,30.74,0.14,2.13,0.0,0.0,0.09,0.0,0.09,3.5300000000000002,42.11,1.58,35.29,0.09,0.0,0.09,0.46,3.9,47.62,73.33,11.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.9500000000000002,2.6,0.09,0.0,4.73,1,0.0
E. Supple,Emily Supple,-363368,Bryant Bulldogs,Bryant Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7643_120x120.png,NCAA D1 America East (W),"RCMF, DMF",RCMF,43,DMF,36,,0,,,0,,10,960,2,1.07,0,0.14,12.09,65.89,United States,['United States'],unknown,167,0,False,9.75,4.88,80.77,2.63,57.14,0.09,0.12,0.28,5.72,7.38,0.28,0,0.0,0,0.0,0.84,0.19,1,0.09,0.1,0,0.0,7,0.66,28.57,28.571,0.0,0.47000000000000003,20.0,0.28,33.33,0.09,0.0,0.0,0.56,100.0,3.0,53.13,0.56,0.84,0.0,23.53,0.09,1.22,45.94,75.71,14.34,50.33,6.75,94.44,39.84,81.41,5.63,40.0,18.71,30.0,0.01,0.38,0.0,0.09,0.0,0.0,0.0,5.8100000000000005,54.84,0.28,33.33,0.0,0.0,0.19,0.09,6.94,36.49,88.89,19.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.63,0.0,0.0,0.0,0.0,1,100.0
O. Grisdale,Olivia Grisdale,-598914,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),"RCB, RCMF",RCB,72,RCMF,14,,0,,,0,,11,958,0,0.21,0,0.35000000000000003,12.31,58.78,United States,['United States'],unknown,0,0,False,7.8,7.52,71.25,0.9400000000000001,50.0,0.0,0.0,0.09,2.44,3.44,0.9400000000000001,2,0.19,0,0.0,0.28,0.0,0,0.0,0.02,0,0.0,7,0.66,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,50.0,2.63,28.57,0.38,0.9400000000000001,0.09,24.14,0.19,0.47000000000000003,42.84,77.19,20.01,63.85,3.95,97.62,36.64,81.28,6.2,53.03,18.33,27.18,0.03,0.28,0.0,0.0,0.0,0.0,0.09,5.07,50.0,0.47000000000000003,40.0,0.28,0.0,0.19,0.0,7.8,49.4,89.63,15.41,0,,0,,0,0.0,0.0,0.0,,,2.63,,0.9400000000000001,1.5,0.0,0.0,0.0,0,0.0
V. Dungey,Victoria  Dungey,-474636,Maine Blackbears,Maine Blackbears,https://cdn5.wyscout.com/photos/team/public/g-7655_120x120.png,NCAA D1 America East (W),"RCMF, AMF",RCMF,49,AMF,38,,0,,,0,,11,958,2,1.58,1,1.01,29.31,50.64,Canada,['Canada'],unknown,177,0,False,9.96,7.23,72.73,3.85,58.54,0.75,0.99,0.0,3.95,5.19,0.9400000000000001,0,0.0,0,0.0,3.1,0.19,2,0.19,0.15,0,0.0,24,2.25,29.17,8.333,0.09,1.22,38.46,0.19,0.0,0.9400000000000001,50.0,0.19,3.38,58.33,13.62,37.24,2.25,1.03,0.19,21.7,2.44,1.32,39.74,65.01,15.5,52.73,5.73,78.69,32.32,70.06,6.2,43.94,16.77,34.81,0.09,1.32,0.0,0.0,0.09,0.0,0.19,8.17,52.87,1.88,55.0,0.38,25.0,0.85,0.56,6.86,60.27,71.3,10.15,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.85,0.0,0.0,0.0,0.0,0,0.0
C. Moriarty,Cassidy  Moriarty,-727218,Bryant Bulldogs,Bryant Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7643_120x120.png,NCAA D1 America East (W),"RCB3, LCB, RCB",RCB3,46,LCB,38,RCB,13,,,0,,10,939,0,0.04,0,0.06,10.93,56.14,United States,['United States'],unknown,0,0,False,8.72,6.04,58.73,1.73,61.11,0.0,0.0,0.48,5.18,6.51,0.19,0,0.0,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,2,0.19,100.0,0.0,0.0,0.38,25.0,0.0,0.0,0.38,25.0,0.0,0.29,66.67,1.82,47.37,0.1,0.86,0.1,30.48,0.19,0.38,47.73,71.49,23.58,55.28,2.59,85.19,37.19,83.76,10.16,28.3,21.77,35.01,0.01,0.1,0.0,0.0,0.0,0.0,0.1,7.28,38.16,1.05,36.36,0.29,0.0,0.29,0.1,11.41,48.74,90.29,16.77,0,,0,,0,0.0,0.0,0.0,,,1.34,,1.73,0.0,0.0,0.0,0.0,0,0.0
