Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Fazackerley,Lucy Fazackerley,-292215,ASU Sun Devils,ECU Pirates,https://cdn5.wyscout.com/photos/team/public/g-7888_120x120.png,NCAA D1 Big 12 (W),CB,CB,94,,0,,0,20.0,2005-04-26,0,,13,1347,1,1.55,1,0.05,10.42,62.18,England,['England'],unknown,0,0,False,8.35,4.21,76.19,3.74,66.07,0.0,0.0,0.6000000000000001,5.14,6.66,0.47000000000000003,1,0.07,0,0.0,0.73,0.07,1,0.07,0.1,1,0.07,10,0.67,70.0,10.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.33,60.0,1.47,27.27,0.9400000000000001,0.73,0.0,14.83,0.4,0.13,25.86,73.39,10.89,58.9,2.2,90.91,20.04,82.67,5.75,41.86,22.39,35.16,0.0,0.13,0.0,0.0,0.07,100.0,0.07,4.34,41.54,0.33,40.0,0.13,0.0,0.13,0.0,6.15,47.83,86.27,10.22,0,,0,,0,0.0,0.0,0.0,,,1.54,,3.74,0.0,0.0,0.0,0.0,0,0.0
A. Sowa,Abby Sowa,-276289,,ECU Pirates,,,RCB3,RCB3,94,,0,,0,,,0,,13,1347,3,1.81,0,0.42,9.49,66.2,United States,['United States'],unknown,0,0,False,8.22,5.35,76.25,2.47,51.35,0.0,0.0,0.47000000000000003,4.14,5.36,0.53,2,0.13,0,0.0,0.2,0.2,1,0.07,0.12,1,0.07,6,0.4,50.0,50.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.73,54.55,0.73,0.27,0.0,13.56,0.2,0.33,26.39,71.9,14.16,61.79,4.01,93.33,18.51,82.31,7.68,48.7,22.91,34.16,0.03,0.27,0.0,0.0,0.0,0.0,0.07,5.61,57.14,0.67,40.0,0.33,40.0,0.33,0.0,7.82,64.1,83.33,6.82,0,,0,,0,0.0,0.0,0.0,,,2.61,,2.47,0.0,0.0,0.0,0.0,2,100.0
M. English,Maeve English,-238686,,ECU Pirates,,,GK,GK,100,,0,,0,,,0,,13,1347,0,0.0,0,0.2,1.4,90.48,United States,['United States'],,0,0,False,1.8,0.0,0.0,1.07,100.0,0.0,0.0,0.0,1.8,2.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,13.23,0.13,0.47000000000000003,21.25,71.7,13.7,59.02,0.0,0.0,9.15,96.35,12.09,53.04,38.87,48.01,0.01,0.13,0.0,0.07,0.0,0.0,0.0,4.34,38.46,0.27,50.0,0.13,50.0,0.13,0.0,7.35,73.64,95.37,7.22,13,0.87,43,2.87,5,69.77,13.4,0.9,0.4,0.027,0.0,1.54,1.07,,,,0.0,0,0.0
A. Abbott,Annabelle Abbott,-238678,,ECU Pirates,,,"LCMF, RCMF, RCMF3",LCMF,44,RCMF,27,RCMF3,13,,,0,,13,1319,1,0.48,0,0.2,12.42,48.9,United States,['United States'],,0,0,False,9.08,6.35,63.44,1.02,40.0,0.34,0.44,0.07,4.71,6.02,0.68,0,0.0,0,0.0,0.96,0.07,1,0.07,0.03,0,0.0,13,0.89,15.38,7.692,0.0,0.68,60.0,0.27,50.0,0.41000000000000003,66.67,0.0,0.96,35.71,2.93,32.56,0.34,0.27,0.07,12.69,0.2,0.48,27.36,70.57,11.94,53.14,4.09,95.0,22.11,77.47,4.57,38.81,19.3,29.34,0.01,0.2,0.0,0.0,0.07,100.0,0.07,5.46,55.0,1.23,50.0,0.14,0.0,0.14,0.41000000000000003,5.66,62.65,86.44,8.05,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.02,0.0,0.0,0.0,0.07,0,0.0
S. Hagg,Sarah  Hagg,-444642,Memphis Tigers,Memphis Tigers,https://cdn5.wyscout.com/photos/team/public/g-7611_120x120.png,NCAA D1 American Athletic (W),"RCB, CB",RCB,60,CB,30,,0,,,0,,13,1310,0,0.37,0,0.0,14.43,68.57,Germany,['Germany'],unknown,173,0,False,11.06,9.0,74.05,2.68,64.1,0.27,0.46,0.62,4.12,6.95,0.76,0,0.0,0,0.0,0.14,0.0,0,0.0,0.03,0,0.0,4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,66.67,1.44,61.9,0.62,1.1,0.14,40.4,0.48,0.34,58.53,84.98,20.34,67.57,2.8200000000000003,92.68,48.57,92.36,9.96,48.97,26.44,38.69,0.0,0.07,0.0,0.07,0.0,0.0,0.0,7.35,48.6,0.48,14.29,0.07,0.0,0.14,0.0,11.47,68.86,95.74,33.87,0,,0,,0,0.0,0.0,0.0,,,1.65,,2.68,0.0,0.0,0.0,0.0,0,0.0
F. Lavin,Finley  Lavin,-444644,Memphis Tigers,Memphis Tigers,https://cdn5.wyscout.com/photos/team/public/g-7611_120x120.png,NCAA D1 American Athletic (W),"LCB, RCB, LCMF",LCB,55,RCB,11,LCMF,10,,,0,,13,1310,0,0.06,1,0.39,8.38,59.02,United States,['United States'],unknown,155,0,False,6.39,3.7800000000000002,67.27,1.37,60.0,0.07,0.12,0.21,3.7800000000000002,6.37,0.48,1,0.07,0,0.0,1.03,0.0,0,0.0,0.0,0,0.0,6,0.41000000000000003,33.33,0.0,0.07,0.27,50.0,0.14,50.0,0.14,50.0,0.0,0.96,78.57,2.2,53.13,0.34,2.68,0.6900000000000001,32.22,0.8200000000000001,0.14,48.92,80.2,20.82,65.68,1.92,96.43,40.95,87.25,7.69,43.75,22.83,32.68,0.03,0.27,0.07,0.07,0.0,0.0,0.07,7.28,61.32,1.31,36.84,0.41000000000000003,16.67,0.34,0.14,10.92,69.81,93.49,23.22,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.37,0.41000000000000003,0.0,0.0,0.0,0,0.0
K. Bierman,Kaylie Bierman,-353235,,Memphis Tigers,,,GK,GK,100,,0,,0,,,0,,13,1310,0,0.0,0,0.0,0.48,100.0,United States,['United States'],unknown,180,0,False,1.37,0.07,100.0,0.41000000000000003,100.0,0.0,0.0,0.07,1.31,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,0.07,0.0,12.09,86.93,4.47,66.15,0.0,0.0,9.55,98.56,2.54,43.24,26.53,38.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,57.14,100.0,7.28,8,0.55,29,1.99,6,72.41,8.43,0.58,0.43,0.03,0.0,0.96,0.41000000000000003,,,,0.0,0,0.0
S. Hagg,Sarah Hagg,-274539,Meppen,Memphis Tigers,https://cdn5.wyscout.com/photos/team/public/g19151_120x120.png,2. Bundesliga Women,"RCB, CB, LCB",RCB,55,CB,33,LCB,11,24.0,2002-01-24,0,,13,1310,0,0.07,0,0.0,15.22,68.29,Germany,['Germany'],unknown,170,0,False,11.36,9.58,73.64,2.67,63.89,0.30000000000000004,0.5,0.59,4.01,6.69,0.8200000000000001,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,3,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,66.67,1.56,61.9,0.59,1.11,0.15,38.24,0.52,0.37,56.51,84.76,19.68,67.55,2.9699999999999998,95.0,47.23,91.98,9.28,48.0,26.48,38.95,0.0,0.07,0.0,0.07,0.0,0.0,0.0,7.05,49.47,0.45,16.67,0.0,0.0,0.15,0.0,11.29,67.11,95.4,32.3,0,,0,,0,0.0,0.0,0.0,,,1.78,,2.67,0.0,0.0,0.0,0.0,0,0.0
M. Nakao,Momo Nakao,-106783,Celtic,Memphis Tigers,https://cdn5.wyscout.com/photos/team/public/g5415_120x120.png,SWPL 1,"RCMF, RDMF, LCMF",RCMF,28,RDMF,18,LCMF,14,24.0,2002-03-09,0,,13,1301,3,3.29,0,1.09,19.65,53.17,Japan,['Japan'],,157,0,False,8.23,5.95,74.42,2.21,43.75,0.14,0.23,0.28,3.67,6.16,0.55,0,0.0,0,0.0,2.84,0.21,3,0.21,0.23,1,0.07,24,1.6600000000000001,45.83,12.5,0.0,1.11,12.5,0.48,0.0,0.62,22.22,0.28,3.5300000000000002,54.9,9.82,44.37,2.01,2.08,0.21,23.73,0.28,1.18,37.84,80.8,13.84,70.0,4.98,94.44,32.58,85.99,4.22,59.02,19.06,32.63,0.08,0.97,0.0,0.0,0.21,0.0,0.07,7.89,71.93,2.63,39.47,0.55,25.0,0.76,0.21,7.75,75.89,87.5,14.39,0,,0,,0,0.0,0.0,0.0,,,0.14,,2.21,0.0,0.0,0.0,0.28,1,0.0
C. Hayes,Camber Hayes,-215982,,Memphis Tigers,,,"LB, LCB3",LB,69,LCB3,29,,0,24.0,2002-03-13,0,,13,1269,0,0.68,1,0.49,20.64,67.01,United States,['United States'],unknown,168,0,False,13.19,10.43,82.31,1.49,28.57,0.64,1.05,0.14,3.9699999999999998,6.5600000000000005,0.78,0,0.0,0,0.0,2.06,0.0,0,0.0,0.05,0,0.0,4,0.28,0.0,0.0,0.07,0.85,41.67,0.78,36.36,0.07,100.0,0.07,2.27,71.88,7.02,52.53,0.21,2.7,0.07,24.11,1.06,1.06,35.82,82.97,14.61,73.79,3.9699999999999998,94.64,31.21,87.73,3.76,52.83,20.07,30.13,0.03,0.5700000000000001,0.0,0.0,0.14,50.0,0.14,8.01,78.76,1.9100000000000001,44.44,0.5,14.29,0.43,0.43,10.14,79.72,90.82,14.68,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.49,0.28,0.0,0.0,0.0,0,0.0
