Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Eden,Danielle Eden,-475734,Rhode Island Rhody,Rhode Island Rhody,https://cdn5.wyscout.com/photos/team/public/g-7694_120x120.png,NCAA D1 Atlantic 10 (W),GK,GK,100,,0,,0,21.0,2004-08-07,0,,13,1264,0,0.0,0,0.0,1.1400000000000001,50.0,United States,['United States'],unknown,180,0,False,1.99,0.07,0.0,0.36,60.0,0.0,0.0,0.0,1.99,2.7199999999999998,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,60.0,0.0,0.0,0.0,11.04,0.07,0.36,22.22,65.71,16.73,56.17,0.0,0.0,6.55,93.48,15.59,54.34,37.25,43.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,40.0,0.07,0.0,0.0,0.0,0.0,0.0,11.61,61.35,95.65,4.91,11,0.78,46,3.2800000000000002,6,76.09,11.79,0.84,0.79,0.056,0.0,1.1400000000000001,0.36,,,,0.0,0,0
A. Gilbert,Allison  Gilbert,-353387,Rhode Island Rhody,Rhode Island Rhody,https://cdn5.wyscout.com/photos/team/public/g-7694_120x120.png,NCAA D1 Atlantic 10 (W),"RCB, LCB",RCB,81,LCB,10,,0,21.0,2004-09-22,0,,13,1224,0,0.0,0,0.02,11.91,64.2,United States,['United States'],unknown,168,0,False,11.03,6.76,70.65,2.2800000000000002,51.61,0.74,0.97,0.51,5.51,7.28,0.22,0,0.0,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.15,50.0,0.0,0.37,100.0,1.47,65.0,0.0,0.66,0.15,14.34,0.15,0.37,31.4,69.09,14.04,48.69,3.9,96.23,23.53,80.94,7.72,33.33,21.53,34.37,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.63,39.68,0.74,10.0,0.37,40.0,0.07,0.0,6.91,42.55,87.5,11.18,0,,0,,0,0.0,0.0,0.0,,,3.5300000000000002,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0
B. Reda,Batoul Reda,-363901,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g-7692_120x120.png,NCAA D1 Atlantic 10 (W),GK,GK,100,,0,,0,,,0,,12,1219,0,0.0,0,0.0,0.59,75.0,United States,['United States'],unknown,173,0,False,2.14,0.07,0.0,0.37,100.0,0.0,0.0,0.0,2.14,3.45,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,0.07,0.07,17.35,78.72,9.97,65.93,0.0,0.0,9.45,98.44,7.9,55.14,31.57,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,65.57,96.55,6.42,3,0.22,30,2.21,9,90.0,6.04,0.45,3.04,0.224,0.0,1.33,0.37,,,,0.0,0,0
E. Raimondi,Ella Raimondi,-363902,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g-7692_120x120.png,NCAA D1 Atlantic 10 (W),LCB,LCB,96,,0,,0,,,0,,12,1189,2,1.81,0,0.0,8.55,63.72,United States,['United States'],unknown,178,0,False,4.31,2.7199999999999998,66.67,3.86,68.63,0.15,0.24,0.30000000000000004,2.35,3.77,0.45,0,0.0,0,0.0,0.30000000000000004,0.15,2,0.15,0.14,2,0.15,15,1.1400000000000001,20.0,13.333,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,1.1400000000000001,46.67,1.67,0.30000000000000004,0.0,18.47,0.30000000000000004,0.23,36.03,69.96,23.39,60.52,1.06,100.0,24.07,83.33,11.88,43.31,25.54,38.67,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.65,32.67,0.61,0.0,0.30000000000000004,0.0,0.0,0.0,10.45,65.94,91.06,9.31,0,,0,,0,0.0,0.0,0.0,,,0.61,,3.86,0.0,0.0,0.0,0.0,0,0
M. Carstensen,Mie Jung Carstensen,-186990,Rhode Island Rhody,Rhode Island Rhody,https://cdn5.wyscout.com/photos/team/public/g-7694_120x120.png,NCAA D1 Atlantic 10 (W),"DMF, LCMF",DMF,39,LCMF,37,,0,25.0,2001-04-30,0,,13,1184,1,3.13,2,0.65,22.73,48.49,Denmark,['Denmark'],,163,0,False,10.57,8.89,66.67,5.4,42.25,0.15,0.19,0.08,4.48,5.71,1.52,0,0.0,0,0.0,1.06,0.08,1,0.08,0.24,0,0.0,25,1.9,40.0,4.0,0.15,0.46,16.67,0.23,0.0,0.23,33.33,0.0,0.30000000000000004,25.0,5.02,30.3,1.67,1.44,0.15,23.11,1.67,0.91,45.3,64.93,19.99,53.61,5.02,87.88,36.49,71.46,8.44,39.64,20.38,36.23,0.05,0.53,0.0,0.15,0.23,66.67,0.30000000000000004,11.86,52.56,2.58,41.18,0.53,57.14,1.22,0.0,9.43,71.77,70.56,13.68,0,,0,,0,0.0,0.0,0.0,,,0.23,,5.4,0.0,0.0,0.0,0.0,0,0
K. Karfonta,Kyra  Karfonta,-727272,Dayton Flyers,Dayton Flyers,https://cdn5.wyscout.com/photos/team/public/g-7692_120x120.png,NCAA D1 Atlantic 10 (W),LB,LB,95,,0,,0,,,0,,12,1182,4,3.14,2,2.7800000000000002,19.26,62.06,,[],unknown,175,0,False,10.51,7.46,74.49,2.74,58.33,0.38,0.61,0.15,4.57,7.32,0.6900000000000001,0,0.0,0,0.0,2.59,0.30000000000000004,1,0.08,0.24,0,0.0,12,0.91,58.33,33.333,0.15,2.06,55.56,1.75,52.17,0.30000000000000004,75.0,0.15,1.75,52.17,7.08,51.61,0.61,1.83,0.15,22.31,1.29,2.44,41.42,69.67,24.97,60.37,4.34,94.74,31.14,79.22,8.3,37.61,22.32,38.31,0.21,2.13,0.0,0.0,0.0,0.0,0.38,9.67,54.33,2.51,42.42,0.23,33.33,0.15,1.1400000000000001,12.64,70.48,80.8,9.52,0,,0,,0,0.0,0.0,0.0,,,0.46,,2.74,1.37,0.15,0.0,5.63,3,100
B. Hockett,Blakely  Hockett,-727577,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-7687_120x120.png,NCAA D1 Atlantic 10 (W),LCB,LCB,100,,0,,0,,,0,,12,1178,2,1.48,0,0.03,11.08,64.83,United States,['United States'],unknown,177,0,False,6.19,5.58,72.6,3.06,62.5,0.23,0.38,0.15,1.9100000000000001,3.19,0.38,1,0.08,0,0.0,0.53,0.15,2,0.15,0.11,2,0.15,11,0.84,63.64,18.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,33.33,1.07,0.31,0.0,18.11,0.15,0.46,35.07,75.6,18.26,64.44,2.14,96.43,29.41,82.6,5.65,39.19,20.47,33.85,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.74,54.84,0.23,0.0,0.15,0.0,0.08,0.0,9.09,61.34,88.05,12.15,0,,0,,0,0.0,0.0,0.0,,,1.99,,3.06,0.0,0.0,0.0,0.0,0,0
L. Camacho,Lilly Camacho,-472686,Rhode Island Rhody,Rhode Island Rhody,https://cdn5.wyscout.com/photos/team/public/g-7694_120x120.png,NCAA D1 Atlantic 10 (W),LCB,LCB,91,,0,,0,,,0,,13,1177,0,0.35000000000000003,0,0.03,12.85,67.26,United States,['United States'],unknown,165,0,False,10.32,6.12,80.0,2.37,70.97,0.08,0.1,0.61,5.35,6.67,0.46,1,0.08,0,0.0,0.31,0.0,0,0.0,0.03,0,0.0,3,0.23,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.54,57.14,2.75,44.44,0.15,1.38,0.08,13.46,0.15,0.38,32.88,68.14,17.36,57.71,2.91,92.11,24.93,76.69,7.88,41.75,21.26,29.95,0.0,0.08,0.0,0.0,0.08,0.0,0.0,5.05,36.36,0.38,20.0,0.31,0.0,0.15,0.0,9.33,57.38,82.58,10.09,0,,0,,0,0.0,0.0,0.0,,,1.76,,2.37,0.31,0.0,0.0,0.0,0,0
E.  Parker,Emma   Parker,-727558,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-7687_120x120.png,NCAA D1 Atlantic 10 (W),GK,GK,100,,0,,0,,,0,,12,1173,0,0.0,0,0.0,0.54,85.71,United States,['United States'],unknown,185,0,False,2.69,0.0,0.0,0.54,85.71,0.0,0.0,0.0,2.69,4.53,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,9.97,0.15,0.23,20.41,72.93,14.96,65.64,0.0,0.0,7.14,96.77,13.2,60.47,37.48,45.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,56.25,0.23,0.0,0.31,0.0,0.0,0.0,8.98,82.05,93.94,5.06,10,0.77,38,2.92,5,73.68,8.96,0.6900000000000001,-1.04,-0.08,0.0,1.38,0.54,,,,0.0,0,0
C. Welker,Camille Welker,-353684,Saint Louis Billikens,Saint Louis Billikens,https://cdn5.wyscout.com/photos/team/public/g-7687_120x120.png,NCAA D1 Atlantic 10 (W),RCB,RCB,98,,0,,0,21.0,2004-04-20,0,,12,1131,0,0.05,0,0.17,14.8,64.52,United States,['United States'],unknown,170,0,False,10.42,8.12,78.43,2.39,60.0,0.9500000000000001,1.6099999999999999,0.08,3.1,5.25,0.72,0,0.0,0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.16,50.0,0.0,0.0,0.16,50.0,0.0,0.56,57.14,2.55,53.13,0.08,0.9500000000000001,0.0,21.09,0.08,0.48,39.39,70.51,22.12,60.07,3.02,84.21,28.33,79.78,10.9,46.72,21.91,33.56,0.01,0.24,0.0,0.0,0.0,0.0,0.08,8.04,54.46,0.64,50.0,0.24,66.67,0.32,0.08,11.7,57.82,88.65,11.22,0,,0,,0,0.0,0.0,0.0,,,2.07,,2.39,0.16,0.0,0.0,0.0,0,0
