Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A.  Todd,Addie   Todd,-603644,Florida State Seminoles,Florida State Seminoles,https://cdn5.wyscout.com/photos/team/public/g-7703_120x120.png,NCAA D1 Atlantic Coast (W),GK,GK,100,,0,,0,,,0,,13,1394,0,0.0,0,0.0,0.19,66.67,United States,['United States'],unknown,176,0,False,0.9,0.0,0.0,0.13,100.0,0.0,0.0,0.0,0.9,1.52,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.27,0.0,0.0,20.01,85.81,8.2,72.44,0.0,0.0,14.72,98.68,5.29,50.0,27.28,38.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,55.56,0.0,0.0,0.0,0.0,0.0,0.0,4.26,56.06,94.8,11.17,16,1.03,49,3.16,4,67.35,14.94,0.96,-1.06,-0.068,0.0,1.03,0.13,,,,0.0,0,0.0
C. Boeckmann,Carissa Boeckmann,-278591,SL Benfica,Florida State Seminoles,https://cdn5.wyscout.com/photos/team/public/g-11170_120x120.png,1a Divisão Women,"DMF, RCMF, LCMF",DMF,30,RCMF,24,LCMF,13,22.0,2003-05-23,0,,13,1331,0,0.27,2,0.6900000000000001,11.77,54.6,United States,['United States'],unknown,165,0,False,6.76,4.67,73.91,1.35,45.0,0.0,0.0,0.2,3.31,5.36,0.27,2,0.14,0,0.0,1.08,0.0,0,0.0,0.02,0,0.0,10,0.68,10.0,0.0,0.14,0.27,75.0,0.07,100.0,0.2,66.67,0.0,0.88,76.92,3.7199999999999998,43.64,0.14,0.47000000000000003,0.0,18.93,0.14,0.61,33.54,80.44,12.92,63.35,6.15,96.7,29.01,86.48,4.26,39.68,19.39,34.39,0.05,0.41000000000000003,0.0,0.0,0.34,40.0,0.14,6.76,60.0,1.56,56.52,0.61,44.44,0.81,0.2,6.15,73.63,89.8,9.94,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.35,0.0,0.0,0.0,0.0,0,0.0
C. Gagne,Clare Gagne,-274529,,North Carolina Heels,,,GK,GK,100,,0,,0,,,0,,13,1314,0,0.0,0,0.0,0.68,80.0,United States,['United States'],unknown,178,0,False,2.26,0.07,100.0,0.27,100.0,0.0,0.0,0.0,2.19,3.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,10.34,0.14,0.21,17.12,80.4,10.27,69.33,0.0,0.0,9.52,97.84,7.53,59.09,29.16,37.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,33.33,0.0,0.0,0.07,0.0,0.0,0.0,4.93,59.72,97.53,5.55,14,0.96,58,3.9699999999999998,6,75.86,15.14,1.04,1.1400000000000001,0.078,0.0,0.8200000000000001,0.27,,,,0.0,0,0.0
T. Dellarose,Tessa Dellarose,-474548,North Carolina Heels,North Carolina Heels,https://cdn5.wyscout.com/photos/team/public/g-7699_120x120.png,NCAA D1 Atlantic Coast (W),"LCMF, LDMF, DMF",LCMF,39,LDMF,27,DMF,19,,,0,,13,1274,0,0.67,2,1.38,18.65,52.27,United States,['United States'],unknown,165,0,False,10.74,7.49,64.15,3.96,58.93,0.42,0.6000000000000001,0.35000000000000003,5.51,7.8,0.49,1,0.07,0,0.0,0.78,0.0,0,0.0,0.05,0,0.0,6,0.42,0.0,0.0,0.14,0.5700000000000001,37.5,0.5700000000000001,37.5,0.0,0.0,0.07,0.85,58.33,5.65,36.25,0.35000000000000003,0.5700000000000001,0.28,32.85,0.14,0.5700000000000001,51.85,84.88,19.57,73.29,7.21,98.04,48.25,87.26,3.04,55.81,17.26,36.62,0.1,0.99,0.0,0.07,0.07,100.0,0.21,8.69,75.61,1.27,61.11,0.14,50.0,0.35000000000000003,0.21,8.62,72.95,92.71,17.45,0,,0,,0,0.0,0.0,0.0,,,0.28,,3.96,0.07,0.0,0.0,0.21,0,0.0
K. Faasse,Kate Faasse,-306374,North Carolina Heels,North Carolina Heels,https://cdn5.wyscout.com/photos/team/public/g-7699_120x120.png,NCAA D1 Atlantic Coast (W),"CF, RAMF",CF,76,RAMF,14,,0,21.0,2004-06-04,0,,13,1264,11,5.76,0,0.28,16.38,36.09,United States,['United States'],unknown,170,0,False,3.2800000000000002,2.56,61.11,4.13,37.93,0.0,0.0,0.07,1.71,2.37,1.07,1,0.07,0,0.0,2.49,0.78,9,0.64,0.41000000000000003,3,0.21,31,2.21,64.52,35.484,0.0,1.1400000000000001,12.5,0.28,25.0,0.85,8.33,0.21,1.6400000000000001,56.52,7.76,26.61,3.56,1.6400000000000001,0.28,15.95,2.35,0.71,22.93,70.5,4.7,50.0,6.48,84.62,20.93,75.51,0.93,23.08,15.32,19.17,0.02,0.36,0.0,0.0,0.0,0.0,0.07,2.14,46.67,0.85,33.33,0.0,0.0,0.36,0.14,2.7800000000000002,51.28,75.0,6.84,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.13,0.0,0.0,0.0,0.0,2,100.0
M. Zanten,Mimi Van  Zanten,-603698,Florida State Seminoles,Florida State Seminoles,https://cdn5.wyscout.com/photos/team/public/g-7703_120x120.png,NCAA D1 Atlantic Coast (W),"LB, LCB3",LB,55,LCB3,42,,0,,,0,,13,1258,1,0.39,0,0.26,17.46,62.3,United States,['United States'],unknown,165,0,False,11.8,8.37,72.65,3.22,57.78,0.79,1.28,0.07,4.94,8.05,0.72,1,0.07,0,0.0,1.0,0.07,1,0.07,0.03,0,0.0,6,0.43,50.0,16.667,0.0,0.36,20.0,0.36,20.0,0.0,0.0,0.07,1.1400000000000001,62.5,3.22,46.67,0.64,1.22,0.07,23.61,0.64,0.5700000000000001,42.78,73.41,23.47,65.55,3.36,78.72,34.84,80.7,7.58,42.45,20.22,32.4,0.02,0.21,0.0,0.0,0.0,0.0,0.0,9.8,65.69,1.43,40.0,0.43,50.0,0.43,0.07,13.09,61.75,87.73,11.66,0,,0,,0,0.0,0.0,0.0,,,0.72,,3.22,0.0,0.0,0.0,0.0,0,0.0
L. Ullmark,Linda Ullmark,-315710,North Carolina Heels,North Carolina Heels,https://cdn5.wyscout.com/photos/team/public/g-7699_120x120.png,NCAA D1 Atlantic Coast (W),"AMF, CF, RAMF",AMF,37,CF,30,RAMF,12,19.0,2006-04-21,0,,13,1247,3,3.18,1,0.46,27.28,35.71,United States,['United States'],unknown,165,0,False,6.78,5.99,67.47,2.31,28.13,0.14,0.2,0.0,2.6,3.5300000000000002,1.15,0,0.0,0,0.0,2.6,0.22,3,0.22,0.23,0,0.0,25,1.8,20.0,12.0,0.07,1.15,12.5,0.29,50.0,0.87,0.0,0.29,4.04,46.43,16.09,26.01,2.17,3.03,0.51,17.25,0.79,0.58,27.64,71.02,8.3,57.39,7.07,85.71,24.97,76.3,1.6600000000000001,30.43,15.73,27.63,0.03,0.72,0.0,0.0,0.51,42.86,0.14,3.68,60.78,2.24,48.39,0.51,42.86,1.08,0.14,4.69,61.54,66.67,6.71,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.31,0.0,0.0,0.0,0.14,0,0.0
T. Huff,Taylor Huff,-274147,Bay,Florida State Seminoles,https://cdn5.wyscout.com/photos/team/public/g-20988_120x120.png,NWSL,"LCMF, AMF, LCMF3",LCMF,25,AMF,22,LCMF3,16,23.0,2002-08-16,0,,13,1240,6,5.04,0,1.51,21.05,51.72,United States,['United States'],unknown,173,0,False,5.66,3.34,69.57,4.94,60.29,0.15,0.24,0.0,3.19,5.2,0.73,0,0.0,0,0.0,4.5,0.44,5,0.36,0.37,1,0.07,45,3.27,37.78,13.333,0.0,2.1,44.83,1.38,42.11,0.65,44.44,0.22,3.99,56.36,10.02,43.48,3.7,2.1,0.44,22.86,1.23,1.38,36.51,72.37,13.21,62.09,5.73,88.61,31.35,76.16,3.19,50.0,17.19,31.5,0.11,1.09,0.29,0.15,0.44,16.67,0.22,6.24,62.79,3.92,64.81,0.8,18.18,1.96,0.8,5.95,80.49,80.13,11.32,0,,0,,0,0.0,0.0,0.0,,,0.15,,4.94,1.02,0.29,50.0,1.16,1,100.0
A. Nagai,Aria Nagai,-272582,Utah Royals FC,North Carolina Heels,https://cdn5.wyscout.com/photos/team/public/g-8683_120x120.png,NWSL,"RCMF, RDMF, RCMF3",RCMF,44,RDMF,30,RCMF3,18,24.0,2001-12-08,0,,13,1224,3,1.48,1,0.9,17.57,53.14,United States,['United States'],unknown,160,0,False,9.34,6.03,68.29,2.35,40.63,0.15,0.2,0.22,5.07,6.92,0.66,0,0.0,0,0.0,1.03,0.22,3,0.22,0.11,0,0.0,9,0.66,44.44,33.333,0.07,0.44,16.67,0.22,33.33,0.22,0.0,0.07,1.4,47.37,6.99,41.05,0.81,0.66,0.0,26.25,0.44,1.69,40.29,79.74,13.53,65.76,4.49,96.72,37.21,82.21,2.65,55.56,17.69,35.92,0.07,0.59,0.0,0.07,0.07,0.0,0.07,6.47,71.59,1.99,44.44,0.15,50.0,0.81,0.07,6.91,64.89,86.67,16.54,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.35,0.07,0.0,0.0,0.29,0,0.0
K. Simmonds,Kameron Necole Simmonds,-355199,Florida State Seminoles,Florida State Seminoles,https://cdn5.wyscout.com/photos/team/public/g-7703_120x120.png,NCAA D1 Atlantic Coast (W),"RCB3, RCB, RB",RCB3,41,RCB,24,RB,10,21.0,2003-12-06,0,,13,1223,3,1.08,1,0.67,14.72,57.5,Jamaica,['Jamaica'],unknown,170,0,False,6.99,7.36,65.0,1.8399999999999999,52.0,0.15,0.23,0.15,2.06,3.27,0.81,0,0.0,0,0.0,1.32,0.22,3,0.22,0.08,0,0.0,4,0.29,75.0,75.0,0.07,0.59,37.5,0.0,0.0,0.59,37.5,0.07,1.69,52.17,3.83,42.31,0.96,0.96,0.0,19.8,0.74,0.96,31.2,74.06,15.6,58.96,4.05,96.36,23.84,84.88,6.84,39.78,21.8,32.26,0.05,0.37,0.0,0.0,0.0,0.0,0.15,6.77,56.52,1.32,16.67,0.66,11.11,0.44,0.07,7.65,68.27,90.0,8.83,0,,0,,0,0.0,0.0,0.0,,,1.1,,1.8399999999999999,0.07,0.0,0.0,0.0,0,0.0
