Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Dawe,Sophie  Dawe,-474566,Kansas Jayhawks,Kansas Jayhawks,https://cdn5.wyscout.com/photos/team/public/g-7715_120x120.png,NCAA D1 Big 12 (W),GK,GK,100,,0,,0,,,0,,15,1533,0,0.0,0,0.0,0.65,63.64,United States,['United States'],unknown,180,0,False,1.4100000000000001,0.06,100.0,0.41000000000000003,57.14,0.0,0.0,0.0,1.35,1.8399999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.12,0.0,0.0,3.64,0.0,0.18,8.45,79.17,5.23,69.66,0.06,0.0,4.34,97.3,4.05,60.87,36.39,48.1,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,3.29,73.21,97.67,2.52,13,0.76,41,2.41,7,68.29,13.06,0.77,0.06,0.004,0.0,0.76,0.41000000000000003,,,,0.0,0,0.0
K. Langfelder,Kate  Langfelder,-545300,Kansas Jayhawks,Kansas Jayhawks,https://cdn5.wyscout.com/photos/team/public/g-7715_120x120.png,NCAA D1 Big 12 (W),"RCMF3, DMF, RCMF",RCMF3,38,DMF,23,RCMF,14,19.0,2006-07-09,0,,15,1470,0,0.39,0,1.13,17.57,56.45,Switzerland,['Switzerland'],unknown,0,0,False,10.41,7.53,73.17,2.76,35.56,0.18,0.25,0.18,4.71,6.35,0.55,0,0.0,0,0.0,0.86,0.0,0,0.0,0.02,0,0.0,9,0.55,0.0,0.0,0.0,0.73,41.67,0.37,66.67,0.37,16.67,0.06,0.98,50.0,4.35,43.66,1.04,0.73,0.0,13.53,0.61,1.53,29.88,65.78,13.65,47.09,4.04,86.36,24.55,73.82,4.59,26.67,18.21,32.03,0.07,0.86,0.06,0.0,0.18,33.33,0.12,6.43,43.81,2.33,31.58,0.73,33.33,0.8,0.31,5.82,60.0,79.26,8.27,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.76,0.0,0.0,0.0,0.0,0,0.0
C. Castans,Caroline  Castans,-474595,Kansas Jayhawks,Kansas Jayhawks,https://cdn5.wyscout.com/photos/team/public/g-7715_120x120.png,NCAA D1 Big 12 (W),"LWB, LB5, LB",LWB,35,LB5,27,LB,19,,,0,,15,1469,3,0.45,1,1.47,9.86,60.25,United States,['United States'],unknown,175,0,False,9.43,4.59,69.33,1.4100000000000001,56.52,0.06,0.08,0.06,6.19,8.32,0.55,1,0.06,0,0.0,3.61,0.18,3,0.18,0.03,0,0.0,8,0.49,50.0,37.5,0.06,5.51,38.89,5.21,37.65,0.31,60.0,0.98,1.8399999999999999,66.67,2.63,51.16,0.18,1.35,0.25,23.89,0.61,0.06,42.89,61.29,19.61,49.38,5.7,94.62,28.49,72.26,9.13,39.6,23.19,40.03,0.09,1.35,0.06,0.0,0.0,0.0,0.43,10.72,45.71,6.31,42.72,0.8,15.38,0.55,2.27,13.36,74.31,68.16,12.31,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.4100000000000001,0.43,0.0,0.0,2.51,0,0.0
C. Patton,Cameron Patton,-601665,TCU Frogs,TCU Frogs,https://cdn5.wyscout.com/photos/team/public/g-7716_120x120.png,NCAA D1 Big 12 (W),RB,RB,100,,0,,0,,,0,,14,1411,1,0.64,4,3.8,21.11,53.47,United States,['United States'],unknown,160,0,False,9.38,8.48,67.67,0.96,46.67,0.89,1.52,0.06,2.74,4.67,0.7000000000000001,0,0.0,0,0.0,5.68,0.06,1,0.06,0.04,0,0.0,10,0.64,20.0,10.0,0.26,5.29,37.35,0.38,16.67,4.91,38.96,1.02,5.8,59.34,9.82,45.45,2.81,3.32,0.26,33.17,2.23,0.64,44.46,77.62,15.12,69.2,8.04,96.03,34.89,86.11,4.4,57.97,19.36,32.69,0.24,1.34,0.06,0.13,0.26,50.0,0.51,5.1,61.25,4.21,50.0,0.5700000000000001,33.33,0.89,1.9100000000000001,9.44,76.35,77.58,14.22,0,,0,,0,0.0,0.0,0.0,,,0.26,,0.96,0.0,0.0,0.0,1.08,0,0.0
M. Boeve,Mackenzie Boeve,-202176,,Kansas Jayhawks,,,"RCB3, CB, RCB",RCB3,30,CB,29,RCB,24,24.0,2001-05-09,0,,14,1308,0,0.03,1,0.25,13.83,66.17,United States,['United States'],unknown,173,0,False,12.45,6.95,74.26,2.8200000000000003,63.41,1.03,1.3599999999999999,0.41000000000000003,6.26,8.22,1.31,4,0.28,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,2,0.14,50.0,0.0,0.07,0.62,44.44,0.07,100.0,0.55,37.5,0.0,0.34,40.0,1.24,61.11,0.07,0.8300000000000001,0.07,18.78,0.07,1.24,38.74,67.5,19.75,53.66,2.41,94.29,26.01,80.16,12.25,41.57,23.36,32.81,0.02,0.28,0.0,0.0,0.0,0.0,0.07,8.81,47.66,1.79,46.15,0.8300000000000001,58.33,0.6900000000000001,0.34,12.18,58.76,80.71,13.56,0,,0,,0,0.0,0.0,0.0,,,0.55,,2.8200000000000003,0.76,0.0,0.0,0.14,0,0.0
A. Frischknecht,Avery Frischknecht,-356221,BYU Cougars,BYU Cougars,https://cdn5.wyscout.com/photos/team/public/g-7524_120x120.png,NCAA D1 Big 12 (W),RCB,RCB,100,,0,,0,,,0,,13,1303,3,1.6800000000000002,0,0.13,11.33,59.15,United States,['United States'],unknown,155,0,False,7.67,4.97,68.06,2.56,54.05,0.07,0.1,0.6900000000000001,4.21,6.25,0.41000000000000003,2,0.14,0,0.0,1.11,0.21,3,0.21,0.12,3,0.21,15,1.04,53.33,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,61.54,2.9,52.38,1.11,2.21,0.28,21.2,0.21,0.48,38.4,83.63,17.48,72.73,1.73,88.0,35.57,86.99,2.83,41.46,19.83,36.22,0.01,0.21,0.0,0.0,0.0,0.0,0.0,5.39,65.38,0.55,62.5,0.0,0.0,0.6900000000000001,0.0,8.15,61.86,95.32,16.23,0,,0,,0,0.0,0.0,0.0,,,0.97,,2.56,0.07,0.0,0.0,0.0,0,0.0
J. Immethun,Jennie Immethun,-366034,,TCU Frogs,,,RCB,RCB,100,,0,,0,,,0,,14,1295,0,0.0,0,0.0,8.34,63.33,United States,['United States'],unknown,165,0,False,7.16,5.07,76.71,0.8300000000000001,25.0,0.21,0.36,0.21,3.06,5.34,0.28,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,33.33,1.18,35.29,0.0,0.14,0.0,46.98,0.21,0.28,60.32,95.16,17.44,88.05,4.24,100.0,57.75,96.39,2.5700000000000003,67.57,19.62,32.58,0.0,0.0,0.07,0.07,0.0,0.0,0.0,3.47,86.0,0.21,33.33,0.21,33.33,0.07,0.0,6.74,72.16,99.16,33.08,0,,0,,0,0.0,0.0,0.0,,,3.47,,0.8300000000000001,0.0,0.0,0.0,0.0,0,0.0
M. Mooney,Maddie Mooney,-274356,,TCU Frogs,,,LCB,LCB,100,,0,,0,,,0,,14,1292,1,0.52,0,0.47000000000000003,9.68,62.59,United States,['United States'],unknown,173,0,False,6.69,4.95,73.24,2.16,48.39,0.0,0.0,0.28,3.07,5.22,0.7000000000000001,2,0.14,0,0.0,0.21,0.07,1,0.07,0.04,1,0.07,4,0.28,25.0,25.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.28,50.0,1.46,52.38,0.42,0.84,0.07,57.68,0.49,0.21,74.81,89.2,30.86,78.56,4.04,96.55,65.48,94.79,9.26,50.38,22.64,36.97,0.03,0.21,0.0,0.0,0.0,0.0,0.21,7.52,62.96,0.21,33.33,0.35000000000000003,40.0,0.14,0.0,14.0,75.62,97.55,36.92,0,,0,,0,0.0,0.0,0.0,,,3.34,,2.16,0.0,0.0,0.0,0.0,0,0.0
G. Gordon,Grace Gordon,-234340,KC Current,Oklahoma State Cowgirls,https://cdn5.wyscout.com/photos/team/public/g-14009_120x120.png,NWSL,GK,GK,100,,0,,0,,,0,,13,1289,0,0.0,0,0.0,0.7000000000000001,70.0,United States,['United States'],unknown,178,0,False,1.82,0.07,0.0,0.42,83.33,0.07,0.09,0.0,1.75,2.22,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.14,12.36,65.54,9.01,56.59,0.0,0.0,5.17,93.24,7.19,45.63,38.3,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,63.93,89.13,3.21,15,1.05,59,4.12,7,74.58,16.7,1.17,1.7000000000000002,0.11900000000000001,0.0,1.05,0.42,,,,0.0,0,0.0
C. Taylor,Cassie Taylor,-276320,,Texas Tech Red Raiders,,,RCB,RCB,91,,0,,0,,,0,,13,1285,0,0.87,0,0.21,12.26,72.0,United States,['United States'],unknown,175,0,False,9.25,6.37,82.42,1.96,64.29,0.0,0.0,0.49,3.99,5.43,0.35000000000000003,1,0.07,0,0.0,0.21,0.0,0,0.0,0.06,0,0.0,6,0.42,0.0,0.0,0.0,0.21,0.0,0.07,0.0,0.07,0.0,0.0,0.28,75.0,2.59,54.05,0.56,1.12,0.0,33.13,0.28,0.7000000000000001,47.21,84.87,18.56,71.32,4.83,95.65,39.29,92.87,7.77,45.95,22.52,37.78,0.01,0.14,0.0,0.0,0.0,0.0,0.14,5.67,50.62,0.35000000000000003,0.0,0.28,0.0,0.14,0.0,8.54,60.66,95.02,19.68,0,,0,,0,0.0,0.0,0.0,,,3.5,,1.96,0.0,0.0,0.0,0.0,0,0.0
