Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Hanson,Kaya Hanson,-468222,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),"CB, LCB, RCB",CB,54,LCB,27,RCB,10,,,0,,12,1210,0,1.11,0,0.15,12.2,57.32,United States,['United States'],unknown,0,0,False,9.6,5.65,71.05,3.27,43.18,0.0,0.0,0.30000000000000004,5.58,8.24,1.12,1,0.07,0,0.0,0.22,0.0,0,0.0,0.08,0,0.0,9,0.67,0.0,0.0,0.0,0.15,50.0,0.15,50.0,0.0,0.0,0.0,0.30000000000000004,50.0,1.6400000000000001,36.36,0.8200000000000001,0.67,0.0,15.92,0.07,0.30000000000000004,36.37,75.46,16.44,58.82,2.6,91.43,29.23,82.44,6.99,46.81,22.13,34.92,0.01,0.15,0.0,0.0,0.0,0.0,0.07,4.46,50.0,0.15,50.0,0.0,0.0,0.07,0.07,8.11,55.05,94.3,14.36,0,,0,,0,0.0,0.0,0.0,,,1.04,,3.27,0.30000000000000004,0.0,0.0,0.0,0,0.0
E. Brayshaw,Esme Brayshaw,-357117,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),"LCB3, LB",LCB3,53,LB,46,,0,,,0,,12,1168,0,0.06,0,0.03,14.02,53.85,United States,['United States'],unknown,0,0,False,8.32,6.7,71.26,1.7000000000000002,36.36,0.0,0.0,0.08,3.54,5.27,0.62,0,0.0,0,0.0,1.31,0.0,0,0.0,0.0,0,0.0,2,0.15,50.0,0.0,0.0,0.62,50.0,0.54,57.14,0.08,0.0,0.0,1.3900000000000001,66.67,3.7800000000000002,40.82,0.0,2.54,0.46,22.96,0.31,0.0,40.45,72.19,24.12,65.81,1.9300000000000002,84.0,33.67,78.26,6.16,41.25,19.62,30.27,0.0,0.08,0.15,0.08,0.0,0.0,0.0,9.55,61.29,0.85,36.36,0.15,0.0,0.08,0.31,12.33,71.88,84.33,10.33,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.7000000000000002,0.0,0.0,0.0,0.0,0,0.0
C. Martin,Cara Martin,-357115,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),GK,GK,100,,0,,0,,,0,,12,1168,0,0.0,0,0.0,0.77,90.0,United States,['United States'],unknown,0,0,False,2.54,0.0,0.0,0.46,100.0,0.0,0.0,0.0,2.54,3.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,4.32,0.0,0.31,10.86,84.4,5.39,71.43,0.0,0.0,7.01,97.8,3.85,60.0,28.24,41.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,62.5,0.0,0.0,0.0,0.0,0.0,0.0,2.62,64.71,96.92,5.01,4,0.31,31,2.39,7,87.1,7.78,0.6000000000000001,3.7800000000000002,0.291,0.0,0.77,0.46,,,,0.0,0,0.0
S. Montgomery,Shay  Montgomery,-357437,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),"RCMF, RDMF, LCMF",RCMF,56,RDMF,15,LCMF,10,,,0,,12,1164,4,2.68,5,5.29,21.03,50.37,United States,['United States'],unknown,175,0,False,9.66,5.64,79.45,3.17,51.22,0.0,0.0,0.0,5.18,7.64,0.62,0,0.0,0,0.0,3.4,0.31,3,0.23,0.21,0,0.0,30,2.32,36.67,13.333,0.39,2.09,37.04,0.62,25.0,1.3900000000000001,44.44,0.15,3.32,48.84,9.05,36.75,1.24,0.77,0.0,16.62,0.15,0.85,35.41,61.57,18.25,50.85,2.09,77.78,27.45,69.3,5.95,33.77,20.66,33.37,0.41000000000000003,2.4,0.15,0.0,0.39,40.0,0.46,10.28,48.12,4.87,49.21,1.01,38.46,1.7000000000000002,0.93,7.96,71.84,74.66,11.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.17,2.32,0.15,0.0,4.95,1,100.0
A. Zalac,Alyssa Zalac,-273628,Creighton Bluejays,Creighton Bluejays,https://cdn5.wyscout.com/photos/team/public/g-7733_120x120.png,NCAA D1 Big East (W),GK,GK,100,,0,,0,,,0,,11,1155,0,0.0,0,0.07,0.62,87.5,Canada,['Canada'],unknown,175,0,False,1.09,0.0,0.0,0.55,100.0,0.0,0.0,0.0,1.09,1.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.8200000000000003,0.08,0.0,9.19,78.81,7.09,73.63,0.0,0.0,2.81,100.0,6.39,69.51,33.82,40.88,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.47000000000000003,33.33,0.0,0.0,0.0,0.0,0.0,0.0,5.06,76.92,95.45,1.71,14,1.09,55,4.29,3,74.55,15.18,1.18,1.18,0.092,0.0,1.6400000000000001,0.55,,,,0.0,0,0.0
L. Heller,Lizzie Heller,-597909,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),LCMF,LCMF,56,,0,,0,,,0,,12,1155,2,1.58,2,1.29,21.58,54.15,United States,['United States'],unknown,0,0,False,9.74,7.09,71.43,5.92,59.21,0.16,0.23,0.16,4.52,6.69,0.62,0,0.0,0,0.0,1.87,0.16,2,0.16,0.12,1,0.08,20,1.56,40.0,10.0,0.16,0.62,62.5,0.23,66.67,0.39,60.0,0.08,1.32,58.82,5.53,30.99,1.09,0.86,0.0,21.82,0.23,0.47000000000000003,36.31,73.39,16.05,60.19,4.99,89.06,30.86,77.78,4.99,48.44,18.86,35.89,0.1,0.62,0.0,0.0,0.39,20.0,0.23,8.81,60.18,1.87,33.33,0.62,25.0,0.62,0.23,6.86,73.86,85.5,10.21,0,,0,,0,0.0,0.0,0.0,,,0.31,,5.92,0.08,0.08,100.0,0.0,0,0.0
M. Galley,Maria  Galley,-353631,Xavier Musketeers,Xavier Musketeers,https://cdn5.wyscout.com/photos/team/public/g-7736_120x120.png,NCAA D1 Big East (W),GK,GK,100,,0,,0,,,0,,12,1135,0,0.0,0,0.0,0.71,88.89,United States,['United States'],,178,0,False,2.14,0.0,0.0,0.63,87.5,0.0,0.0,0.0,2.14,3.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,5.79,0.08,0.32,12.45,88.54,4.44,71.43,0.0,0.0,9.59,95.87,2.7800000000000002,65.71,26.13,34.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0,2.3,55.17,98.91,7.3,9,0.71,32,2.54,6,71.88,8.27,0.66,-0.73,-0.058,0.0,1.27,0.63,,,,0.0,0,0.0
A. Carson,Anna Carson,-474741,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-7610_120x120.png,NCAA D1 Big East (W),"RCB, LCB",RCB,65,LCB,24,,0,,,0,,11,1101,1,0.8300000000000001,0,0.55,6.95,58.82,United States,['United States'],unknown,0,0,False,6.46,3.68,77.78,1.72,42.86,0.0,0.0,0.41000000000000003,3.6,4.8,0.16,0,0.0,0,0.0,0.33,0.08,1,0.08,0.07,0,0.0,4,0.33,25.0,25.0,0.0,0.33,50.0,0.0,0.0,0.33,50.0,0.0,0.16,50.0,0.9,27.27,0.41000000000000003,0.49,0.08,22.48,0.08,0.0,41.77,74.36,24.2,63.85,1.55,78.95,25.91,88.96,15.53,50.53,25.77,39.0,0.04,0.49,0.0,0.0,0.0,0.0,0.08,8.5,46.15,1.23,20.0,0.8200000000000001,10.0,0.16,0.16,11.04,68.89,92.17,13.57,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.72,2.45,0.08,100.0,0.25,0,0.0
I. Boodell,Isabel Boodell,-468220,Georgetown Hoyas,Georgetown Hoyas,https://cdn5.wyscout.com/photos/team/public/g-7728_120x120.png,NCAA D1 Big East (W),"RCB3, RCB, LCB",RCB3,53,RCB,32,LCB,14,,,0,,12,1093,2,1.3,0,0.98,17.21,65.07,United States,['United States'],unknown,0,0,False,11.36,8.81,79.44,4.12,70.0,0.0,0.0,0.16,4.36,6.12,0.99,1,0.08,0,0.0,0.66,0.16,2,0.16,0.11,1,0.08,6,0.49,50.0,33.333,0.0,0.33,50.0,0.08,0.0,0.25,66.67,0.08,0.41000000000000003,60.0,1.8900000000000001,34.78,0.58,0.41000000000000003,0.0,15.65,0.16,0.33,30.88,74.13,16.06,64.62,1.07,92.31,24.7,83.0,5.85,38.03,21.54,36.51,0.08,0.33,0.0,0.0,0.0,0.0,0.08,5.52,52.24,0.49,16.67,0.25,0.0,0.08,0.25,8.89,62.04,84.38,10.54,0,,0,,0,0.0,0.0,0.0,,,0.58,,4.12,0.08,0.0,0.0,0.0,0,0.0
A. Yamas,Ava Yamas,-725741,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-7610_120x120.png,NCAA D1 Big East (W),GK,GK,100,,0,,0,,,0,,11,1083,0,0.0,0,0.0,0.42,100.0,United States,['United States'],unknown,0,0,False,1.25,0.08,100.0,0.17,100.0,0.0,0.0,0.0,1.16,1.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5.15,0.0,0.0,10.97,75.76,5.57,56.72,0.0,0.0,6.32,94.74,4.65,50.0,31.7,43.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,59.09,95.08,5.07,10,0.8300000000000001,43,3.5700000000000003,7,76.74,10.65,0.89,0.65,0.054,0.0,0.91,0.17,,,,0.0,0,0.0
