Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Ditta,Maddie Ditta,-355516,Montana Griz,Montana Griz,https://cdn5.wyscout.com/photos/team/public/g-7740_120x120.png,NCAA D1 Big Sky (W),"LDMF, RDMF, LCMF",LDMF,36,RDMF,29,LCMF,19,,,0,,10,999,1,2.22,0,0.6900000000000001,23.06,56.25,United States,['United States'],unknown,170,0,False,13.06,8.2,68.13,5.59,69.35,0.54,0.72,0.81,6.94,9.2,1.08,1,0.09,0,0.0,0.9,0.09,0,0.0,0.2,0,0.0,22,1.98,9.09,4.545,0.0,0.36,50.0,0.18,50.0,0.18,50.0,0.0,1.26,42.86,7.39,30.49,1.44,0.27,0.0,16.58,0.27,1.26,36.31,78.66,12.16,65.19,5.23,87.93,31.98,83.66,3.96,40.91,17.81,33.82,0.06,0.45,0.0,0.0,0.18,0.0,0.27,6.67,60.81,1.71,31.58,0.81,11.11,0.36,0.18,5.5,59.02,86.81,12.97,0,,0,,0,0.0,0.0,0.0,,,0.54,,5.59,0.09,0.09,0.0,0.0,1,100
 . Thoma,Izzy Thoma,-469071,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),"CB, RCB, LCB",CB,49,RCB,36,LCB,13,,,0,,10,997,0,0.04,0,0.84,8.12,73.33,United States,['United States'],unknown,173,0,False,8.21,4.78,83.02,0.81,77.78,0.0,0.0,1.26,4.24,5.83,0.18,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,2,0.18,50.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.44,56.25,0.0,0.27,0.0,16.43,0.09,0.54,36.02,80.7,15.71,66.09,1.26,85.71,28.8,88.4,7.13,50.63,21.48,32.67,0.08,0.54,0.0,0.0,0.0,0.0,0.0,2.8,54.84,0.36,25.0,0.18,0.0,0.09,0.0,7.4,46.34,93.79,15.98,0,,0,,0,0.0,0.0,0.0,,,0.54,,0.81,1.53,0.09,100.0,0.0,0,0
P. Flores,Paula Flores,-469059,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),GK,GK,100,,0,,0,,,0,,10,997,0,0.0,0,0.0,0.18,50.0,Mexico,['Mexico'],unknown,168,0,False,0.36,0.0,0.0,0.18,50.0,0.0,0.0,0.0,0.36,0.5,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.09,6.32,81.43,3.61,67.5,0.0,0.0,3.16,97.14,3.16,65.71,29.84,39.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,73.08,100.0,2.08,13,1.17,42,3.79,4,69.05,8.35,0.75,-4.65,-0.42,0.0,0.72,0.18,,,,0.0,0,0
M. Boex,Micala Boex,-474673,Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,https://cdn5.wyscout.com/photos/team/public/g-7739_120x120.png,NCAA D1 Big Sky (W),"CF, RAMF",CF,40,RAMF,40,,0,,,0,,10,984,3,4.55,2,1.99,27.44,46.67,United States,['United States'],unknown,167,0,False,7.32,7.68,71.43,3.75,36.59,0.0,0.0,0.0,1.83,2.54,1.65,2,0.18,0,0.0,5.03,0.27,2,0.18,0.42,0,0.0,32,2.93,37.5,9.375,0.18,4.57,24.0,1.37,26.67,3.2,22.86,0.64,4.21,67.39,13.45,38.78,5.76,3.38,0.64,15.91,3.5700000000000003,0.8200000000000001,26.62,51.89,6.68,34.25,5.76,80.95,19.66,61.86,2.65,24.14,17.73,33.51,0.18,1.55,0.0,0.0,0.09,0.0,0.55,1.55,41.18,4.02,36.36,0.18,0.0,1.19,1.37,3.84,64.29,47.06,9.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.75,0.18,0.0,0.0,0.64,1,100
S. Rodgers,Sara Rodgers,-469069,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),"RCMF, DMF, LDMF",RCMF,29,DMF,29,LDMF,20,,,0,,10,981,5,2.39,1,0.30000000000000004,12.2,65.41,United States,['United States'],unknown,173,0,False,10.09,4.59,74.0,3.58,66.67,0.0,0.0,0.28,6.7,9.05,0.46,0,0.0,0,0.0,1.38,0.46,5,0.46,0.22,4,0.37,18,1.65,55.56,27.778,0.09,0.28,33.33,0.09,0.0,0.18,50.0,0.0,0.55,66.67,2.29,48.0,1.28,0.28,0.0,23.03,0.18,0.55,46.15,75.35,17.16,57.75,5.96,93.85,39.82,82.03,6.06,33.33,19.95,39.01,0.03,0.37,0.0,0.0,0.0,0.0,0.09,8.99,51.02,0.92,20.0,0.18,50.0,0.0,0.09,7.8,60.0,84.41,17.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.58,0.0,0.0,0.0,0.0,0,0
A. Ott,Avery  Ott,-365244,Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,https://cdn5.wyscout.com/photos/team/public/g-7739_120x120.png,NCAA D1 Big Sky (W),"CF, AMF",CF,69,AMF,11,,0,,,0,,10,980,5,4.65,2,0.73,30.31,37.27,United States,['United States'],unknown,168,0,False,6.7,5.05,72.73,6.34,39.13,0.0,0.0,0.0,3.03,4.21,1.01,1,0.09,0,0.0,3.21,0.46,5,0.46,0.43,0,0.0,35,3.21,34.29,14.286,0.18,0.73,12.5,0.55,16.67,0.18,0.0,0.09,3.31,52.78,15.43,29.17,2.76,0.73,0.0,14.69,1.65,1.29,27.09,64.75,8.45,47.83,6.06,89.39,24.15,68.06,2.2,45.83,16.7,32.74,0.07,1.01,0.0,0.0,1.01,27.27,0.37,4.87,43.4,2.02,45.45,1.19,23.08,1.01,0.09,4.22,73.91,65.79,6.98,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.34,0.8300000000000001,0.18,0.0,0.09,0,0
A. Dvorak,Ashlyn Dvorak,-355504,Montana Griz,Montana Griz,https://cdn5.wyscout.com/photos/team/public/g-7740_120x120.png,NCAA D1 Big Sky (W),GK,GK,100,,0,,0,,,0,,10,978,0,0.0,0,0.0,1.75,78.95,United States,['United States'],unknown,173,0,False,1.9300000000000002,0.18,0.0,1.29,92.86,0.0,0.0,0.0,1.9300000000000002,2.59,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,12.33,0.0,0.18,24.48,65.79,15.83,53.49,0.0,0.0,10.86,94.07,13.62,43.24,35.51,46.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,33.33,0.0,0.0,0.0,0.0,0.0,0.0,8.28,56.67,89.89,8.19,5,0.46,36,3.31,6,86.11,10.16,0.93,5.16,0.47500000000000003,0.0,3.59,1.29,,,,0.0,0,0
E. Freebury,Ella Freebury,-601848,Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,https://cdn5.wyscout.com/photos/team/public/g-7739_120x120.png,NCAA D1 Big Sky (W),"RB, RWB",RB,60,RWB,25,,0,,,0,,10,976,0,0.93,0,0.12,21.12,48.47,United States,['United States'],unknown,180,0,False,10.7,8.76,68.42,3.23,40.0,0.0,0.0,0.28,4.7,6.48,0.55,1,0.09,0,0.0,1.2,0.0,0,0.0,0.09,0,0.0,7,0.65,28.57,0.0,0.0,1.94,28.57,0.0,0.0,1.94,28.57,0.37,0.65,71.43,6.82,28.38,1.29,0.46,0.18,13.09,1.38,1.11,25.36,63.64,10.97,50.42,5.72,90.32,19.18,74.04,4.33,34.04,20.47,34.88,0.01,0.46,0.0,0.0,0.09,0.0,0.18,4.52,51.02,1.38,53.33,0.18,0.0,0.37,0.65,7.65,59.04,69.39,4.52,0,,0,,0,0.0,0.0,0.0,,,0.55,,3.23,0.0,0.0,0.0,0.0,0,0
M. Caslin,Morgan Caslin,-355540,Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,https://cdn5.wyscout.com/photos/team/public/g-7739_120x120.png,NCAA D1 Big Sky (W),"LB, RCB3, LCB",LB,44,RCB3,25,LCB,16,21.0,2004-05-20,0,,10,952,0,0.1,0,0.18,18.91,58.5,United States,['United States'],unknown,168,0,False,13.52,10.78,67.54,2.55,40.74,0.0,0.0,0.38,6.24,8.72,0.38,1,0.09,0,0.0,1.23,0.0,0,0.0,0.01,0,0.0,5,0.47000000000000003,0.0,0.0,0.0,0.47000000000000003,40.0,0.19,0.0,0.28,66.67,0.0,1.6099999999999999,64.71,3.88,51.22,0.0,1.8,0.38,15.5,0.19,0.5700000000000001,34.03,65.56,20.14,59.15,2.55,92.59,26.0,74.55,7.5600000000000005,36.25,20.02,33.09,0.02,0.5700000000000001,0.09,0.0,0.0,0.0,0.0,7.75,51.22,0.9500000000000001,40.0,0.28,0.0,0.28,0.19,10.49,60.36,80.6,6.33,0,,0,,0,0.0,0.0,0.0,,,0.76,,2.55,0.47000000000000003,0.0,0.0,0.28,0,0
M. Goldner,Miranda  Goldner,-728051,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),"LCB3, LCB, LB",LCB3,51,LCB,29,LB,13,,,0,,10,936,0,0.01,0,0.17,12.5,57.69,United States,['United States'],unknown,157,0,False,8.85,7.12,63.51,1.83,57.89,0.0,0.0,0.67,4.33,5.58,0.0,0,0.0,0,0.0,1.25,0.0,0,0.0,0.0,0,0.0,3,0.29,0.0,0.0,0.0,0.77,50.0,0.67,57.14,0.1,0.0,0.1,1.15,75.0,2.31,54.17,0.0,1.35,0.19,24.9,0.19,0.48,41.83,70.34,23.37,60.91,1.83,84.21,30.67,78.68,10.38,47.22,20.65,29.83,0.02,0.38,0.0,0.0,0.0,0.0,0.1,5.87,62.3,0.96,40.0,0.29,33.33,0.19,0.48,12.79,53.38,85.5,12.6,0,,0,,0,0.0,0.0,0.0,,,0.38,,1.83,0.0,0.0,0.0,0.0,0,0
