Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Deperno,Alexandra Deperno,-219719,,High Point Panthers,,,LCB,LCB,100,,0,,0,23.0,2002-05-20,0,,10,988,0,0.23,2,1.22,7.93,64.37,United States,['United States'],unknown,173,0,False,6.29,3.83,71.43,1.09,58.33,0.09,0.14,0.46,3.46,5.16,0.36,1,0.09,0,0.0,0.73,0.0,0,0.0,0.02,0,0.0,9,0.8200000000000001,0.0,0.0,0.18,0.55,33.33,0.18,50.0,0.36,25.0,0.18,0.55,100.0,1.6400000000000001,77.78,0.73,1.46,0.27,26.51,0.0,0.27,44.18,70.31,23.68,59.62,1.37,86.67,30.79,81.95,12.94,44.37,25.88,38.24,0.11,0.55,0.0,0.0,0.0,0.0,0.18,7.74,44.71,1.0,27.27,0.09,100.0,0.36,0.18,12.21,64.18,85.79,16.67,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.09,1.28,0.18,0.0,0.0,0,0
A. McKessy,Aubrey McKessy,-491852,High Point Panthers,High Point Panthers,https://cdn5.wyscout.com/photos/team/public/g-7748_120x120.png,NCAA D1 Big South (W),GK,GK,100,,0,,0,,,0,,10,976,0,0.0,0,0.0,0.09,100.0,United States,['United States'],unknown,173,0,False,1.48,0.0,0.0,0.0,0.0,0.09,0.14,0.0,1.38,2.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.09,0.0,12.36,83.58,7.47,75.31,0.0,0.0,6.18,97.01,5.99,72.31,31.0,34.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,72.0,98.08,4.8,11,1.01,30,2.77,4,63.33,8.16,0.75,-2.84,-0.262,0.0,0.65,0.0,,,,0.0,0,0
M. Garmey,Megan Garmey,-277181,,High Point Panthers,,,LB,LB,100,,0,,0,,,0,,10,959,1,0.03,0,0.68,17.17,55.19,United States,['United States'],unknown,168,0,False,10.98,9.01,71.88,1.6,64.71,0.09,0.14,0.28,4.41,6.5600000000000005,0.38,0,0.0,0,0.0,2.44,0.09,1,0.09,0.0,0,0.0,3,0.28,0.0,33.333,0.0,3.75,45.0,3.75,45.0,0.0,0.0,0.75,1.78,42.11,4.88,26.92,0.19,1.13,0.09,22.34,1.78,0.38,35.29,63.83,18.02,56.25,3.38,80.56,24.78,73.48,7.13,39.47,22.33,35.84,0.06,0.84,0.09,0.0,0.0,0.0,0.19,8.73,56.99,4.41,48.94,0.28,33.33,0.84,1.78,13.33,65.49,69.91,10.6,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.6,0.19,0.0,0.0,2.91,0,0
A. Pepe,Adrianna Pepe,-277123,USC Upstate Spartans,USC Upstate Spartans,https://cdn5.wyscout.com/photos/team/public/g-7684_120x120.png,NCAA D1 Big South (W),LCB3,LCB3,87,,0,,0,,,0,,10,927,0,0.0,0,0.34,13.79,58.45,United States,['United States'],unknown,155,0,False,8.93,6.02,77.42,2.23,52.17,0.49,0.68,0.1,3.79,5.34,0.49,0,0.0,0,0.0,1.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.17,25.0,0.97,20.0,0.1,100.0,0.1,1.17,66.67,4.17,34.88,0.1,2.52,0.68,23.3,1.26,0.39,42.43,73.23,21.65,63.23,3.98,90.24,31.36,79.57,9.9,58.82,19.27,28.71,0.03,0.19,0.1,0.0,0.1,0.0,0.19,7.28,64.0,1.65,35.29,0.87,33.33,0.29,0.29,10.29,55.66,87.5,11.65,0,,0,,0,0.0,0.0,0.0,,,0.78,,2.23,0.1,0.0,0.0,0.0,0,0
S. Curtis,Sara Curtis,-601890,Longwood Lancers,Longwood Lancers,https://cdn5.wyscout.com/photos/team/public/g-7750_120x120.png,NCAA D1 Big South (W),GK,GK,100,,0,,0,,,0,,9,896,0,0.0,0,0.0,0.5,60.0,United States,['United States'],unknown,0,0,False,2.51,0.1,0.0,0.30000000000000004,66.67,0.1,0.14,0.0,2.41,3.3,0.1,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.7199999999999998,0.0,0.0,11.15,68.47,10.35,67.96,0.0,0.0,1.31,100.0,9.84,64.29,40.44,42.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,38.46,0.0,0.0,0.0,0.0,0.0,0.0,6.93,78.26,75.0,0.8,6,0.6000000000000001,38,3.8200000000000003,5,84.21,5.52,0.55,-0.48,-0.048,0.0,0.5,0.30000000000000004,,,,0.0,0,0
S. Robertson,Sydney Robertson,-355937,Longwood Lancers,Longwood Lancers,https://cdn5.wyscout.com/photos/team/public/g-7750_120x120.png,NCAA D1 Big South (W),"LCB, CB",LCB,86,CB,10,,0,,,0,,9,896,1,0.5,1,0.91,9.54,64.21,United States,['United States'],unknown,170,0,False,7.53,4.02,77.5,2.41,79.17,0.0,0.0,0.5,4.42,6.06,0.5,0,0.0,0,0.0,0.5,0.1,1,0.1,0.05,0,0.0,5,0.5,60.0,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,1.9100000000000001,47.37,0.6000000000000001,0.1,0.0,8.54,0.1,0.7000000000000001,23.3,73.28,13.06,67.69,1.6099999999999999,93.75,18.18,80.66,5.12,47.06,19.77,29.52,0.09,0.2,0.0,0.0,0.1,0.0,0.1,2.21,31.82,0.2,0.0,0.2,0.0,0.1,0.0,7.03,51.43,80.65,6.23,0,,0,,0,0.0,0.0,0.0,,,1.31,,2.41,1.4100000000000001,0.2,50.0,0.0,0,0
A. Arnone,Amanda Arnone,-219732,,Longwood Lancers,,,"RB, RCB3",RB,86,RCB3,13,,0,,,0,,9,896,0,0.0,0,0.75,18.78,64.71,United States,['United States'],unknown,165,0,False,13.46,10.65,71.7,2.01,55.0,0.2,0.28,0.1,5.63,7.71,0.5,0,0.0,0,0.0,1.4100000000000001,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.1,9.09,0.0,0.0,1.1,9.09,0.4,1.71,76.47,3.92,53.85,0.4,1.6099999999999999,0.0,19.29,0.8,0.30000000000000004,38.37,64.92,23.71,62.71,2.11,71.43,31.44,72.2,5.93,35.59,17.91,29.29,0.08,0.5,0.0,0.0,0.0,0.0,0.0,8.94,57.3,1.6099999999999999,31.25,0.1,100.0,0.4,0.1,12.35,64.23,67.74,6.23,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.01,0.5,0.0,0.0,0.0,0,0
E. Jones,Emma Jones,-355951,Longwood Lancers,Longwood Lancers,https://cdn5.wyscout.com/photos/team/public/g-7750_120x120.png,NCAA D1 Big South (W),"LB, LCB3",LB,86,LCB3,10,,0,,,0,,9,890,0,0.21,0,0.08,24.37,65.56,United States,['United States'],unknown,160,0,False,13.45,11.12,70.0,1.11,81.82,0.51,0.6900000000000001,0.2,5.16,7.02,0.61,0,0.0,0,0.0,2.63,0.0,0,0.0,0.02,0,0.0,6,0.61,16.67,0.0,0.0,0.61,16.67,0.61,16.67,0.0,0.0,0.0,3.34,72.73,9.91,65.31,0.2,3.24,0.51,17.09,0.4,3.84,34.18,70.12,18.91,63.64,2.22,81.82,29.02,76.31,4.55,37.78,17.54,28.95,0.01,0.1,0.0,0.0,0.0,0.0,0.0,6.17,62.3,0.81,25.0,0.1,0.0,0.1,0.1,10.82,66.36,82.09,6.78,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.11,0.1,0.0,0.0,0.0,0,0
L. Chadd,Lyla  Chadd,-474538,Presbyterian BlueHose,Presbyterian BlueHose,https://cdn5.wyscout.com/photos/team/public/g-7755_120x120.png,NCAA D1 Big South (W),"LCB, RCB, LB",LCB,77,RCB,11,LB,10,,,0,,9,890,0,0.16,0,0.62,13.15,60.77,United States,['United States'],unknown,170,0,False,10.31,8.49,65.48,2.02,60.0,0.2,0.23,0.4,4.55,5.23,0.2,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.02,0,0.0,3,0.30000000000000004,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,1.82,38.89,0.51,0.1,0.0,5.36,0.2,0.4,19.82,59.18,9.91,53.06,1.52,93.33,15.67,64.52,4.15,39.02,19.5,31.18,0.06,0.2,0.0,0.0,0.0,0.0,0.0,1.82,38.89,0.30000000000000004,0.0,0.0,0.0,0.1,0.0,6.67,25.76,62.9,6.27,0,,0,,0,0.0,0.0,0.0,,,0.91,,2.02,0.61,0.1,100.0,0.0,0,0
K. Hall,Kelly Hall,-277208,,Presbyterian BlueHose,,,GK,GK,100,,0,,0,,,0,,9,890,0,0.0,0,0.0,1.01,90.0,United States,['United States'],unknown,168,0,False,1.82,0.1,0.0,0.61,100.0,0.0,0.0,0.0,1.82,2.09,0.0,0,0.0,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,100.0,0.0,0.0,0.0,3.13,0.0,0.1,14.06,53.24,12.84,50.39,0.0,0.0,3.74,86.49,10.31,41.18,39.57,45.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,12.5,0.0,0.0,0.0,0.0,0.0,0.0,6.67,53.03,83.33,1.21,12,1.21,65,6.57,3,81.54,15.56,1.57,3.56,0.36,0.0,1.42,0.61,,,,0.0,0,0
