Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Hennings,Jona Hennings,-731685,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-7654_120x120.png,NCAA D1 Coastal Athletic Association (W),GK,GK,100,,0,,0,,,0,,12,1238,0,0.0,0,0.0,0.8,81.82,Germany,['Germany'],unknown,176,0,False,3.13,0.07,100.0,0.58,75.0,0.07,0.09,0.0,2.98,3.89,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,5.31,0.07,0.22,15.92,70.32,13.3,69.4,0.15,0.0,3.13,90.7,12.79,65.34,35.72,38.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,70.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,67.86,79.41,2.47,16,1.16,65,4.73,3,75.38,12.06,0.88,-3.94,-0.28600000000000003,0.0,1.67,0.58,,,,0.0,0,0
K. Bisgrove,Katie Bisgrove,-602323,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-7786_120x120.png,NCAA D1 Coastal Athletic Association (W),GK,GK,100,,0,,0,,,0,,12,1228,0,0.0,0,0.0,1.17,93.75,United States,['United States'],unknown,173,0,False,2.2,0.0,0.0,0.9500000000000001,100.0,0.0,0.0,0.0,2.2,2.93,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,4.84,0.0,0.37,15.39,69.05,11.87,61.11,0.0,0.0,3.81,100.0,11.51,59.24,36.25,41.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,11.11,0.0,0.0,0.0,0.0,0.0,0.0,8.5,68.1,97.56,3.0,12,0.88,77,5.64,3,84.42,17.48,1.28,5.48,0.402,0.0,2.42,0.9500000000000001,,,,0.0,0,0
A. Pierce,Alexis  Pierce,-475775,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-7786_120x120.png,NCAA D1 Coastal Athletic Association (W),"RCB, LCB, CB",RCB,62,LCB,21,CB,16,,,0,,12,1215,0,0.01,0,0.0,12.0,59.26,United States,['United States'],unknown,174,0,False,9.56,6.74,67.03,2.07,53.57,0.0,0.0,0.52,5.04,6.73,0.37,3,0.22,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,1,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.37,80.0,2.15,41.38,0.07,0.30000000000000004,0.0,12.44,0.0,0.30000000000000004,29.41,71.54,16.89,63.16,2.37,87.5,22.67,78.76,6.67,47.78,18.12,26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,55.17,0.15,0.0,0.0,0.0,0.0,0.0,8.67,41.88,83.67,7.26,0,,0,,0,0.0,0.0,0.0,,,1.19,,2.07,0.0,0.0,0.0,0.0,0,0
J. Keens,Jamie  Keens,-602786,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-7654_120x120.png,NCAA D1 Coastal Athletic Association (W),"DMF, RDMF, LDMF",DMF,38,RDMF,32,LDMF,20,,,0,,12,1212,0,0.19,0,0.5700000000000001,17.9,57.26,United States,['United States'],unknown,157,0,False,10.99,6.46,71.26,5.94,61.25,0.22,0.29,0.37,6.16,7.93,0.30000000000000004,0,0.0,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,5,0.37,40.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.52,57.14,3.34,33.33,0.52,0.52,0.0,5.87,0.30000000000000004,0.97,22.35,66.78,8.91,55.0,4.01,87.04,20.42,68.36,1.78,54.17,14.58,20.03,0.04,0.59,0.07,0.0,0.07,0.0,0.07,2.67,61.11,0.52,28.57,0.07,0.0,0.22,0.0,4.9,42.42,78.26,5.12,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,5.94,0.0,0.0,0.0,0.0,0,0
J. Hill,Jessica Hill,-602347,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-7786_120x120.png,NCAA D1 Coastal Athletic Association (W),"LCB, RCB, LCB3",LCB,60,RCB,21,LCB3,11,,,0,,12,1206,0,0.0,1,0.0,12.16,51.53,Canada,['Canada'],unknown,170,0,False,10.15,7.91,60.38,1.87,28.0,0.15,0.2,0.45,5.22,7.0,0.52,0,0.0,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,1.34,33.33,0.0,0.52,0.0,15.6,0.07,0.22,32.39,70.51,18.66,62.4,1.72,82.61,23.96,78.82,8.43,46.9,20.52,33.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,45.0,0.30000000000000004,25.0,0.22,33.33,0.07,0.0,10.22,54.01,87.61,8.43,0,,0,,0,0.0,0.0,0.0,,,0.97,,1.87,0.52,0.0,0.0,0.0,0,0
A. Roche,Abigail Roche,-731689,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-7654_120x120.png,NCAA D1 Coastal Athletic Association (W),LCB,LCB,90,,0,,0,,,0,,12,1187,1,0.73,1,0.36,17.29,64.04,United States,['United States'],unknown,155,0,False,12.59,10.24,72.59,4.7,53.23,0.08,0.1,0.30000000000000004,5.08,6.57,0.38,0,0.0,0,0.0,0.45,0.08,1,0.08,0.06,0,0.0,8,0.61,50.0,12.5,0.08,0.08,100.0,0.08,100.0,0.0,0.0,0.0,0.08,100.0,0.99,30.77,0.30000000000000004,0.23,0.0,9.25,0.08,0.15,29.72,52.55,20.85,48.73,0.76,50.0,14.03,67.03,15.7,39.61,26.7,36.61,0.03,0.23,0.08,0.0,0.0,0.0,0.0,8.57,34.51,1.06,0.0,0.38,0.0,0.0,0.0,11.9,50.96,71.21,5.0,0,,0,,0,0.0,0.0,0.0,,,0.38,,4.7,2.12,0.38,80.0,0.0,0,0
R. Rich,Reilly Rich,-354537,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-7654_120x120.png,NCAA D1 Coastal Athletic Association (W),CF,CF,100,,0,,0,,,0,,12,1179,7,7.04,2,1.54,25.88,43.95,United States,['United States'],unknown,173,0,False,5.04,3.59,72.34,9.69,44.88,0.08,0.1,0.08,2.37,3.01,0.99,0,0.0,0,0.0,2.8200000000000003,0.53,3,0.23,0.54,1,0.08,45,3.44,35.56,15.556000000000001,0.15,0.99,23.08,0.53,28.57,0.46,16.67,0.0,1.9100000000000001,64.0,10.0,34.35,3.44,0.84,0.08,10.46,3.36,1.37,22.06,63.32,6.49,51.76,4.43,86.21,18.85,66.8,2.21,51.72,18.29,25.31,0.12,0.84,0.0,0.0,0.23,66.67,0.46,4.96,40.0,1.22,43.75,0.31,50.0,0.92,0.23,3.66,68.75,62.07,6.64,0,,0,,0,0.0,0.0,0.0,,,0.08,,9.69,0.0,0.0,0.0,0.0,4,100
A. Hellner,Ava  Hellner,-475766,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-7786_120x120.png,NCAA D1 Coastal Athletic Association (W),"RDMF, RCMF, LDMF",RDMF,28,RCMF,24,LDMF,23,,,0,,12,1154,0,0.56,1,1.43,16.92,48.39,United States,['United States'],unknown,171,0,False,8.34,4.6,67.8,3.98,41.18,0.0,0.0,0.39,5.23,6.84,0.7000000000000001,0,0.0,0,0.0,1.72,0.0,0,0.0,0.04,0,0.0,10,0.78,30.0,0.0,0.08,0.7000000000000001,44.44,0.31,75.0,0.39,20.0,0.23,2.03,57.69,6.32,37.04,0.39,0.78,0.08,18.25,0.39,0.7000000000000001,36.5,73.08,15.36,57.36,5.46,88.57,32.37,77.11,3.43,40.91,16.74,30.31,0.11,0.78,0.08,0.08,0.0,0.0,0.08,7.25,60.22,1.4,44.44,0.0,0.0,0.39,0.16,7.33,63.83,82.84,10.45,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.98,0.16,0.0,0.0,2.5700000000000003,0,0
G. Gelhaus,Grace  Gelhaus,-475763,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-7786_120x120.png,NCAA D1 Coastal Athletic Association (W),"LAMF, LB",LAMF,35,LB,32,,0,,,0,,12,1143,4,1.32,2,0.8,31.89,49.88,United States,['United States'],unknown,174,0,False,12.52,7.72,67.35,3.86,53.06,0.31,0.4,0.24,7.01,8.81,0.79,0,0.0,0,0.0,7.17,0.31,4,0.31,0.1,0,0.0,18,1.42,33.33,22.222,0.16,5.43,18.84,5.28,19.4,0.08,0.0,0.87,7.87,72.0,18.66,43.46,2.6,4.41,0.31,21.42,1.5,1.5,35.35,61.02,13.7,55.75,6.93,86.36,26.69,72.86,3.54,35.56,19.45,24.35,0.06,0.87,0.0,0.08,0.0,0.0,0.31,3.86,51.02,3.31,28.57,0.24,33.33,0.31,0.9400000000000001,7.95,56.44,57.73,7.64,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.86,0.16,0.0,0.0,1.02,0,0
L. Beck,Linn Beck,-304568,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-7654_120x120.png,NCAA D1 Coastal Athletic Association (W),"AMF, RCMF, LDMF",AMF,41,RCMF,14,LDMF,12,20.0,2004-12-15,0,,12,1125,4,4.88,1,1.24,23.92,47.49,Germany,['Germany'],unknown,165,0,False,9.52,6.8,72.94,7.68,44.79,0.08,0.1,0.08,4.48,5.49,0.4,0,0.0,0,0.0,2.48,0.32,4,0.32,0.39,1,0.08,36,2.88,41.67,11.111,0.08,1.3599999999999999,41.18,0.96,50.0,0.4,20.0,0.32,1.8399999999999999,39.13,7.12,25.84,2.64,0.72,0.24,12.32,1.76,0.64,33.92,59.91,14.0,50.29,6.0,86.67,28.64,63.97,3.92,36.73,16.49,32.74,0.1,0.96,0.0,0.0,0.24,0.0,0.16,6.72,42.86,2.7199999999999998,41.18,0.64,12.5,0.56,0.48,6.88,56.98,54.12,6.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.68,0.08,0.08,100.0,0.0,0,0
