Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Gronauer,Demi Gronauer,-602240,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,https://cdn5.wyscout.com/photos/team/public/g-7801_120x120.png,NCAA D1 Conference USA (W),GK,GK,100,,0,,0,19.0,2006-09-11,0,,11,1126,0,0.0,0,0.0,1.04,69.23,United States,['United States'],unknown,173,0,False,1.76,0.24,33.33,0.32,100.0,0.0,0.0,0.0,1.6800000000000002,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,10.15,0.08,0.08,20.78,80.38,11.43,69.93,0.0,0.0,10.79,97.78,9.91,62.1,30.38,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,50.0,0.0,0.0,0.08,100.0,0.0,0.0,7.19,62.22,93.2,8.23,14,1.12,71,5.67,3,80.28,13.03,1.04,-0.97,-0.078,0.0,0.64,0.32,,,,0.0,0,0
S. Nielsen,Sascha Nielsen,504243,,Middle Tennessee Blue Raiders,,,LCB,LCB,100,,0,,0,25.0,2001-02-01,0,,11,1126,0,0.08,0,0.39,9.91,66.13,Denmark,['Denmark'],,163,0,False,10.47,7.11,69.66,1.04,53.85,0.08,0.1,0.24,5.44,7.11,0.08,0,0.0,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.64,50.0,0.08,0.16,0.0,13.59,0.16,0.56,33.57,73.81,18.86,60.59,2.0,100.0,25.02,84.66,8.55,42.06,22.23,33.02,0.03,0.16,0.0,0.08,0.0,0.0,0.0,2.8,25.71,0.4,0.0,0.24,0.0,0.0,0.0,7.91,43.43,91.55,11.35,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,1.04,0.16,0.0,0.0,0.0,0,0
E. Brown,Emma Brown,516508,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,https://cdn5.wyscout.com/photos/team/public/g-7801_120x120.png,NCAA D1 Conference USA (W),RCB,RCB,100,,0,,0,24.0,2001-10-16,0,,11,1126,1,0.88,1,0.66,13.35,59.28,England,['England'],,173,0,False,10.87,6.87,65.12,3.36,64.29,0.48,0.63,1.2,5.91,7.74,0.64,2,0.16,0,0.0,0.32,0.08,1,0.08,0.07,1,0.08,5,0.4,40.0,20.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,66.67,1.44,33.33,0.64,0.0,0.0,11.59,0.16,0.24,25.26,68.35,15.27,59.16,1.76,90.91,17.9,79.02,7.35,42.39,21.33,31.9,0.05,0.08,0.0,0.0,0.0,0.0,0.08,2.16,33.33,0.16,0.0,0.32,25.0,0.08,0.0,7.75,38.14,88.73,5.67,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.36,0.32,0.0,0.0,0.0,0,0
S. Sterbenz,Sadie  Sterbenz,-475731,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,https://cdn5.wyscout.com/photos/team/public/g-7801_120x120.png,NCAA D1 Conference USA (W),RB,RB,100,,0,,0,20.0,2005-09-02,0,,11,1084,0,0.34,0,0.0,18.76,64.16,United States,['United States'],unknown,167,0,False,14.86,10.63,68.75,2.91,71.43,0.42,0.55,0.42,7.14,9.38,1.25,3,0.25,0,0.0,1.25,0.0,0,0.0,0.03,0,0.0,3,0.25,33.33,0.0,0.0,0.91,18.18,0.0,0.0,0.91,18.18,0.08,1.4100000000000001,70.59,3.74,55.56,0.42,1.0,0.0,16.02,0.42,1.33,29.47,61.13,15.53,56.68,2.16,73.08,20.09,71.49,8.47,41.18,22.15,35.19,0.0,0.08,0.08,0.0,0.0,0.0,0.08,6.06,50.68,1.58,15.79,0.75,44.44,0.17,0.17,9.71,54.7,61.86,8.05,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.91,0.0,0.0,0.0,0.0,0,0
M. Lebargy,Manon Lebargy,-355871,Hofstra Pride,Middle Tennessee Blue Raiders,https://cdn5.wyscout.com/photos/team/public/g-7780_120x120.png,NCAA D1 Coastal Athletic Association (W),"AMF, CF",AMF,52,CF,45,,0,22.0,2003-07-30,0,,11,1054,8,6.51,1,0.93,24.51,42.16,France,['France'],unknown,168,0,False,5.55,5.46,70.31,5.89,46.38,0.17,0.21,0.0,1.54,1.8900000000000001,1.02,0,0.0,0,0.0,2.39,0.68,8,0.68,0.56,2,0.17,29,2.48,51.72,27.586,0.09,0.34,25.0,0.17,50.0,0.09,0.0,0.0,1.88,45.45,9.99,26.5,2.73,1.28,0.17,15.54,3.07,1.62,25.45,70.47,6.06,49.3,6.66,92.31,22.97,73.23,2.13,48.0,16.82,23.92,0.08,1.37,0.0,0.0,0.51,33.33,0.26,3.16,43.24,1.88,36.36,0.68,25.0,0.85,0.09,3.16,37.84,69.0,8.54,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.89,0.17,0.09,100.0,0.0,0,0
N. Almanza,Nancy  Almanza,-602677,Mississippi St. Bulldogs,Jacksonville State Gamecocks,https://cdn5.wyscout.com/photos/team/public/g-7912_120x120.png,NCAA D1 SEC (W),"LAMF, LW, LWF",LAMF,37,LW,23,LWF,16,,,0,,10,1034,5,2.9699999999999998,1,1.08,24.37,38.21,United States,['United States'],unknown,173,0,False,6.62,5.48,65.08,2.52,55.17,0.09,0.13,0.0,2.96,4.49,1.31,0,0.0,0,0.0,3.05,0.44,5,0.44,0.26,3,0.26,22,1.9100000000000001,50.0,22.727,0.09,2.35,22.22,2.09,20.83,0.26,33.33,0.61,3.5700000000000003,43.9,13.93,27.5,3.22,3.05,0.61,12.53,1.65,0.17,22.28,63.28,6.7,54.55,4.79,85.45,18.71,69.3,1.31,46.67,18.25,23.34,0.09,0.96,0.09,0.0,0.09,0.0,0.35000000000000003,3.05,45.71,1.74,20.0,0.09,0.0,0.35000000000000003,0.61,3.74,58.14,60.26,6.79,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.52,0.0,0.0,0.0,0.0,0,0
V. Restrepo,Valery  Restrepo,-602703,FIU Panthers,FIU Panthers,https://cdn5.wyscout.com/photos/team/public/g-7800_120x120.png,NCAA D1 Conference USA (W),GK,GK,100,,0,,0,,,0,,10,1028,0,0.0,0,0.0,1.05,83.33,,[],unknown,0,0,False,2.36,0.26,66.67,0.7000000000000001,100.0,0.0,0.0,0.0,2.19,3.89,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,8.84,0.09,0.0,16.9,82.9,9.81,74.11,0.0,0.0,10.51,97.5,6.39,58.9,29.85,42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,57.14,0.0,0.0,0.0,0.0,0.0,0.0,4.55,57.69,94.59,6.48,7,0.61,30,2.63,7,76.67,7.11,0.62,0.11,0.01,0.0,1.1400000000000001,0.7000000000000001,,,,0.0,0,0
R. Bridges,Reagan Bridges,-273753,Bentleigh Greens,FIU Panthers,https://cdn5.wyscout.com/photos/team/public/g-21488_120x120.png,Victoria NPL Women,RCB,RCB,100,,0,,0,,,0,,10,1028,0,2.01,0,0.18,17.25,66.5,United States,['United States'],unknown,175,0,False,11.12,7.44,78.82,4.55,76.92,1.1400000000000001,2.02,0.0,4.11,7.31,0.79,1,0.09,0,0.0,0.26,0.0,0,0.0,0.18,0,0.0,10,0.88,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,50.0,2.98,38.24,0.96,1.23,0.0,22.5,0.79,0.09,43.6,74.5,23.64,59.26,2.54,96.55,31.08,85.92,12.52,46.15,25.6,38.18,0.02,0.26,0.09,0.0,0.0,0.0,0.0,9.46,52.78,0.79,22.22,0.26,0.0,0.35000000000000003,0.0,11.03,69.84,96.02,15.41,0,,0,,0,0.0,0.0,0.0,,,1.75,,4.55,0.44,0.0,0.0,0.0,1,0
V. Guha,Valerie Guha,-304743,NM State Aggies,NM State Aggies,https://cdn5.wyscout.com/photos/team/public/g-7967_120x120.png,NCAA D1 Conference USA (W),GK,GK,100,,0,,0,22.0,2004-02-27,0,,10,1015,0,0.0,0,0.16,0.8,88.89,Germany,['Germany'],unknown,175,0,False,1.8599999999999999,0.0,0.0,0.18,100.0,0.0,0.0,0.0,1.8599999999999999,2.55,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,5.23,0.0,0.35000000000000003,13.74,61.94,10.02,50.44,0.0,0.0,4.61,94.23,9.13,45.63,39.45,49.37,0.01,0.09,0.0,0.0,0.0,0.0,0.09,3.01,38.24,0.35000000000000003,25.0,0.09,100.0,0.09,0.0,5.85,65.15,92.11,3.37,15,1.33,52,4.61,1,71.15,12.34,1.09,-2.66,-0.23600000000000002,0.0,1.24,0.18,,,,0.0,0,0
N. Inaba,Nanaka  Inaba,-602639,,Jacksonville State Gamecocks,,,"RCMF3, RDMF, LDMF",RCMF3,29,RDMF,29,LDMF,16,,,0,,10,1013,3,0.55,1,2.0,19.37,51.83,Japan,['Japan'],unknown,0,0,False,7.46,6.4,68.06,3.29,40.54,0.0,0.0,0.27,3.11,4.79,0.89,0,0.0,0,0.0,2.49,0.27,3,0.27,0.05,0,0.0,18,1.6,38.89,16.667,0.09,0.89,40.0,0.36,50.0,0.53,33.33,0.18,2.04,73.91,7.64,43.02,0.27,0.89,0.09,20.26,0.36,1.33,34.47,80.41,13.33,73.33,5.42,96.72,30.65,86.09,2.93,33.33,18.6,33.18,0.18,1.33,0.0,0.09,0.09,0.0,0.0,6.84,57.14,1.42,43.75,0.36,0.0,0.27,0.36,7.2,76.54,79.51,10.84,0,,0,,0,0.0,0.0,0.0,,,0.18,,3.29,2.04,0.53,16.67,4.62,0,0
