Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Alves,Madison Alves,-358143,Quinnipiac Bobcats,Quinnipiac Bobcats,https://cdn5.wyscout.com/photos/team/public/g-7818_120x120.png,NCAA D1 Metro Atlantic Athletic Conference (W),"RCB, LCB",RCB,48,LCB,48,,0,,,0,,15,1433,3,1.83,0,0.0,17.15,58.61,United States,['United States'],unknown,165,0,False,8.92,6.53,69.23,2.83,75.56,0.19,0.29,0.5700000000000001,4.21,6.48,0.9400000000000001,1,0.06,0,0.0,1.13,0.19,3,0.19,0.11,1,0.06,10,0.63,60.0,30.0,0.0,0.31,20.0,0.06,0.0,0.25,25.0,0.06,1.44,47.83,5.34,38.82,0.44,1.7000000000000002,0.13,16.83,0.25,1.0,33.98,69.5,18.97,55.96,3.52,92.86,26.76,81.46,6.97,26.13,21.52,38.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,7.66,47.54,1.0,6.25,0.38,0.0,0.0,0.13,8.35,52.63,85.83,7.98,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.83,0.25,0.0,0.0,0.0,0,0.0
S. Lospinoso,Sofia Lospinoso,-242710,,Quinnipiac Bobcats,,,GK,GK,100,,0,,0,,,0,,15,1428,0,0.0,0,0.0,0.5700000000000001,88.89,United States,['United States'],,170,0,False,1.7000000000000002,0.06,100.0,0.32,100.0,0.0,0.0,0.0,1.6400000000000001,2.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,0.0,0.0,0.0,7.0,0.0,0.06,14.56,72.73,9.89,61.78,0.0,0.0,7.82,94.35,6.74,47.66,33.38,47.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,20.83,0.19,0.0,0.0,0.0,0.06,0.0,5.29,51.19,96.97,4.16,6,0.38,47,2.96,10,87.23,11.46,0.72,5.46,0.34400000000000003,0.0,0.76,0.32,,,,0.0,0,0.0
M. Carragher,Meghan Carragher,-354050,Fairfield Stags,Fairfield Stags,https://cdn5.wyscout.com/photos/team/public/g-7820_120x120.png,NCAA D1 Metro Atlantic Athletic Conference (W),RCB,RCB,97,,0,,0,,,0,,15,1414,1,1.24,1,1.8,9.55,61.33,United States,['United States'],unknown,165,0,False,6.87,3.88,78.69,2.55,60.0,0.19,0.31,0.19,3.63,5.86,0.45,0,0.0,0,0.0,0.64,0.06,1,0.06,0.08,1,0.06,14,0.89,28.57,7.143,0.06,0.32,80.0,0.13,50.0,0.13,100.0,0.06,0.25,25.0,1.65,23.08,1.53,0.8300000000000001,0.0,24.19,0.19,0.45,45.83,78.19,25.14,70.63,1.65,84.62,34.63,84.38,10.88,58.48,25.73,39.55,0.11,0.51,0.06,0.0,0.06,100.0,0.06,7.83,66.67,0.51,50.0,0.38,16.67,0.51,0.19,15.53,66.8,91.29,16.8,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,2.55,1.34,0.13,50.0,0.13,0,0.0
K.Patten,Kendall  Patten,-602225,,Fairfield Stags,,,LCB,LCB,92,,0,,0,,,0,,15,1362,0,0.28,1,1.7000000000000002,8.92,62.96,United States,['United States'],unknown,168,0,False,5.48,3.5700000000000003,74.07,1.72,50.0,0.07,0.11,0.2,2.7800000000000002,4.47,0.07,0,0.0,0,0.0,1.32,0.0,0,0.0,0.02,0,0.0,9,0.59,22.22,0.0,0.07,0.79,50.0,0.33,40.0,0.46,57.14,0.0,0.99,66.67,2.38,55.56,0.13,3.24,0.13,26.7,0.26,0.53,45.4,81.95,22.27,74.48,2.51,89.47,38.72,87.2,5.88,51.69,21.38,33.1,0.11,1.19,0.0,0.0,0.2,66.67,0.07,8.99,80.15,1.5899999999999999,45.83,0.79,33.33,0.53,0.4,13.15,75.38,93.49,17.25,0,,0,,0,0.0,0.0,0.0,,,0.73,,1.72,0.86,0.07,0.0,5.35,0,0.0
R. Klarmann,Reagan Klarmann,-271166,,Fairfield Stags,,,"LDMF, RDMF, LCMF3",LDMF,25,RDMF,24,LCMF3,18,,,0,,15,1348,5,5.12,5,1.31,21.03,49.84,United States,['United States'],unknown,164,0,False,8.55,5.21,83.33,2.4,41.67,0.0,0.0,0.0,4.21,6.68,0.47000000000000003,1,0.07,0,0.0,4.34,0.33,5,0.33,0.34,0,0.0,44,2.94,31.82,11.364,0.33,1.47,54.55,0.93,57.14,0.53,50.0,0.27,3.81,64.91,11.28,36.69,1.67,2.4,0.2,26.31,0.73,0.53,44.0,79.82,17.83,66.67,6.34,98.95,36.59,86.5,5.94,44.94,21.16,39.25,0.09,1.2,0.0,0.07,0.2,66.67,0.47000000000000003,12.08,69.61,2.94,63.64,0.87,30.77,1.0,0.8,10.42,83.33,88.69,14.76,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.4,0.0,0.0,0.0,0.2,1,0.0
C. Kelly,Caroline Kelly,-237989,,Fairfield Stags,,,"LB, RB",LB,69,RB,19,,0,,,0,,15,1329,5,2.11,0,0.79,13.54,56.0,United States,['United States'],,170,0,False,9.01,5.89,74.71,2.84,52.38,0.0,0.0,0.14,4.6,7.23,0.27,0,0.0,0,0.0,2.3,0.34,5,0.34,0.14,2,0.14,11,0.74,54.55,45.455,0.0,2.7800000000000002,43.9,2.37,34.29,0.41000000000000003,100.0,0.14,1.49,45.45,3.39,32.0,0.9500000000000001,1.49,0.2,25.26,1.49,0.47000000000000003,40.36,72.15,19.91,69.05,2.7800000000000002,85.37,30.54,79.6,7.04,50.96,21.61,34.87,0.05,0.81,0.07,0.0,0.0,0.0,0.14,8.74,72.87,3.52,40.38,0.61,44.44,0.61,1.08,14.76,78.9,76.78,14.29,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.84,0.14,0.0,0.0,0.0,0,0.0
C. Chochol,Courtney Chochol,-242697,Wexford,Quinnipiac Bobcats,https://cdn5.wyscout.com/photos/team/public/g20687_120x120.png,Women's Premier League,"LWF, CF, LW",LWF,45,CF,21,LW,12,24.0,2002-05-06,0,,15,1328,5,6.03,2,2.66,31.04,48.47,Canada,['Canada'],,180,0,False,5.02,4.0,67.8,4.34,59.38,0.0,0.0,0.0,2.3,3.2800000000000002,1.15,0,0.0,0,0.0,8.0,0.34,5,0.34,0.41000000000000003,1,0.07,37,2.51,43.24,13.514,0.14,7.73,19.3,5.22,19.48,2.3,17.65,1.02,9.49,56.43,19.79,43.84,7.59,5.02,0.54,16.13,2.44,1.49,30.84,55.6,6.71,44.44,5.49,83.95,21.89,70.28,1.56,21.74,19.15,36.23,0.18,1.15,0.0,0.07,0.14,50.0,0.34,2.3,47.06,5.15,28.95,0.34,40.0,1.29,1.56,3.8,66.07,47.8,10.78,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.34,0.0,0.0,0.0,0.61,0,0.0
E. Gagno,Ella Gagno,-271367,,Quinnipiac Bobcats,,,"RCMF3, DMF, LCMF3",RCMF3,32,DMF,27,LCMF3,17,,,0,,15,1295,0,1.03,1,2.33,22.24,47.5,Canada,['Canada'],unknown,165,0,False,10.01,8.34,71.67,1.9500000000000002,28.57,0.35000000000000003,0.47000000000000003,0.28,3.68,5.03,1.11,2,0.14,0,0.0,1.67,0.0,0,0.0,0.07,0,0.0,14,0.97,21.43,0.0,0.07,1.04,20.0,0.42,0.0,0.63,33.33,0.28,2.29,51.52,9.1,31.3,2.5,2.85,0.28,24.88,0.42,0.6900000000000001,43.92,75.63,19.74,66.55,7.23,92.31,40.17,80.45,2.71,25.64,15.45,24.66,0.16,1.18,0.07,0.0,0.07,100.0,0.28,6.95,69.0,2.99,41.86,0.42,16.67,1.25,0.28,7.37,73.58,78.57,9.73,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.9500000000000002,0.0,0.0,0.0,0.76,0,0.0
A. Zamora,Alicia Zamora,-513561,,Canisius Golden Griffins,,,"RCB, CB",RCB,75,CB,24,,0,,,0,,13,1276,5,4.18,0,0.13,14.04,58.29,Spain,['Spain'],unknown,0,0,False,7.97,5.64,61.25,3.95,76.79,0.35000000000000003,0.54,0.49,4.16,6.34,0.85,1,0.07,0,0.0,0.71,0.35000000000000003,2,0.14,0.29,1,0.07,23,1.62,26.09,21.739,0.0,0.35000000000000003,20.0,0.0,0.0,0.35000000000000003,20.0,0.07,0.35000000000000003,60.0,2.96,38.1,1.06,2.26,0.35000000000000003,24.33,0.42,0.35000000000000003,45.21,71.76,22.57,56.25,2.12,96.67,33.22,83.44,11.64,40.0,24.0,35.02,0.01,0.07,0.0,0.0,0.0,0.0,0.0,9.03,53.13,1.27,33.33,0.63,0.0,0.28,0.14,12.27,61.49,88.7,16.86,0,,0,,0,0.0,0.0,0.0,,,0.99,,3.95,0.21,0.0,0.0,0.0,3,100.0
J. Spencer,Jordan Spencer,-274485,,Canisius Golden Griffins,,,GK,GK,100,,0,,0,23.0,2003-04-08,0,,13,1276,0,0.0,0,0.0,1.06,86.67,United States,['United States'],unknown,176,0,False,2.26,0.0,0.0,0.85,91.67,0.07,0.11,0.0,2.19,3.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.14,0.21,12.41,82.95,6.98,73.74,0.0,0.0,6.63,93.62,5.78,70.73,29.33,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,61.4,94.2,4.87,11,0.78,35,2.47,6,68.57,8.88,0.63,-2.12,-0.15,0.0,1.62,0.85,,,,0.0,0,0.0
