Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Snowden,Izzy Snowden,-602649,Drake Bulldogs,Drake Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7838_120x120.png,NCAA D1 Missouri Valley (W),RCB,RCB,93,,0,,0,,,0,,12,1177,2,0.44,0,0.0,15.29,63.0,United States,['United States'],unknown,155,0,False,8.56,7.03,75.0,3.8200000000000003,54.0,0.15,0.27,0.61,3.14,5.47,0.76,0,0.0,0,0.0,0.46,0.15,2,0.15,0.03,2,0.15,2,0.15,100.0,100.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.31,100.0,2.6,50.0,0.6900000000000001,0.46,0.0,22.25,0.08,1.15,38.84,79.33,16.06,63.33,2.91,89.47,30.74,86.57,8.03,52.38,22.17,35.11,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.44,60.0,0.38,0.0,0.23,33.33,0.0,0.0,8.64,47.79,95.18,17.43,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,3.8200000000000003,0.08,0.0,0.0,0.0,0,0
C. Day,Day Camielle,-204295,,Missouri State Bears,,,GK,GK,100,,0,,0,24.0,2001-11-05,0,,12,1166,0,0.0,0,0.0,1.16,93.33,United States,['United States'],unknown,173,0,False,2.47,0.08,100.0,0.77,100.0,0.0,0.0,0.0,2.39,3.62,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,6.87,0.08,0.46,14.51,78.72,9.96,70.54,0.0,0.0,6.72,95.4,7.8,64.36,32.21,38.67,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.39,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,63.51,96.3,4.17,4,0.31,25,1.9300000000000002,8,84.0,5.69,0.44,1.69,0.13,0.0,1.85,0.77,,,,0.0,0,0
Y. Diaz,Yulexi Diaz,-280529,,UIC Flames,,,"DMF, RCMF",DMF,55,RCMF,24,,0,,,0,,12,1164,0,0.21,0,0.21,25.36,57.32,United States,['United States'],unknown,167,0,False,14.61,11.37,76.87,3.71,45.83,0.77,1.0,0.39,5.1,6.58,1.55,2,0.15,0,0.0,0.7000000000000001,0.0,0,0.0,0.02,0,0.0,10,0.77,10.0,0.0,0.0,0.46,50.0,0.31,50.0,0.08,100.0,0.08,0.93,41.67,6.8,38.64,0.15,0.54,0.23,9.82,0.15,1.62,28.76,66.67,12.14,49.68,3.71,93.75,24.12,73.4,4.18,29.63,18.73,32.94,0.02,0.08,0.0,0.0,0.0,0.0,0.0,5.8,46.67,0.93,41.67,0.31,0.0,0.15,0.23,4.72,52.46,76.15,8.43,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.71,0.31,0.0,0.0,0.0,0,0
S. Rigby,Shelsea  Rigby,-239577,,UIC Flames,,,"LB, LWB",LB,72,LWB,24,,0,,,0,,12,1154,0,0.0,0,0.08,19.81,53.94,United States,['United States'],,161,0,False,12.63,10.06,70.54,2.5700000000000003,27.27,0.0,0.0,0.16,5.54,7.15,1.4,1,0.08,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.31,25.0,0.31,25.0,0.0,0.0,0.16,0.23,33.33,3.98,39.22,0.08,0.39,0.0,11.85,0.47000000000000003,1.33,25.89,62.65,16.92,56.22,1.6400000000000001,90.48,21.37,68.25,4.21,37.04,19.09,27.56,0.01,0.31,0.0,0.0,0.0,0.0,0.0,5.54,56.34,0.78,20.0,0.16,0.0,0.0,0.08,8.81,60.18,67.86,4.37,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
J. Anderson,Jenna Anderson,-170621,,Missouri State Bears,,,LCB,LCB,95,,0,,0,23.0,2002-08-26,0,,12,1154,0,0.76,0,0.0,11.7,66.67,United States,['United States'],,175,0,False,7.33,5.85,78.67,2.81,61.11,0.0,0.0,0.08,2.73,4.1,0.62,0,0.0,0,0.0,0.23,0.0,0,0.0,0.06,0,0.0,4,0.31,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,66.67,1.56,60.0,0.47000000000000003,1.25,0.08,16.07,0.23,0.55,34.0,74.31,18.33,63.83,1.6400000000000001,95.24,25.97,83.78,8.03,43.69,22.52,34.83,0.0,0.0,0.0,0.08,0.0,0.0,0.0,5.62,55.56,0.31,25.0,0.08,0.0,0.08,0.0,9.67,64.52,88.67,11.7,0,,0,,0,0.0,0.0,0.0,,,0.86,,2.81,0.39,0.0,0.0,0.0,0,0
A. Mertz,Avery Mertz,-273323,,Drake Bulldogs,,,LCB,LCB,91,,0,,0,23.0,2003-03-01,0,,12,1153,1,0.65,1,0.18,11.55,64.19,United States,['United States'],unknown,180,0,False,8.04,4.53,79.31,3.36,74.42,0.47000000000000003,0.81,0.55,3.98,6.86,0.23,1,0.08,0,0.0,0.23,0.08,1,0.08,0.05,1,0.08,5,0.39,20.0,20.0,0.08,0.23,0.0,0.08,0.0,0.16,0.0,0.16,0.23,33.33,2.34,30.0,0.55,0.55,0.0,21.31,0.31,0.47000000000000003,40.67,75.62,20.29,66.92,1.33,58.82,30.83,83.04,9.6,53.66,22.07,33.55,0.01,0.23,0.0,0.0,0.08,100.0,0.08,4.92,55.56,0.39,40.0,0.16,0.0,0.16,0.0,10.38,53.38,89.95,16.31,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.36,0.0,0.0,0.0,0.0,0,0
M. Schneiderhahn,Maddie  Schneiderhahn,-476104,Missouri State Bears,Missouri State Bears,https://cdn5.wyscout.com/photos/team/public/g-7840_120x120.png,NCAA D1 Conference USA (W),RCB,RCB,95,,0,,0,22.0,2004-02-24,0,,12,1143,0,0.06,0,0.43,13.46,65.5,United States,['United States'],unknown,170,0,False,7.32,5.91,70.67,2.91,70.27,0.0,0.0,0.47000000000000003,3.15,4.74,0.9400000000000001,0,0.0,0,0.0,0.39,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,100.0,2.44,48.39,0.24,1.02,0.08,16.06,0.08,1.02,34.65,68.18,20.16,59.77,2.6,93.94,25.04,77.99,9.61,42.62,22.2,33.93,0.03,0.16,0.0,0.0,0.0,0.0,0.0,7.48,45.26,0.47000000000000003,33.33,0.55,0.0,0.24,0.0,9.92,61.9,79.09,8.66,0,,0,,0,0.0,0.0,0.0,,,1.65,,2.91,0.0,0.0,0.0,0.0,0,0
A. Stephens,Audrey Stephens,-235686,,Indiana St. Sycamores,,,"LCB, RCB, DMF",LCB,17,RCB,16,DMF,14,,,0,,12,1141,0,0.33,0,0.02,13.09,61.45,United States,['United States'],,168,0,False,9.07,6.63,78.57,2.92,59.46,0.24,0.32,0.24,3.63,4.88,0.79,0,0.0,0,0.0,0.08,0.0,0,0.0,0.03,0,0.0,1,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.81,21.74,0.47000000000000003,0.16,0.0,7.65,0.0,0.24,23.51,63.42,11.28,45.45,1.5,89.47,18.38,71.67,5.13,33.85,22.06,32.49,0.0,0.08,0.0,0.0,0.0,0.0,0.08,4.89,45.16,0.39,0.0,0.16,0.0,0.0,0.0,5.52,44.29,83.81,8.28,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.92,0.0,0.0,0.0,0.16,0,0
A . Watson,Ava Watson,-474909,Illinois St. Red Birds,Illinois St. Red Birds,https://cdn5.wyscout.com/photos/team/public/g-7839_120x120.png,NCAA D1 Missouri Valley (W),LB,LB,94,,0,,0,,,0,,12,1140,0,0.14,1,0.38,20.29,59.92,United States,['United States'],unknown,163,0,False,14.05,11.37,72.92,2.05,61.54,0.16,0.22,0.16,5.61,7.89,1.03,0,0.0,0,0.0,1.5,0.0,0,0.0,0.01,0,0.0,7,0.55,42.86,0.0,0.08,1.6600000000000001,28.57,1.58,25.0,0.08,100.0,0.0,1.34,58.82,4.97,42.86,0.39,1.34,0.08,18.55,1.5,0.9500000000000001,33.71,59.72,18.63,53.39,2.61,84.85,24.24,66.78,7.82,44.44,21.32,30.04,0.03,0.16,0.0,0.0,0.08,0.0,0.08,5.76,38.36,2.29,24.14,0.63,12.5,0.16,0.39,10.03,48.82,64.91,9.0,0,,0,,0,0.0,0.0,0.0,,,0.24,,2.05,0.0,0.0,0.0,0.0,0,0
L. Overstreet,Lily Overstreet,-233185,,Drake Bulldogs,,,LB,LB,96,,0,,0,24.0,2001-10-01,0,,12,1131,0,0.09,0,0.54,19.66,54.66,United States,['United States'],,165,0,False,10.11,9.23,70.69,3.02,55.26,0.16,0.26,0.0,3.42,5.68,0.88,0,0.0,0,0.0,1.19,0.0,0,0.0,0.01,0,0.0,2,0.16,50.0,0.0,0.0,1.27,18.75,1.19,20.0,0.08,0.0,0.08,1.43,61.11,5.17,36.92,0.64,1.03,0.0,19.73,1.11,0.72,33.9,62.68,18.7,56.17,3.34,88.1,24.91,71.25,7.72,42.27,20.2,31.52,0.04,0.4,0.08,0.0,0.0,0.0,0.08,9.15,58.26,1.51,15.79,0.16,0.0,0.16,0.4,12.57,65.19,68.04,7.72,0,,0,,0,0.0,0.0,0.0,,,0.4,,3.02,0.08,0.0,0.0,0.0,0,0
