Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Brendle,Cora Brendle,-595701,,Utah St. Aggies,,,GK,GK,100,,0,,0,,,0,,13,1316,0,0.0,0,0.0,0.68,100.0,United States,['United States'],unknown,0,0,False,1.3,0.0,0.0,0.48,100.0,0.0,0.0,0.0,1.3,1.9100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,3.21,0.0,0.27,9.78,79.02,5.13,62.67,0.0,0.0,5.33,100.0,4.45,53.85,32.56,41.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,53.85,0.0,0.0,0.0,0.0,0.0,0.0,3.15,73.91,96.55,3.9699999999999998,7,0.48,26,1.78,8,73.08,5.39,0.37,-1.6099999999999999,-0.11,0.0,1.23,0.48,,,,0.0,0,0
A. Weichers,Addy Weichers,-603131,,Utah St. Aggies,,,LCB,LCB,100,,0,,0,,,0,,13,1301,0,0.44,0,0.02,8.23,58.82,United States,['United States'],unknown,0,0,False,5.53,3.8,69.09,2.56,51.35,0.0,0.0,0.35000000000000003,2.91,4.29,0.62,0,0.0,0,0.0,0.14,0.0,0,0.0,0.03,0,0.0,9,0.62,0.0,0.0,0.0,0.21,33.33,0.14,50.0,0.07,0.0,0.0,0.14,50.0,1.11,43.75,0.42,0.35000000000000003,0.0,23.24,0.42,0.55,34.73,82.27,15.98,69.7,1.31,94.74,27.53,91.21,6.99,48.51,23.64,38.64,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.53,51.25,0.97,21.43,0.42,33.33,0.21,0.07,8.51,72.36,93.24,15.36,0,,0,,0,0.0,0.0,0.0,,,1.04,,2.56,0.9,0.21,0.0,0.0,0,0
G. Crenshaw,Genevieve Crenshaw,-231607,Tindastóll,Boise St. Broncos,https://cdn5.wyscout.com/photos/team/public/g8400_120x120.png,Úrvalsdeild Women,GK,GK,100,,0,,0,,,0,,13,1295,0,0.0,0,0.0,0.63,88.89,United States,['United States'],,0,0,False,1.53,0.07,100.0,0.42,100.0,0.0,0.0,0.0,1.46,2.06,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,0.0,0.0,0.07,7.37,0.07,0.14,15.29,60.45,13.14,56.08,0.0,0.0,2.85,95.12,12.44,52.51,43.54,47.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,55.77,0.0,0.0,0.0,0.0,0.0,0.0,7.71,75.68,87.1,2.15,11,0.76,61,4.24,6,81.97,12.04,0.84,1.04,0.07200000000000001,0.0,2.29,0.42,,,,0.0,0,0
A. Ven,Avery Vander Ven,-479940,,CSU Rams,,,LCB,LCB,100,,0,,0,,,0,,13,1289,3,2.98,0,0.4,15.43,60.63,United States,['United States'],unknown,175,0,False,11.31,6.77,73.2,3.63,59.62,0.28,0.39,1.4,6.07,8.39,0.63,1,0.07,0,0.0,1.4,0.21,3,0.21,0.21,2,0.14,17,1.19,47.06,17.647,0.0,0.49,42.86,0.42,33.33,0.07,100.0,0.14,0.77,81.82,3.21,52.17,1.6099999999999999,1.82,0.0,16.48,0.21,0.42,38.12,75.09,20.18,66.09,1.33,78.95,28.28,81.48,9.36,57.46,22.83,34.67,0.03,0.35000000000000003,0.0,0.0,0.07,0.0,0.21,3.91,48.21,0.7000000000000001,40.0,0.14,0.0,0.28,0.28,9.29,55.64,88.18,14.17,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,3.63,0.63,0.0,0.0,0.0,0,0
K. Leighton,Kenady Leighton,-231691,,CSU Rams,,,RCB,RCB,100,,0,,0,,,0,,13,1289,1,0.11,0,0.13,11.24,57.14,United States,['United States'],,173,0,False,7.68,6.84,63.27,2.79,47.5,0.0,0.0,0.98,3.35,4.63,0.56,1,0.07,0,0.0,0.28,0.07,1,0.07,0.01,0,0.0,3,0.21,33.33,33.333,0.0,0.21,33.33,0.0,0.0,0.14,50.0,0.0,0.14,100.0,0.77,45.45,0.0,0.49,0.0,13.41,0.14,0.28,28.56,70.9,14.87,57.28,1.82,88.46,19.76,81.63,8.59,47.15,23.96,36.62,0.01,0.14,0.0,0.07,0.0,0.0,0.14,4.54,46.15,0.84,41.67,0.42,33.33,0.35000000000000003,0.07,8.52,44.26,89.58,10.05,0,,0,,0,0.0,0.0,0.0,,,1.05,,2.79,0.42,0.0,0.0,0.0,0,0
K. Olsen,Kylie Olsen,-232275,,Utah St. Aggies,,,RB,RB,98,,0,,0,,,0,,13,1284,1,1.32,1,1.34,16.47,47.23,United States,['United States'],,162,0,False,6.52,5.96,68.24,1.19,47.06,0.0,0.0,0.0,2.45,3.62,0.84,0,0.0,0,0.0,2.94,0.07,1,0.07,0.09,0,0.0,11,0.77,18.18,9.091,0.07,3.86,43.64,0.0,0.0,3.86,43.64,0.56,2.66,42.11,7.08,38.61,0.77,1.47,0.42,24.46,0.77,0.63,38.97,77.7,17.73,71.94,4.07,93.1,30.49,87.36,4.77,44.12,19.34,34.1,0.09,0.91,0.0,0.0,0.0,0.0,0.49,5.89,57.14,3.79,46.3,0.14,0.0,0.42,1.75,9.04,77.52,81.05,10.72,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.19,0.0,0.0,0.0,0.0,0,0
K. Coffin,Katy Coffin,-262591,,CSU Rams,,,LB,LB,100,,0,,0,22.0,2003-08-28,0,,13,1284,1,0.5700000000000001,1,0.45,13.53,47.67,United States,['United States'],unknown,163,0,False,8.13,8.41,56.67,1.54,18.18,0.0,0.0,0.07,3.36,4.65,0.42,1,0.07,0,0.0,1.33,0.07,1,0.07,0.04,0,0.0,7,0.49,42.86,14.286,0.07,1.19,64.71,1.12,62.5,0.0,0.0,0.14,0.42,83.33,1.6800000000000002,45.83,0.28,0.77,0.07,17.66,0.56,0.35000000000000003,26.43,68.7,16.05,63.76,3.15,88.89,19.0,75.28,6.31,50.0,22.03,35.44,0.03,0.35000000000000003,0.07,0.0,0.0,0.0,0.14,5.47,65.38,1.6800000000000002,50.0,0.28,0.0,0.07,0.7000000000000001,9.81,67.14,75.68,5.19,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.54,0.14,0.0,0.0,0.07,0,0
M. Massey,Mia Massey,-365282,CSU Rams,CSU Rams,https://cdn5.wyscout.com/photos/team/public/g-7857_120x120.png,NCAA D1 Mountain West (W),"DMF, LCMF, LDMF",DMF,50,LCMF,25,LDMF,14,,,0,,13,1268,0,0.99,0,0.48,17.18,53.72,United States,['United States'],unknown,170,0,False,7.88,5.82,73.17,5.82,47.56,0.0,0.0,0.21,3.62,5.0,0.85,0,0.0,0,0.0,0.5700000000000001,0.0,0,0.0,0.07,0,0.0,17,1.21,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,3.19,35.56,0.78,0.5,0.07,13.06,0.14,0.21,27.04,77.43,9.94,62.86,2.06,100.0,24.13,80.88,2.91,48.78,20.37,33.69,0.03,0.28,0.0,0.07,0.0,0.0,0.07,4.9,62.32,0.28,25.0,0.07,0.0,0.28,0.0,4.83,57.35,84.75,12.56,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.82,0.0,0.0,0.0,0.0,0,0
K. Slocum,Kaitlyn Slocum,-477808,Boise St. Broncos,Boise St. Broncos,https://cdn5.wyscout.com/photos/team/public/g-7855_120x120.png,NCAA D1 Mountain West (W),RCB,RCB,97,,0,,0,,,0,,13,1231,0,0.05,0,0.03,14.11,61.14,United States,['United States'],unknown,0,0,False,8.92,7.97,66.97,2.56,51.43,0.0,0.0,0.0,3.58,4.93,0.51,0,0.0,0,0.0,0.44,0.0,0,0.0,0.0,0,0.0,5,0.37,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.15,50.0,0.0,0.44,83.33,2.27,48.39,0.0,0.29,0.07,4.53,0.07,0.51,17.4,58.4,11.41,50.0,1.3900000000000001,84.21,11.19,66.01,6.07,44.58,23.01,36.34,0.0,0.22,0.0,0.0,0.07,0.0,0.0,4.31,52.54,0.66,22.22,0.29,25.0,0.15,0.07,6.36,50.57,70.27,2.71,0,,0,,0,0.0,0.0,0.0,,,1.02,,2.56,0.07,0.0,0.0,0.0,0,0
M. Padour,Morgan Padour,-355993,,Boise St. Broncos,,,"AMF, DMF",AMF,40,DMF,38,,0,,,0,,13,1230,5,3.62,0,1.6600000000000001,25.17,49.71,United States,['United States'],unknown,0,0,False,10.32,7.1,74.23,7.17,48.98,0.0,0.0,0.22,5.05,6.8100000000000005,0.51,1,0.07,0,0.0,3.0,0.37,5,0.37,0.26,0,0.0,24,1.76,41.67,20.833,0.0,1.54,42.86,0.9500000000000001,38.46,0.59,50.0,0.15,2.41,57.58,7.54,34.95,2.56,1.02,0.07,12.95,0.51,0.66,33.73,62.69,16.32,51.57,4.17,78.95,27.29,67.83,4.9,40.3,18.89,35.67,0.12,1.6800000000000002,0.07,0.0,0.29,75.0,0.29,8.12,54.95,2.34,34.38,0.59,87.5,0.51,0.51,8.56,70.09,73.83,7.83,0,,0,,0,0.0,0.0,0.0,,,0.22,,7.17,0.44,0.22,66.67,0.59,0,0
K. Richins,Kaitlyn Richins,-271551,UCONN Huskies,Utah St. Aggies,https://cdn5.wyscout.com/photos/team/public/g-7610_120x120.png,NCAA D1 Big East (W),RCB,RCB,98,,0,,0,,,0,,13,1223,1,0.92,0,0.31,10.74,58.9,United States,['United States'],unknown,178,0,False,5.74,3.75,72.55,0.74,60.0,0.07,0.1,0.52,2.94,4.1,0.44,0,0.0,0,0.0,1.32,0.07,1,0.07,0.07,0,0.0,8,0.59,62.5,12.5,0.0,0.52,14.29,0.0,0.0,0.52,14.29,0.15,1.69,52.17,5.52,49.33,0.37,1.25,0.44,19.57,0.37,0.81,32.23,77.4,12.58,60.23,1.77,79.17,24.87,88.76,6.84,40.86,21.8,37.3,0.02,0.15,0.07,0.0,0.0,0.0,0.07,4.34,49.15,1.18,25.0,0.74,30.0,0.29,0.15,5.8100000000000005,50.63,88.65,13.61,0,,0,,0,0.0,0.0,0.0,,,0.22,,0.74,0.29,0.0,0.0,0.0,0,0
A. Haley,Amaya Haley,-477735,,UNLV Rebels,,,RCB,RCB,96,,0,,0,,,0,,12,1203,0,0.11,1,0.06,15.26,53.92,United States,['United States'],unknown,0,0,False,10.85,7.18,58.33,1.42,68.42,0.67,0.92,1.57,5.99,8.22,1.2,1,0.07,0,0.0,0.9,0.0,0,0.0,0.01,0,0.0,5,0.37,0.0,0.0,0.07,0.30000000000000004,25.0,0.0,0.0,0.30000000000000004,25.0,0.0,1.9500000000000002,42.31,3.9699999999999998,33.96,0.15,0.97,0.15,8.83,0.07,0.45,23.49,65.61,14.36,56.77,1.42,94.74,16.68,76.68,6.51,39.08,23.1,37.02,0.0,0.07,0.0,0.0,0.0,0.0,0.07,4.26,43.86,0.75,50.0,0.37,20.0,0.22,0.07,7.03,48.94,80.0,5.61,0,,0,,0,0.0,0.0,0.0,,,1.05,,1.42,0.97,0.07,0.0,0.0,0,0
