Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Durkee,Kaya Durkee,-599138,Illinois St. Red Birds,Illinois St. Red Birds,https://cdn5.wyscout.com/photos/team/public/g-7839_120x120.png,NCAA D1 Missouri Valley (W),"CB, LCB",CB,53,LCB,46,,0,,,0,,11,1078,0,0.55,2,1.8599999999999999,9.94,68.91,United States,['United States'],unknown,175,0,False,7.76,5.26,76.19,2.17,57.69,0.0,0.0,0.58,3.76,4.96,0.42,0,0.0,0,0.0,0.25,0.0,0,0.0,0.05,0,0.0,3,0.25,66.67,0.0,0.17,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,100.0,1.17,42.86,0.17,0.0,0.0,11.52,0.17,0.42,25.38,67.43,13.78,50.91,2.76,84.85,15.28,81.42,10.02,46.67,24.02,34.66,0.15,1.09,0.0,0.0,0.0,0.0,0.17,4.17,44.0,0.5,16.67,0.33,25.0,0.08,0.0,7.51,53.33,92.13,7.43,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,2.17,2.25,0.08,100.0,2.67,0,0.0
M. Valenti,Madi Valenti,-474924,Illinois St. Red Birds,Illinois St. Red Birds,https://cdn5.wyscout.com/photos/team/public/g-7839_120x120.png,NCAA D1 Missouri Valley (W),GK,GK,100,,0,,0,,,0,,11,1038,0,0.0,0,0.0,1.3900000000000001,75.0,United States,['United States'],unknown,163,0,False,1.56,0.0,0.0,1.21,71.43,0.0,0.0,0.0,1.56,2.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,7.72,0.09,0.26,15.17,76.57,11.62,71.64,0.0,0.0,3.9,95.56,11.18,70.54,36.07,40.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,79.12,94.74,3.29,11,0.9500000000000001,51,4.42,4,78.43,14.64,1.27,3.64,0.316,0.0,2.51,1.21,,,,0.0,0,0.0
G. Petrie,Grace Petrie,-725801,Illinois St. Red Birds,Illinois St. Red Birds,https://cdn5.wyscout.com/photos/team/public/g-7839_120x120.png,NCAA D1 Missouri Valley (W),"RCB3, RDMF, RCB",RCB3,57,RDMF,14,RCB,10,,,0,,11,1009,0,1.12,1,0.45,18.37,60.68,United States,['United States'],unknown,179,0,False,12.4,8.74,72.45,5.08,61.4,0.0,0.0,0.27,6.07,7.73,1.52,1,0.09,0,0.0,0.62,0.0,0,0.0,0.1,0,0.0,9,0.8,22.22,0.0,0.09,0.45,40.0,0.0,0.0,0.45,40.0,0.09,0.18,100.0,1.78,20.0,0.8,1.6099999999999999,0.09,17.13,0.45,0.36,37.55,63.66,22.66,54.72,2.5,100.0,27.56,74.76,9.54,32.71,19.45,29.95,0.04,0.45,0.0,0.0,0.09,100.0,0.18,9.28,45.19,1.25,35.71,0.62,28.57,0.27,0.27,9.28,58.65,75.76,8.83,0,,0,,0,0.0,0.0,0.0,,,0.89,,5.08,0.0,0.0,0.0,0.0,0,0.0
M. Wilson,Megan Wilson,-291488,Murray State Racers,Murray State Racers,https://cdn5.wyscout.com/photos/team/public/g-7864_120x120.png,NCAA D1 Missouri Valley (W),"CB, RCB, LCB",CB,70,RCB,15,LCB,14,22.0,2003-09-01,0,,10,1003,1,0.9500000000000001,3,1.04,14.9,63.25,England,['England'],unknown,183,0,False,9.24,4.67,76.92,5.2,75.86,0.18,0.25,0.9,5.47,7.5600000000000005,0.81,1,0.09,0,0.0,0.81,0.09,1,0.09,0.09,1,0.09,15,1.35,40.0,6.667,0.27,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.36,50.0,3.32,29.73,0.81,0.18,0.0,15.61,0.09,0.9,32.93,64.31,18.93,49.29,1.62,83.33,19.83,78.73,13.01,42.07,27.6,41.4,0.09,0.45,0.0,0.09,0.0,0.0,0.36,6.73,44.0,2.06,34.78,1.08,66.67,0.72,0.09,10.41,46.55,88.79,10.41,0,,0,,0,0.0,0.0,0.0,,,0.99,,5.2,0.81,0.45,40.0,0.0,0,0.0
J. Rehberger,Jade Rehberger,-364774,Illinois St. Red Birds,Illinois St. Red Birds,https://cdn5.wyscout.com/photos/team/public/g-7839_120x120.png,NCAA D1 Missouri Valley (W),"LCB3, RCB",LCB3,57,RCB,39,,0,,,0,,11,1002,0,0.04,0,0.01,11.86,66.67,United States,['United States'],,170,0,False,10.6,6.29,70.0,1.8,75.0,0.18,0.23,0.63,6.02,7.85,0.09,0,0.0,0,0.0,0.54,0.0,0,0.0,0.0,0,0.0,3,0.27,33.33,0.0,0.0,0.36,50.0,0.36,50.0,0.0,0.0,0.0,0.36,75.0,2.34,61.54,0.09,0.81,0.09,11.23,0.18,0.72,30.09,68.66,14.28,52.83,4.85,98.15,21.92,78.28,7.9,43.18,21.98,34.6,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.5,43.59,0.9,20.0,0.45,0.0,0.09,0.18,7.46,36.14,82.8,8.35,0,,0,,0,0.0,0.0,0.0,,,2.87,,1.8,0.45,0.0,0.0,0.0,0,0.0
T. Schrimpf,Tori Schrimpf,-358148,Murray State Racers,Murray State Racers,https://cdn5.wyscout.com/photos/team/public/g-7864_120x120.png,NCAA D1 Missouri Valley (W),"RCB3, LCB3, LCB",RCB3,47,LCB3,16,LCB,15,22.0,2003-09-30,0,,10,996,1,1.02,0,0.18,15.72,58.62,United States,['United States'],unknown,178,0,False,11.3,9.22,70.59,3.25,41.67,0.18,0.25,0.36,4.61,6.32,1.17,0,0.0,0,0.0,0.54,0.09,1,0.09,0.09,0,0.0,6,0.54,33.33,16.667,0.0,0.45,20.0,0.0,0.0,0.45,20.0,0.0,0.27,100.0,2.35,46.15,0.81,0.72,0.0,18.61,0.27,0.36,34.34,71.58,19.88,62.73,2.17,91.67,26.84,79.12,7.05,46.15,20.41,35.59,0.02,0.18,0.0,0.0,0.0,0.0,0.18,5.96,62.12,0.63,42.86,0.54,33.33,0.18,0.18,9.85,61.47,87.23,8.49,0,,0,,0,0.0,0.0,0.0,,,0.81,,3.25,0.0,0.0,0.0,0.0,0,0.0
A. Garrett,Amaya Garrett,-482089,North Dakota State Bison,North Dakota State Bison,https://cdn5.wyscout.com/photos/team/public/g-7519_120x120.png,NCAA D1 Summit League (W),"CB, RCB, LCB",CB,53,RCB,27,LCB,19,,,0,,10,995,0,0.56,0,0.52,9.14,69.31,United States,['United States'],,0,0,False,7.78,4.16,80.43,1.63,55.56,0.09,0.13,0.72,4.34,6.21,0.27,1,0.09,0,0.0,0.27,0.0,0,0.0,0.05,0,0.0,4,0.36,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,25.0,2.35,57.69,0.45,0.45,0.09,6.33,0.0,1.09,20.71,72.49,9.14,53.47,1.63,88.89,14.2,85.35,6.51,44.44,24.5,33.17,0.05,0.27,0.0,0.0,0.0,0.0,0.09,2.35,30.77,0.27,0.0,0.18,0.0,0.18,0.0,5.7,44.44,89.25,8.41,0,,0,,0,0.0,0.0,0.0,,,1.27,,1.63,0.36,0.0,0.0,0.0,0,0.0
T. Rea,Taryn Rea,-355652,Northern Colorado Bears,Northern Colorado Bears,https://cdn5.wyscout.com/photos/team/public/g-7741_120x120.png,NCAA D1 Big Sky (W),LCB,LCB,100,,0,,0,,,0,,10,993,2,1.52,0,0.88,14.59,54.66,United States,['United States'],unknown,165,0,False,10.24,8.7,54.17,1.72,42.11,0.0,0.0,0.36,5.53,7.01,0.45,1,0.09,0,0.0,0.45,0.18,0,0.0,0.14,0,0.0,3,0.27,100.0,66.667,0.0,0.36,50.0,0.18,0.0,0.18,100.0,0.0,0.0,0.0,1.63,55.56,0.09,0.09,0.0,17.58,0.09,0.73,38.61,67.37,24.47,58.15,1.54,76.47,26.65,79.25,11.6,40.63,22.08,32.85,0.08,0.54,0.0,0.0,0.0,0.0,0.0,4.08,35.56,0.91,20.0,0.8200000000000001,44.44,0.0,0.18,11.51,41.73,88.5,10.24,0,,0,,0,0.0,0.0,0.0,,,1.0,,1.72,1.0,0.0,0.0,2.36,2,100.0
E. Sanchez,Ellie Sanchez,-482092,North Dakota State Bison,North Dakota State Bison,https://cdn5.wyscout.com/photos/team/public/g-7519_120x120.png,NCAA D1 Summit League (W),"RCB3, RB, LCB3",RCB3,38,RB,35,LCB3,12,,,0,,10,982,0,0.41000000000000003,1,0.42,18.15,55.56,United States,['United States'],,0,0,False,9.62,11.18,54.92,2.29,48.0,0.09,0.13,0.09,3.39,4.78,1.47,1,0.09,0,0.0,1.28,0.0,0,0.0,0.04,0,0.0,2,0.18,0.0,0.0,0.09,1.74,47.37,0.27,66.67,1.37,46.67,0.09,0.64,71.43,3.67,67.5,0.18,1.1,0.27,11.46,0.18,1.65,23.92,56.7,15.86,49.13,1.37,93.33,15.03,67.07,7.15,37.18,22.25,32.15,0.04,0.46,0.0,0.0,0.0,0.0,0.27,5.77,34.92,2.66,31.03,0.27,0.0,0.0,0.73,7.06,59.74,72.55,4.67,0,,0,,0,0.0,0.0,0.0,,,0.64,,2.29,0.0,0.0,0.0,0.0,0,0.0
O. Nardone,Olivia  Nardone,-727326,UMBC Retrievers,UMBC Retrievers,https://cdn5.wyscout.com/photos/team/public/g-7660_120x120.png,NCAA D1 America East (W),"CB, RCB",CB,53,RCB,41,,0,,,0,,10,979,1,0.26,0,0.0,13.15,67.83,,[],unknown,167,0,False,11.12,7.45,77.78,1.47,62.5,0.09,0.11,0.64,5.24,6.43,0.64,1,0.09,0,0.0,0.37,0.09,1,0.09,0.02,1,0.09,3,0.28,33.33,33.333,0.0,0.18,50.0,0.0,0.0,0.18,50.0,0.0,0.28,66.67,2.67,44.83,0.28,0.18,0.0,16.18,0.28,1.01,28.96,73.97,14.34,60.26,2.02,100.0,24.27,81.82,4.5,32.65,19.83,31.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,41.67,0.28,33.33,0.09,0.0,0.18,0.0,7.08,44.16,88.7,10.57,0,,0,,0,0.0,0.0,0.0,,,1.75,,1.47,0.09,0.0,0.0,0.0,0,0.0
P. Flores,Paula Flores,-469059,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),GK,GK,100,,0,,0,,,0,,10,975,0,0.0,0,0.0,0.37,50.0,Mexico,['Mexico'],unknown,168,0,False,0.92,0.0,0.0,0.28,66.67,0.0,0.0,0.0,0.92,1.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,8.77,76.84,5.35,67.24,0.0,0.0,3.23,100.0,5.45,64.41,34.2,45.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,16.67,0.0,0.0,0.0,0.0,0.0,0.0,3.51,68.42,92.0,2.31,8,0.74,42,3.88,5,80.95,6.9,0.64,-1.1,-0.10200000000000001,0.0,0.55,0.28,,,,0.0,0,0.0
M. Hueser,Merle Hueser,-475643,NJIT Highlanders,NJIT Highlanders,https://cdn5.wyscout.com/photos/team/public/g-7672_120x120.png,NCAA D1 America East (W),"RCB, LCB",RCB,89,LCB,10,,0,,,0,,10,969,1,0.26,0,0.0,11.89,62.5,Germany,['Germany'],unknown,0,0,False,10.87,7.43,71.25,2.6,46.43,0.37,0.39,1.11,5.2,5.4,0.0,0,0.0,0,0.0,0.46,0.09,1,0.09,0.02,1,0.09,3,0.28,33.33,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,80.0,1.21,53.85,0.28,0.09,0.0,6.5,0.09,0.19,19.32,71.15,10.87,63.25,0.93,90.0,14.58,78.34,4.74,49.02,21.27,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,52.63,0.28,0.0,0.09,0.0,0.09,0.0,5.11,49.09,84.13,5.85,0,,0,,0,0.0,0.0,0.0,,,0.19,,2.6,0.28,0.0,0.0,0.0,0,0.0
C. Marini,Caroline Marini,-359734,VMI Keydets,VMI Keydets,https://cdn5.wyscout.com/photos/team/public/g-7675_120x120.png,NCAA D1 Southern (W),RCB,RCB,100,,0,,0,,,0,,10,968,0,0.43,0,0.08,9.11,54.08,United States,['United States'],,173,0,False,8.74,3.81,63.41,2.88,48.39,0.0,0.0,0.74,6.32,7.42,0.09,2,0.19,0,0.0,0.09,0.0,0,0.0,0.04,0,0.0,3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,50.0,0.93,40.0,0.37,0.0,0.0,10.79,0.09,0.56,23.89,72.76,10.6,63.16,3.25,91.43,18.41,79.29,5.49,50.85,21.13,30.51,0.01,0.28,0.0,0.0,0.0,0.0,0.0,2.6,46.43,0.37,50.0,0.28,33.33,0.37,0.0,6.51,48.57,84.27,8.27,0,,0,,0,0.0,0.0,0.0,,,2.7,,2.88,0.0,0.0,0.0,0.09,0,0.0
D. Gularte,Daniela Gularte,-239593,WIU Fighting Leathernecks,WIU Fighting Leathernecks,https://cdn5.wyscout.com/photos/team/public/g-7522_120x120.png,NCAA D1 Ohio Valley (W),"RCB, CB, LCB",RCB,35,CB,34,LCB,29,,,0,,10,964,0,0.0,0,0.0,10.27,56.36,United States,['United States'],,0,0,False,11.86,5.98,62.5,2.24,45.83,1.03,1.16,1.6800000000000002,7.1,8.0,0.93,1,0.09,0,0.0,0.28,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.65,57.14,0.0,0.0,0.0,11.48,0.0,0.19,29.5,64.24,16.9,51.93,2.33,88.0,18.95,78.33,10.55,38.94,23.35,34.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,32.26,0.37,0.0,0.37,0.0,0.0,0.0,8.59,32.61,80.49,7.66,0,,0,,0,0.0,0.0,0.0,,,1.96,,2.24,0.84,0.0,0.0,0.0,0,0.0
 . Thoma,Izzy Thoma,-469071,Idaho Vandals,Idaho Vandals,https://cdn5.wyscout.com/photos/team/public/g-7745_120x120.png,NCAA D1 Big Sky (W),"CB, RCB",CB,79,RCB,20,,0,,,0,,10,960,0,0.0,0,0.0,7.41,54.43,United States,['United States'],unknown,173,0,False,5.53,3.2800000000000002,77.14,1.69,33.33,0.0,0.0,0.28,3.0,4.55,0.19,0,0.0,0,0.0,0.56,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.56,83.33,1.78,42.11,0.0,0.56,0.0,20.44,0.09,0.28,37.41,84.46,15.66,73.05,1.03,81.82,31.03,90.03,6.28,56.72,20.97,31.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,62.5,0.47000000000000003,40.0,0.09,0.0,0.09,0.09,6.09,50.77,94.9,18.38,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.69,0.19,0.0,0.0,0.0,0,0.0
E. Brown,Emma Brown,516508,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,https://cdn5.wyscout.com/photos/team/public/g-7801_120x120.png,NCAA D1 Conference USA (W),RCB,RCB,89,,0,,0,24.0,2001-10-16,0,,10,955,0,0.73,0,0.0,12.25,56.15,England,['England'],,173,0,False,7.92,6.6,65.71,3.2,47.06,0.47000000000000003,0.65,0.09,3.11,4.3,0.75,1,0.09,0,0.0,0.19,0.0,0,0.0,0.07,0,0.0,2,0.19,50.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,100.0,0.85,33.33,0.66,0.5700000000000001,0.09,22.9,0.0,0.28,41.28,77.17,20.83,64.25,1.98,95.24,33.46,85.35,7.73,42.68,21.69,34.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,57.38,0.75,25.0,0.66,42.86,0.09,0.0,10.46,57.66,93.29,15.46,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,3.2,0.09,0.0,0.0,0.0,0,0.0
