Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Suttle,Rachel Suttle,-281036,Howard Bison,Howard Bison,https://cdn5.wyscout.com/photos/team/public/g-7939_120x120.png,NCAA D1 Northeast (W),CB,CB,96,,0,,0,,,0,,11,1078,1,0.62,0,0.06,10.6,68.5,United States,['United States'],unknown,180,0,False,8.68,4.17,92.0,3.59,65.12,0.0,0.0,1.17,4.84,7.13,0.33,1,0.08,0,0.0,0.25,0.08,1,0.08,0.05,1,0.08,7,0.58,14.29,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,66.67,1.0,41.67,1.09,0.0,0.0,11.77,0.0,0.08,25.96,76.85,12.27,65.99,1.5,88.89,22.37,80.6,3.59,53.49,19.91,25.68,0.01,0.08,0.0,0.0,0.0,0.0,0.0,1.0,41.67,0.17,0.0,0.08,0.0,0.17,0.0,5.84,32.86,88.18,9.18,0,,0,,0,0.0,0.0,0.0,,,1.25,,3.59,0.0,0.0,0.0,0.0,0,0
T. Knox,Trinity Knox,-479670,Howard Bison,Howard Bison,https://cdn5.wyscout.com/photos/team/public/g-7939_120x120.png,NCAA D1 Northeast (W),GK,GK,100,,0,,0,,,0,,11,1074,0,0.0,0,0.0,0.84,90.0,United States,['United States'],unknown,168,0,False,2.51,0.08,100.0,0.67,100.0,0.08,0.12,0.0,2.35,3.44,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.08,0.08,15.25,69.23,10.81,61.24,0.0,0.0,4.36,94.23,10.89,59.23,36.27,42.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,57.14,0.0,0.0,0.08,100.0,0.0,0.0,8.13,59.79,87.76,4.11,8,0.67,32,2.68,5,75.0,11.53,0.97,3.5300000000000002,0.296,0.0,1.5899999999999999,0.67,,,,0.0,0,0
C. Simmons,Charlotte Simmons,-223794,,CCSU Blue Devils,,,"RCB, LCB",RCB,78,LCB,21,,0,,,0,,10,1000,1,0.30000000000000004,2,0.42,10.44,62.07,United States,['United States'],unknown,173,0,False,8.19,5.4,78.33,1.8,70.0,0.0,0.0,0.45,3.96,5.57,0.27,0,0.0,0,0.0,0.45,0.09,1,0.09,0.03,1,0.09,5,0.45,60.0,20.0,0.18,0.45,20.0,0.18,0.0,0.27,33.33,0.09,0.45,20.0,2.07,17.39,0.36,0.45,0.0,13.95,0.18,0.27,34.56,63.02,23.85,57.36,1.35,86.67,23.58,75.57,10.53,36.75,22.7,32.72,0.04,0.27,0.0,0.0,0.0,0.0,0.0,6.3,51.43,1.26,28.57,0.81,33.33,0.36,0.09,12.06,55.22,74.39,7.38,0,,0,,0,0.0,0.0,0.0,,,0.81,,1.8,1.35,0.27,66.67,0.0,0,0
S. James,Samantha James,-479677,Howard Bison,Howard Bison,https://cdn5.wyscout.com/photos/team/public/g-7939_120x120.png,NCAA D1 Northeast (W),LWB,LWB,92,,0,,0,,,0,,11,998,4,1.35,4,2.03,23.45,49.62,United States,['United States'],unknown,0,0,False,12.63,8.75,74.23,1.08,41.67,0.0,0.0,0.09,6.13,8.54,0.81,0,0.0,0,0.0,4.51,0.36,4,0.36,0.12,0,0.0,12,1.08,50.0,33.333,0.36,3.7,31.71,3.25,27.78,0.45,60.0,0.81,5.05,55.36,11.72,34.62,2.07,3.25,0.36,15.78,1.08,0.72,28.5,64.87,7.48,46.99,7.21,87.5,21.91,73.25,2.98,42.42,19.99,33.4,0.18,2.07,0.0,0.09,0.0,0.0,0.45,3.79,47.62,3.52,30.77,0.45,40.0,0.45,1.35,6.49,63.89,64.22,9.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.08,0.0,0.0,0.0,3.61,0,0
R. Leblanc,Rosemarie  Leblanc,-602762,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7645_120x120.png,NCAA D1 Northeast (W),GK,GK,100,,0,,0,,,0,,10,995,0,0.0,0,0.0,0.36,100.0,Canada,['Canada'],unknown,167,0,False,1.81,0.0,0.0,0.36,100.0,0.0,0.0,0.0,1.81,2.9,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,5.61,0.27,0.09,12.39,89.05,5.97,80.3,0.0,0.0,9.05,99.0,3.26,63.89,24.86,33.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,30.0,98.46,5.88,10,0.9,32,2.89,5,68.75,9.0,0.81,-1.0,-0.09,0.0,0.81,0.36,,,,0.0,0,0
K. Yepes,Kiley Yepes,-363410,CCSU Blue Devils,CCSU Blue Devils,https://cdn5.wyscout.com/photos/team/public/g-7644_120x120.png,NCAA D1 Northeast (W),"LB, DMF, LDMF",LB,59,DMF,11,LDMF,10,,,0,,10,981,3,2.8,0,0.18,18.81,59.02,United States,['United States'],unknown,157,0,False,11.93,7.89,79.07,3.21,54.29,0.28,0.38,0.28,5.41,7.5600000000000005,0.46,1,0.09,0,0.0,2.39,0.28,2,0.18,0.26,0,0.0,18,1.65,27.78,16.667,0.0,1.56,23.53,1.38,26.67,0.18,0.0,0.28,2.11,73.91,5.23,49.12,1.47,1.74,0.18,16.97,0.64,1.19,33.03,64.44,16.42,53.63,3.39,91.89,26.24,70.98,5.32,43.1,19.6,33.86,0.02,0.37,0.0,0.09,0.09,0.0,0.0,8.62,57.45,2.11,17.39,0.37,0.0,0.18,0.46,10.09,65.45,70.09,9.82,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.21,0.0,0.0,0.0,0.0,1,100
K. Goodchild,Koa Goodchild,-277683,,Howard Bison,,,"LCB3, RCB3",LCB3,52,RCB3,41,,0,23.0,2003-01-29,0,,11,974,0,0.0,0,0.0,14.41,62.82,Bermuda,['Bermuda'],unknown,160,0,False,10.9,8.41,76.92,0.74,37.5,0.0,0.0,0.09,4.44,5.8100000000000005,0.46,0,0.0,0,0.0,0.65,0.0,0,0.0,0.0,0,0.0,1,0.09,100.0,0.0,0.0,0.28,66.67,0.0,0.0,0.28,66.67,0.09,0.74,50.0,3.05,33.33,0.0,0.18,0.0,17.46,0.28,0.28,34.93,66.67,20.05,56.68,2.96,87.5,25.97,76.16,8.78,38.95,22.53,35.17,0.0,0.28,0.0,0.0,0.0,0.0,0.0,5.27,38.6,1.29,28.57,0.65,42.86,0.37,0.09,9.89,42.99,79.0,9.24,0,,0,,0,0.0,0.0,0.0,,,1.57,,0.74,0.09,0.0,0.0,0.0,0,0
L. Martinez,Laura  Martinez,-469998,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7645_120x120.png,NCAA D1 Northeast (W),"LDMF, RDMF, DMF",LDMF,40,RDMF,35,DMF,15,,,0,,10,961,2,1.27,1,0.2,13.02,46.76,Spain,['Spain'],unknown,0,0,False,5.06,4.87,57.69,1.87,65.0,0.75,1.18,0.0,1.5,2.35,1.03,2,0.19,0,0.0,1.5,0.19,2,0.19,0.12,0,0.0,26,2.43,42.31,7.692,0.09,0.84,22.22,0.09,0.0,0.56,16.67,0.0,0.37,75.0,4.12,34.09,0.28,0.84,0.09,35.21,0.66,0.84,52.45,84.29,14.52,68.39,7.21,100.0,47.2,88.69,4.4,48.94,18.05,32.5,0.02,0.56,0.0,0.0,0.0,0.0,0.28,8.15,75.86,1.78,15.79,0.37,25.0,0.09,0.19,6.46,84.06,89.58,22.48,0,,0,,0,0.0,0.0,0.0,,,0.37,,1.87,1.5899999999999999,0.09,100.0,0.19,1,0
E. Dumaresq,Emmy  Dumaresq,-361774,,Stonehill College Skyhawks,,,"LDMF, RDMF, RCMF",LDMF,45,RDMF,22,RCMF,13,24.0,2001-10-19,0,,10,959,1,0.11,2,1.25,17.46,52.15,United States,['United States'],unknown,170,0,False,9.38,5.63,73.33,3.75,62.5,0.0,0.0,0.09,5.26,7.12,0.56,0,0.0,0,0.0,1.31,0.09,0,0.0,0.01,0,0.0,10,0.9400000000000001,20.0,0.0,0.19,0.66,57.14,0.09,100.0,0.56,50.0,0.0,1.31,57.14,6.1,32.31,0.09,0.75,0.09,22.81,0.09,0.66,43.36,74.03,15.58,62.65,6.38,89.71,37.35,80.15,5.44,32.76,18.47,30.92,0.12,1.03,0.0,0.0,0.0,0.0,0.09,10.51,61.61,1.03,45.45,0.28,0.0,0.19,0.28,8.73,59.14,78.88,15.11,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.75,1.4100000000000001,0.09,0.0,3.38,0,0
E. Cvetković,Elena Cvetković,-367012,Fairleigh Dickinson Knights,Fairleigh Dickinson Knights,https://cdn5.wyscout.com/photos/team/public/g-7645_120x120.png,NCAA D1 Northeast (W),"RCB, LCB, LDMF",RCB,42,LCB,18,LDMF,17,20.0,2005-11-15,0,,10,958,1,0.54,0,0.26,19.92,61.32,Serbia,['Serbia'],unknown,0,0,False,8.27,7.23,77.92,4.79,66.67,0.0,0.0,0.09,2.63,4.22,0.9400000000000001,2,0.19,0,0.0,0.85,0.09,1,0.09,0.05,1,0.09,9,0.85,44.44,11.111,0.0,0.19,0.0,0.0,0.0,0.09,0.0,0.0,0.66,71.43,6.29,35.82,0.85,1.4100000000000001,0.09,18.6,0.28,0.47000000000000003,38.14,80.54,17.19,72.13,3.38,94.44,30.44,86.42,7.52,58.75,20.36,33.23,0.02,0.47000000000000003,0.09,0.0,0.0,0.0,0.09,6.11,64.62,1.22,38.46,0.38,25.0,0.56,0.0,8.74,60.22,89.04,13.72,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.79,0.09,0.0,0.0,0.0,0,0
