Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Apker,Catherine  Apker,-467955,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-7894_120x120.png,NCAA D1 Patriot League (W),GK,GK,100,,0,,0,,,0,,11,1073,0,0.0,0,0.0,1.26,80.0,United States,['United States'],unknown,0,0,False,2.77,0.08,100.0,0.67,100.0,0.0,0.0,0.0,2.68,2.99,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,6.79,0.08,0.25,19.63,58.55,15.77,51.6,0.0,0.0,5.96,91.55,13.59,43.83,37.65,42.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,18.18,0.0,0.0,0.0,0.0,0.0,0.0,9.9,57.63,88.64,3.69,17,1.43,85,7.13,2,80.0,19.48,1.63,2.48,0.20800000000000002,0.0,2.94,0.67,,,,0.0,0,0
D. West,Daisy  West,-602813,Army West Point Black Knights,Army West Point Black Knights,https://cdn5.wyscout.com/photos/team/public/g-12737_120x120.png,NCAA D1 Patriot League (W),LCB,LCB,98,,0,,0,,,0,,11,1047,1,0.9500000000000001,1,0.8300000000000001,10.66,62.1,United States,['United States'],unknown,175,0,False,9.03,5.93,76.81,1.55,55.56,0.0,0.0,0.6000000000000001,4.47,6.39,0.34,0,0.0,0,0.0,0.34,0.09,1,0.09,0.08,1,0.09,10,0.86,30.0,10.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.34,25.0,2.32,37.04,0.86,0.77,0.0,22.26,0.34,0.6000000000000001,41.09,76.57,21.15,63.01,2.06,87.5,30.86,84.68,10.14,52.54,23.08,34.54,0.07,0.17,0.0,0.09,0.0,0.0,0.0,5.93,50.72,0.34,25.0,0.43,40.0,0.09,0.0,9.46,55.45,94.41,15.39,0,,0,,0,0.0,0.0,0.0,,,1.29,,1.55,1.8900000000000001,0.09,0.0,0.0,0,0
K. Dail,Karalyn  Dail,-603027,Army West Point Black Knights,Army West Point Black Knights,https://cdn5.wyscout.com/photos/team/public/g-12737_120x120.png,NCAA D1 Patriot League (W),GK,GK,100,,0,,0,,,0,,11,1014,0,0.0,0,0.0,1.07,91.67,United States,['United States'],unknown,180,0,False,1.69,0.18,100.0,0.71,87.5,0.0,0.0,0.0,1.51,2.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.09,0.18,12.25,81.16,8.52,73.96,0.0,0.0,4.62,94.23,7.54,74.12,30.2,34.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,64.79,100.0,3.2800000000000002,10,0.89,52,4.62,5,80.77,10.02,0.89,0.02,0.002,0.0,1.78,0.71,,,,0.0,0,0
M. Sommer,Mary  Sommer,-467880,Holy Cross Crusaders,Holy Cross Crusaders,https://cdn5.wyscout.com/photos/team/public/g-7897_120x120.png,NCAA D1 Patriot League (W),RCB,RCB,100,,0,,0,,,0,,10,1004,0,0.89,0,0.0,11.03,62.6,United States,['United States'],unknown,180,0,False,8.96,6.63,68.92,2.6,72.41,0.09,0.11,0.9,4.3,5.09,0.18,0,0.0,0,0.0,0.0,0.0,0,0.0,0.08,0,0.0,5,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,9.09,0.63,0.09,0.0,8.43,0.09,0.09,21.25,64.14,12.46,55.4,1.25,85.71,14.7,75.0,6.54,39.73,22.77,37.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,31.43,0.27,0.0,0.27,0.0,0.0,0.0,6.19,43.48,83.33,5.92,0,,0,,0,0.0,0.0,0.0,,,0.9,,2.6,0.72,0.0,0.0,0.0,0,0
K. Beckstein,Karenna  Beckstein,-467873,Holy Cross Crusaders,Holy Cross Crusaders,https://cdn5.wyscout.com/photos/team/public/g-7897_120x120.png,NCAA D1 Patriot League (W),RB,RB,89,,0,,0,,,0,,10,1004,2,1.5,1,1.76,21.07,57.02,United States,['United States'],unknown,160,0,False,13.8,9.5,66.04,1.52,47.06,1.79,2.12,0.36,5.74,6.78,0.81,1,0.09,0,0.0,2.7800000000000002,0.18,1,0.09,0.13,0,0.0,10,0.9,60.0,20.0,0.09,1.08,66.67,0.45,80.0,0.63,57.14,0.27,2.7800000000000002,54.84,7.62,48.24,0.36,2.15,0.27,15.15,0.27,1.6099999999999999,33.17,55.95,24.29,54.24,1.7000000000000002,78.95,19.54,65.6,12.55,40.0,23.96,33.75,0.16,1.17,0.09,0.0,0.0,0.0,0.09,10.85,45.45,1.97,50.0,0.09,100.0,0.63,0.54,14.07,62.42,58.93,5.02,0,,0,,0,0.0,0.0,0.0,,,0.45,,1.52,1.52,0.18,100.0,2.06,1,100
A. Haesche,Aubrey Haesche,-733095,Holy Cross Crusaders,Holy Cross Crusaders,https://cdn5.wyscout.com/photos/team/public/g-7897_120x120.png,NCAA D1 Patriot League (W),GK,GK,100,,0,,0,,,0,,10,1004,0,0.0,0,0.0,1.79,90.0,United States,['United States'],unknown,177,0,False,3.76,0.09,100.0,1.17,84.62,0.0,0.0,0.0,3.68,4.35,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,100.0,0.0,0.0,0.0,3.14,0.0,0.45,13.89,67.74,12.46,65.47,0.0,0.0,1.7000000000000002,94.74,12.19,63.97,40.12,42.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,36.36,0.0,0.0,0.0,0.0,0.0,0.0,9.23,74.76,86.67,1.34,8,0.72,54,4.84,3,85.19,12.03,1.08,4.03,0.361,0.0,2.33,1.17,,,,0.0,0,0
E. Poppinga,Ella Poppinga,-467761,Colgate Raiders,Colgate Raiders,https://cdn5.wyscout.com/photos/team/public/g-7892_120x120.png,NCAA D1 Patriot League (W),GK,GK,100,,0,,0,,,0,,10,997,0,0.0,0,0.0,0.81,66.67,United States,['United States'],unknown,170,0,False,2.5300000000000002,0.36,75.0,0.36,50.0,0.0,0.0,0.0,2.26,2.8200000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.09,0.09,19.77,74.89,12.37,64.96,0.09,0.0,10.65,93.22,9.12,53.47,29.49,39.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,51.95,94.29,6.32,12,1.08,48,4.33,2,75.0,14.66,1.32,2.66,0.24,0.0,1.08,0.36,,,,0.0,0,0
C. Bierfeldt,Caroline  Bierfeldt,-603083,Holy Cross Crusaders,Holy Cross Crusaders,https://cdn5.wyscout.com/photos/team/public/g-7897_120x120.png,NCAA D1 Patriot League (W),LCB,LCB,100,,0,,0,,,0,,10,993,0,0.67,0,0.0,12.51,54.35,United States,['United States'],unknown,170,0,False,10.69,6.53,65.28,3.35,45.95,0.45,0.53,0.54,5.98,7.0,0.36,0,0.0,0,0.0,0.09,0.0,0,0.0,0.06,0,0.0,5,0.45,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.09,0.09,100.0,1.0,18.18,0.63,0.0,0.0,7.7,0.0,0.18,23.2,67.19,13.23,57.53,1.0,72.73,16.13,74.72,6.89,51.32,22.55,29.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,47.92,0.18,0.0,0.0,0.0,0.0,0.0,7.25,61.25,88.16,6.89,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.35,0.09,0.0,0.0,0.0,0,0
N. Zaffanella,Nadia  Zaffanella,-467956,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-7894_120x120.png,NCAA D1 Patriot League (W),"AMF, CF, LCMF",AMF,57,CF,30,LCMF,12,,,0,,11,988,7,4.3,0,0.78,36.71,41.69,United States,['United States'],unknown,0,0,False,9.47,8.47,55.91,8.2,56.67,0.36,0.37,0.27,4.37,4.43,1.82,0,0.0,0,0.0,2.55,0.64,7,0.64,0.39,1,0.09,28,2.55,35.71,25.0,0.0,1.6400000000000001,11.11,1.0,18.18,0.64,0.0,0.0,3.1,47.06,17.49,28.13,2.8200000000000003,1.28,0.18,15.3,1.37,1.0,39.44,70.21,11.02,47.11,10.93,90.83,33.52,77.45,4.37,35.42,16.14,30.63,0.07,1.0,0.0,0.0,0.09,0.0,0.09,6.47,53.52,2.1,26.09,0.27,0.0,0.64,0.27,5.19,66.67,75.0,8.74,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.2,0.0,0.0,0.0,0.09,0,0
H. Goetzer,Hannah  Goetzer,-491537,Loyola Greyhounds,Loyola Greyhounds,https://cdn5.wyscout.com/photos/team/public/g-7895_120x120.png,NCAA D1 Patriot League (W),GK,GK,100,,0,,0,,,0,,10,983,0,0.0,0,0.0,0.73,87.5,Germany,['Germany'],unknown,0,0,False,2.2,0.18,50.0,0.46,100.0,0.0,0.0,0.0,2.11,2.7,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.09,0.18,15.66,72.51,9.7,56.6,0.09,100.0,7.51,98.78,8.15,48.31,34.95,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,33.33,0.0,0.0,0.0,0.0,0.0,0.0,5.58,62.3,98.44,5.86,12,1.1,47,4.3,3,74.47,12.58,1.15,0.58,0.053,0.09,1.37,0.46,,,,0.0,0,0
