Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Missimo,Lexi Missimo,-252205,,Texas Longhorns,,,"LCMF, AMF, RCMF",LCMF,28,AMF,19,RCMF,17,,,0,,13,1337,5,3.69,3,2.91,6.93,48.54,United States,['United States'],,176,0,False,2.56,1.21,77.78,0.67,30.0,0.07,0.09,0.0,1.55,1.98,0.27,1,0.07,0,0.0,3.5700000000000003,0.34,5,0.34,0.25,1,0.07,40,2.69,42.5,12.5,0.2,1.01,26.67,0.47000000000000003,14.29,0.47000000000000003,42.86,0.27,2.15,71.88,3.9,43.1,2.63,2.49,0.67,26.39,2.36,0.0,32.58,71.28,12.66,57.45,6.06,94.44,28.95,76.51,2.63,30.77,17.11,27.34,0.2,1.55,0.2,0.0,1.28,47.37,0.88,6.53,64.95,3.9699999999999998,47.46,1.35,45.0,1.35,0.34,6.13,71.43,77.94,9.15,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.67,0.61,0.0,0.0,3.84,1,0
M. Haugen,Madison Haugen,-202613,,Texas Longhorns,,,LB,LB,97,,0,,0,,,0,,13,1337,0,0.22,0,0.45,13.4,57.79,United States,['United States'],,168,0,False,10.37,6.73,73.0,1.48,36.36,0.0,0.0,0.54,5.45,6.98,0.0,0,0.0,0,0.0,1.28,0.0,0,0.0,0.01,0,0.0,5,0.34,40.0,0.0,0.0,1.08,31.25,0.9400000000000001,28.57,0.07,100.0,0.13,1.28,63.16,3.77,46.43,0.61,1.88,0.13,25.71,1.55,0.61,39.58,71.09,24.23,66.94,2.83,71.43,33.59,77.96,4.91,32.88,18.58,30.02,0.03,0.61,0.0,0.0,0.07,0.0,0.27,6.06,63.33,1.4100000000000001,33.33,0.07,0.0,0.2,0.4,13.19,60.71,82.31,8.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.48,0.0,0.0,0.0,0.0,0,0
B. Thompson,Breana Thompson,-357128,Texas Longhorns,Texas Longhorns,https://cdn5.wyscout.com/photos/team/public/g-7721_120x120.png,NCAA D1 SEC (W),"RCB, LCB",RCB,64,LCB,33,,0,,,0,,13,1331,0,0.0,0,0.0,7.78,59.13,United States,['United States'],unknown,0,0,False,6.76,4.26,71.43,1.08,31.25,0.27,0.34,0.2,3.45,4.4,0.07,0,0.0,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.2,66.67,1.42,38.1,0.0,0.14,0.0,17.78,0.07,0.34,32.46,81.46,12.37,68.31,1.96,96.55,28.81,87.09,3.58,37.74,19.28,36.26,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.22,50.0,0.14,0.0,0.0,0.0,0.0,0.0,5.54,29.27,90.37,14.74,0,,0,,0,0.0,0.0,0.0,,,1.49,,1.08,0.0,0.0,0.0,0.0,0,0
H. Meadows,Hallie Meadows,-202777,Saint-Étienne,South Carolina Gamecocks,https://cdn5.wyscout.com/photos/team/public/g5776_120x120.png,Première Ligue,RCB,RCB,98,,0,,0,24.0,2001-10-18,0,,13,1313,0,0.09,0,0.67,6.72,70.41,United States,['United States'],unknown,178,0,False,5.28,2.67,66.67,2.74,75.0,0.27,0.37,0.41000000000000003,3.22,4.39,0.21,0,0.0,0,0.0,0.34,0.0,0,0.0,0.01,0,0.0,2,0.14,50.0,0.0,0.0,0.21,66.67,0.0,0.0,0.14,50.0,0.0,0.14,100.0,0.6900000000000001,70.0,0.14,0.34,0.0,31.94,0.07,0.27,46.13,82.62,21.66,68.67,2.26,90.91,32.9,93.13,13.02,56.32,24.71,37.99,0.05,0.34,0.07,0.0,0.0,0.0,0.0,6.37,56.99,0.62,44.44,0.34,40.0,0.21,0.14,11.1,71.6,96.91,19.95,0,,0,,0,0.0,0.0,0.0,,,1.85,,2.74,0.8200000000000001,0.14,50.0,0.62,0,0
G. Falla,Graciella Falla,-473978,South Carolina Gamecocks,South Carolina Gamecocks,https://cdn5.wyscout.com/photos/team/public/g-7899_120x120.png,NCAA D1 SEC (W),LCB,LCB,98,,0,,0,,,0,,13,1309,0,0.1,0,0.0,10.52,72.55,United States,['United States'],unknown,173,0,False,8.73,3.92,73.68,2.06,76.67,0.34,0.47000000000000003,1.1,5.5,7.5,0.55,1,0.07,0,0.0,0.96,0.0,0,0.0,0.01,0,0.0,3,0.21,66.67,0.0,0.0,0.41000000000000003,33.33,0.14,0.0,0.28,50.0,0.07,0.8300000000000001,83.33,2.68,61.54,0.0,0.89,0.14,31.15,0.14,0.89,49.98,80.74,22.14,64.6,3.03,95.45,37.47,91.93,12.17,47.46,24.12,36.59,0.0,0.0,0.0,0.07,0.0,0.0,0.0,6.05,60.23,1.24,33.33,0.76,54.55,0.28,0.14,11.0,55.0,94.75,22.28,0,,0,,0,0.0,0.0,0.0,,,2.41,,2.06,0.48,0.0,0.0,0.28,0,0
M. Justus,Mia Justus,-170308,Utah Royals FC,Texas Longhorns,https://cdn5.wyscout.com/photos/team/public/g-8683_120x120.png,NWSL,GK,GK,100,,0,,0,23.0,2002-09-03,0,,13,1281,0,0.0,2,0.0,1.55,81.82,United States,['United States'],right,175,0,False,2.46,0.21,100.0,0.91,84.62,0.07,0.09,0.0,2.18,2.7800000000000002,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,17.0,0.07,0.35000000000000003,28.95,83.01,10.05,58.74,0.07,100.0,21.01,95.99,7.94,48.67,29.4,47.63,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.32,24.24,0.28,25.0,0.14,100.0,0.07,0.0,3.86,58.18,95.93,17.28,12,0.84,68,4.78,6,82.35,20.24,1.42,8.24,0.579,0.07,2.6,0.91,,,,0.0,0,0
C. Tsaousis,Christina Tsaousis,-357432,South Carolina Gamecocks,South Carolina Gamecocks,https://cdn5.wyscout.com/photos/team/public/g-7899_120x120.png,NCAA D1 SEC (W),GK,GK,100,,0,,0,,,0,,13,1270,0,0.0,0,0.0,0.5700000000000001,75.0,United States,['United States'],unknown,173,0,False,1.35,0.0,0.0,0.43,83.33,0.0,0.0,0.0,1.35,1.8399999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,0.21,0.14,15.8,88.34,6.38,76.67,0.0,0.0,12.12,98.83,3.69,53.85,25.27,41.46,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.5,28.57,0.0,0.0,0.0,0.0,0.0,0.0,2.2,45.16,96.52,8.15,13,0.92,59,4.18,3,77.97,17.74,1.26,4.74,0.336,0.0,1.28,0.43,,,,0.0,0,0
M. Anderson,Maddy Anderson,-202500,Lens,Mississippi St. Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-15127_120x120.png,Première Ligue,GK,GK,100,,0,,0,24.0,2002-02-22,0,,12,1260,0,0.0,0,0.0,1.29,72.22,United States,['United States'],unknown,173,0,False,1.57,0.14,0.0,0.86,83.33,0.0,0.0,0.0,1.57,2.14,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.07,16.71,82.48,9.14,71.09,0.0,0.0,10.0,97.14,6.71,60.64,32.31,40.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,36.36,0.07,0.0,0.0,0.0,0.0,0.0,5.0,65.71,95.96,7.07,6,0.43,34,2.43,8,82.35,12.06,0.86,6.06,0.433,0.0,1.79,0.86,,,,0.0,0,0
L. Lapomarda,Lauren Lapomarda,-202160,Dallas Trinity,Texas Longhorns,https://cdn5.wyscout.com/photos/team/public/g-21563_120x120.png,USL Super League,RB,RB,97,,0,,0,24.0,2002-05-10,0,,13,1255,1,0.04,0,0.19,20.94,56.16,United States,['United States'],,158,0,False,14.34,11.47,66.25,1.08,53.33,1.29,1.5899999999999999,0.14,5.45,6.71,1.15,2,0.14,0,0.0,0.86,0.07,1,0.07,0.0,0,0.0,2,0.14,50.0,50.0,0.0,1.15,25.0,0.0,0.0,1.15,25.0,0.07,0.72,70.0,5.95,44.58,0.43,3.37,0.36,25.96,0.72,1.65,40.59,80.21,21.37,76.17,3.37,93.62,35.64,86.12,3.8,41.51,17.98,32.65,0.01,0.36,0.07,0.0,0.07,0.0,0.0,5.95,75.9,1.3599999999999999,42.11,0.07,0.0,0.29,0.5,10.04,65.0,84.44,9.68,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.08,0.0,0.0,0.0,0.0,0,0
A. Brown,Ally Brown,-355196,Lexington,Tennessee Vols,https://cdn5.wyscout.com/photos/team/public/g-18530_120x120.png,USL Super League,LCB,LCB,92,,0,,0,22.0,2003-10-09,0,,12,1221,1,1.29,1,0.85,11.2,59.87,United States,['United States'],unknown,173,0,False,8.92,5.31,70.83,3.1,52.38,0.0,0.0,0.66,5.16,7.39,0.59,1,0.07,0,0.0,0.37,0.07,1,0.07,0.1,1,0.07,6,0.44,33.33,16.667,0.07,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.22,66.67,1.55,38.1,0.96,1.33,0.0,29.71,0.29,0.59,47.32,81.31,24.32,70.0,1.55,90.48,36.93,89.82,10.32,50.71,23.11,36.94,0.06,0.15,0.0,0.0,0.0,0.0,0.07,6.34,55.81,0.88,33.33,0.44,66.67,0.44,0.07,11.5,60.26,97.21,18.5,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.1,0.29,0.0,0.0,0.0,0,0
