Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Bengough,Katie Bengough,-354455,Furman Paladins,Furman Paladins,https://cdn5.wyscout.com/photos/team/public/g-7914_120x120.png,NCAA D1 Southern (W),LCB,LCB,93,,0,,0,,,0,,11,1092,1,0.72,1,0.73,10.71,56.92,United States,['United States'],unknown,170,0,False,8.9,5.11,61.29,2.64,50.0,0.0,0.0,1.4,5.77,7.02,0.33,0,0.0,0,0.0,0.58,0.08,1,0.08,0.06,0,0.0,8,0.66,25.0,12.5,0.08,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.49,66.67,2.14,50.0,1.24,0.41000000000000003,0.0,9.89,0.08,0.58,20.93,75.59,9.31,61.06,0.99,91.67,17.72,81.86,3.21,41.03,19.87,29.2,0.06,0.16,0.0,0.0,0.0,0.0,0.08,1.15,57.14,0.16,100.0,0.08,0.0,0.33,0.08,4.78,34.48,87.63,7.99,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.64,0.41000000000000003,0.16,50.0,0.0,0,0.0
C. Ekern,Caroline  Ekern,-354436,Chattanooga Mocs,Chattanooga Mocs,https://cdn5.wyscout.com/photos/team/public/g-7919_120x120.png,NCAA D1 Southern (W),GK,GK,100,,0,,0,,,0,,11,1086,0,0.0,0,0.0,0.5,100.0,United States,['United States'],,173,0,False,3.31,0.0,0.0,0.25,100.0,0.0,0.0,0.0,3.31,4.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,4.72,0.08,0.08,14.92,62.22,11.69,55.32,0.08,100.0,4.06,93.88,10.86,50.38,41.46,49.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,39.29,0.08,0.0,0.0,0.0,0.0,0.0,7.71,59.14,85.71,2.9,11,0.91,39,3.23,3,71.79,7.21,0.6000000000000001,-3.79,-0.314,0.08,1.16,0.25,,,,0.0,0,0.0
S. Keck,Sylvie keck,-273765,,Chattanooga Mocs,,,"LCB3, LCB",LCB3,52,LCB,38,,0,23.0,2002-09-09,0,,11,1086,1,0.54,0,0.04,12.27,59.46,United States,['United States'],,168,0,False,7.54,6.38,75.32,3.73,37.78,0.08,0.11,0.5,2.65,3.5700000000000003,0.66,0,0.0,0,0.0,0.17,0.08,1,0.08,0.04,1,0.08,3,0.25,33.33,33.333,0.0,0.17,0.0,0.08,0.0,0.0,0.0,0.0,0.08,100.0,1.57,42.11,0.33,0.08,0.0,17.9,0.0,0.33,33.81,74.75,17.32,66.99,1.82,63.64,29.01,80.86,4.64,39.29,19.17,30.37,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.98,64.58,0.25,33.33,0.17,50.0,0.08,0.08,9.45,50.88,89.55,11.1,0,,0,,0,0.0,0.0,0.0,,,0.66,,3.73,0.08,0.0,0.0,0.0,0,0.0
E. Herrmann,Ellie Herrmann,-354472,Furman Paladins,Furman Paladins,https://cdn5.wyscout.com/photos/team/public/g-7914_120x120.png,NCAA D1 Southern (W),RB,RB,98,,0,,0,,,0,,11,1081,0,0.02,1,0.88,14.57,58.29,United States,['United States'],unknown,160,0,False,9.99,7.83,64.89,1.25,60.0,0.58,0.71,0.5,4.33,5.31,0.17,0,0.0,0,0.0,1.83,0.0,0,0.0,0.0,0,0.0,5,0.42,0.0,0.0,0.08,2.66,37.5,0.0,0.0,2.58,35.48,0.5,1.5,55.56,4.41,50.94,0.0,1.42,0.17,20.4,0.67,1.0,35.72,54.78,21.31,47.27,3.08,86.49,21.81,70.61,11.24,28.15,24.75,38.9,0.07,0.67,0.08,0.0,0.0,0.0,0.17,9.07,31.19,3.58,39.53,0.67,25.0,0.42,1.0,11.99,54.86,59.18,8.16,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.25,1.17,0.25,0.0,2.5,0,0.0
P. Hull,Peyton Hull,-478095,Samford Bulldogs,Samford Bulldogs,https://cdn5.wyscout.com/photos/team/public/g-7913_120x120.png,NCAA D1 Southern (W),GK,GK,100,,0,,0,,,0,,11,1080,0,0.0,0,0.0,0.58,100.0,United States,['United States'],unknown,178,0,False,1.17,0.0,0.0,0.5,100.0,0.0,0.0,0.0,1.17,1.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,2.0,0.0,0.08,8.75,76.19,7.67,73.91,0.0,0.0,2.0,91.67,6.75,71.6,37.08,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,78.13,92.31,1.08,9,0.75,47,3.92,4,80.85,11.16,0.93,2.16,0.18,0.0,1.33,0.5,,,,0.0,0,0.0
S. Mize,Sophia  Mize,-603460,Chattanooga Mocs,Chattanooga Mocs,https://cdn5.wyscout.com/photos/team/public/g-7919_120x120.png,NCAA D1 Southern (W),"DMF, LDMF, LCMF",DMF,18,LDMF,18,LCMF,16,,,0,,11,1060,2,0.85,1,1.0,20.55,47.93,United States,['United States'],unknown,170,0,False,7.13,7.13,67.86,4.42,23.08,0.0,0.0,0.0,2.29,3.01,1.27,1,0.08,0,0.0,1.27,0.17,2,0.17,0.07,0,0.0,15,1.27,40.0,13.333,0.08,0.59,14.29,0.42,20.0,0.0,0.0,0.08,1.19,50.0,6.62,35.9,0.59,0.93,0.08,19.7,0.17,1.1,35.66,71.9,13.16,60.0,4.58,92.59,31.5,76.55,3.5700000000000003,40.48,18.45,33.51,0.08,0.42,0.0,0.0,0.17,50.0,0.0,6.37,52.0,1.02,33.33,0.34,25.0,0.25,0.08,6.54,61.04,79.26,11.46,0,,0,,0,0.0,0.0,0.0,,,0.34,,4.42,0.51,0.08,0.0,0.0,0,0.0
L. Trudel,Leanne Trudel,-354467,Western Carolina Catamounts,Western Carolina Catamounts,https://cdn5.wyscout.com/photos/team/public/g-7918_120x120.png,NCAA D1 Southern (W),GK,GK,100,,0,,0,,,0,,11,1049,0,0.0,0,0.0,0.51,83.33,Canada,['Canada'],unknown,165,0,False,2.32,0.17,100.0,0.09,100.0,0.0,0.0,0.0,2.14,3.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,4.72,0.09,0.17,12.78,66.44,10.64,61.29,0.0,0.0,4.12,97.92,8.58,52.0,39.8,46.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,26.32,0.0,0.0,0.0,0.0,0.0,0.0,5.41,71.43,95.24,1.8,3,0.26,30,2.5700000000000003,8,90.0,4.44,0.38,1.44,0.124,0.0,0.77,0.09,,,,0.0,0,0.0
H. Gutierrez,Helen Gutierrez,-280894,,Furman Paladins,,,"LDMF, DMF, RDMF",LDMF,45,DMF,41,RDMF,11,,,0,,11,1037,0,0.04,0,0.04,18.66,52.56,United States,['United States'],unknown,165,0,False,10.07,7.72,64.04,4.25,57.14,0.0,0.0,0.52,5.12,6.1,0.43,0,0.0,0,0.0,0.52,0.0,0,0.0,0.0,0,0.0,3,0.26,0.0,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.0,0.0,0.61,85.71,4.25,34.69,0.35000000000000003,0.43,0.0,12.5,0.26,0.6900000000000001,31.24,75.28,12.93,62.42,5.8100000000000005,92.54,27.25,78.98,3.73,53.49,18.72,29.75,0.0,0.26,0.0,0.09,0.0,0.0,0.0,5.12,71.19,0.61,42.86,0.0,0.0,0.26,0.0,6.42,50.0,84.47,8.94,0,,0,,0,0.0,0.0,0.0,,,0.26,,4.25,0.09,0.0,0.0,0.17,0,0.0
A. King,Ava King,-472569,Furman Paladins,Furman Paladins,https://cdn5.wyscout.com/photos/team/public/g-7914_120x120.png,NCAA D1 Southern (W),LB,LB,100,,0,,0,,,0,,11,1024,0,0.08,1,1.15,15.47,57.39,United States,['United States'],unknown,170,0,False,9.49,7.47,72.94,1.76,55.0,0.0,0.0,0.0,4.04,4.78,0.26,0,0.0,0,0.0,2.2,0.0,0,0.0,0.01,0,0.0,6,0.53,33.33,0.0,0.09,1.49,47.06,1.4100000000000001,43.75,0.09,100.0,0.26,2.37,55.56,5.27,40.0,0.44,1.32,0.26,19.51,0.18,0.53,33.13,63.13,21.88,58.63,1.76,90.0,23.2,73.11,8.44,38.54,21.98,36.36,0.1,0.79,0.0,0.0,0.0,0.0,0.18,6.5,48.65,1.58,50.0,0.44,60.0,0.18,0.62,12.3,57.14,68.29,7.21,0,,0,,0,0.0,0.0,0.0,,,0.09,,1.76,1.23,0.0,0.0,2.29,0,0.0
C. Richvalsky,Caroline  Richvalsky,-354440,Chattanooga Mocs,Chattanooga Mocs,https://cdn5.wyscout.com/photos/team/public/g-7919_120x120.png,NCAA D1 Southern (W),CF,CF,100,,0,,0,21.0,2004-07-28,0,,11,1018,4,5.59,1,1.78,48.8,38.77,United States,['United States'],,170,0,False,6.63,7.16,64.2,6.19,37.14,0.0,0.0,0.0,2.03,2.5700000000000003,2.48,1,0.09,0,0.0,8.4,0.35000000000000003,4,0.35000000000000003,0.49,0,0.0,60,5.3,45.0,6.667,0.09,2.74,19.35,0.62,14.29,2.12,20.83,0.53,8.22,63.44,31.39,34.37,6.45,3.01,0.27,16.18,2.03,3.27,33.86,68.15,9.02,62.75,4.69,84.91,30.15,73.9,1.06,25.0,16.82,30.69,0.16,1.6800000000000002,0.18,0.0,0.44,60.0,0.44,5.57,57.14,3.27,40.54,0.62,57.14,1.8599999999999999,0.71,3.98,84.44,70.49,10.79,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.19,0.0,0.0,0.0,0.0,0,0.0
