Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Eckerle,Lauren Eckerle,-354530,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),"RCB3, RB",RCB3,51,RB,31,,0,,,0,,11,1075,1,1.75,5,1.1,11.89,52.11,United States,['United States'],unknown,170,0,False,7.2,5.11,59.02,2.76,66.67,0.0,0.0,0.33,4.19,5.91,0.5,0,0.0,0,0.0,1.09,0.08,1,0.08,0.15,0,0.0,17,1.42,23.53,5.882,0.42,2.09,24.0,0.08,0.0,2.01,25.0,0.42,0.42,60.0,2.51,26.67,1.17,0.75,0.0,21.43,0.42,0.67,40.35,63.9,24.45,55.82,2.34,89.29,25.45,78.95,12.98,40.0,26.16,39.9,0.09,0.84,0.17,0.0,0.0,0.0,0.42,11.47,54.01,4.35,40.38,1.34,43.75,1.5899999999999999,0.59,13.48,68.94,76.52,11.05,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.76,1.8399999999999999,0.33,25.0,0.0,0,0
M. Benhart,Mallorie Benhart,-474946,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),GK,GK,100,,0,,0,,,0,,11,1052,0,0.0,0,0.0,0.09,100.0,United States,['United States'],unknown,183,0,False,2.74,0.0,0.0,0.09,100.0,0.0,0.0,0.0,2.74,3.89,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,0.0,0.0,20.02,66.24,14.71,56.98,0.0,0.0,6.93,92.59,13.09,52.29,36.98,43.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,44.12,0.26,0.0,0.0,0.0,0.0,0.0,8.3,65.98,91.94,5.3,7,0.6000000000000001,51,4.36,5,86.27,13.98,1.2,6.98,0.597,0.0,0.34,0.09,,,,0.0,0,0
A. Chaple,Alani Chaple,-354611,Oral Roberts Golden Eagles,Oral Roberts Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-7518_120x120.png,NCAA D1 Summit League (W),LB,LB,96,,0,,0,,,0,,10,983,0,0.11,0,0.08,20.14,59.55,United States,['United States'],unknown,160,0,False,12.82,11.26,72.36,2.38,57.69,0.18,0.27,0.0,4.49,6.62,0.8200000000000001,2,0.18,0,0.0,1.56,0.0,0,0.0,0.01,0,0.0,2,0.18,50.0,0.0,0.0,1.56,23.53,1.56,23.53,0.0,0.0,0.55,2.2,50.0,4.94,40.74,0.09,2.47,0.09,16.02,0.46,0.46,30.76,63.69,18.49,60.89,2.84,96.77,23.16,71.54,6.04,43.94,20.21,33.3,0.01,0.37,0.0,0.0,0.0,0.0,0.0,7.05,55.84,2.56,35.71,0.27,33.33,0.46,0.27,9.98,62.39,60.29,6.23,0,,0,,0,0.0,0.0,0.0,,,0.09,,2.38,0.27,0.0,0.0,0.0,0,0
R. Buchanan,Renny  Buchanan,-498307,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),"CB, RCB",CB,54,RCB,35,,0,,,0,,11,977,0,0.0,0,0.0,6.36,60.87,United States,['United States'],unknown,152,0,False,5.8,3.04,72.73,0.64,57.14,0.0,0.0,0.46,3.59,4.88,0.0,0,0.0,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.18,50.0,0.09,0.0,0.09,100.0,0.0,0.0,0.0,1.47,43.75,0.0,0.28,0.09,14.92,0.0,0.46,31.78,80.29,13.08,64.08,3.68,95.0,26.71,87.59,4.88,41.51,19.76,32.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.67,58.62,0.18,50.0,0.0,0.0,0.0,0.0,6.54,42.25,93.85,11.98,0,,0,,0,0.0,0.0,0.0,,,3.22,,0.64,1.29,0.0,0.0,0.0,0,0
K. Munson,Kylee Munson,-482175,Oral Roberts Golden Eagles,Oral Roberts Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-7518_120x120.png,NCAA D1 Summit League (W),RCB,RCB,99,,0,,0,,,0,,10,956,0,0.0,0,0.02,7.8100000000000005,60.24,United States,['United States'],unknown,175,0,False,7.8100000000000005,5.27,71.43,0.66,42.86,0.19,0.27,0.28,3.86,5.62,0.47000000000000003,1,0.09,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.19,100.0,1.51,31.25,0.0,0.19,0.09,12.62,0.09,0.0,27.3,73.1,16.57,64.2,1.79,84.21,19.58,78.85,7.63,59.26,23.49,35.83,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.55,54.24,0.85,55.56,0.47000000000000003,60.0,0.75,0.09,10.45,66.67,89.55,6.31,0,,0,,0,0.0,0.0,0.0,,,1.04,,0.66,0.28,0.0,0.0,0.0,0,0
T. Hettich,Taryn Hettich,-471744,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),"DMF, LCMF, RCMF",DMF,46,LCMF,16,RCMF,13,,,0,,11,934,0,0.34,0,0.2,16.28,56.8,United States,['United States'],unknown,167,0,False,7.42,5.4,73.21,2.41,48.0,0.0,0.0,0.29,3.47,4.44,0.29,0,0.0,0,0.0,0.48,0.0,0,0.0,0.03,0,0.0,6,0.58,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.58,83.33,6.07,44.44,0.1,0.67,0.1,12.53,0.1,1.35,28.72,79.87,9.93,64.08,3.37,91.43,26.21,84.56,2.41,32.0,18.43,33.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,5.59,63.79,0.58,33.33,0.0,0.0,0.29,0.0,4.82,64.0,86.99,11.85,0,,0,,0,0.0,0.0,0.0,,,0.29,,2.41,0.0,0.0,0.0,0.0,0,0
H. Christensen,Hailee Christensen,-603950,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),"RCMF3, LCMF3, AMF",RCMF3,25,LCMF3,23,AMF,15,,,0,,11,924,1,1.24,1,0.5700000000000001,15.39,55.06,United States,['United States'],unknown,170,0,False,9.94,6.04,72.58,2.44,48.0,0.19,0.24,0.19,5.36,6.63,0.58,0,0.0,0,0.0,1.75,0.1,1,0.1,0.12,0,0.0,17,1.6600000000000001,35.29,5.882,0.1,0.78,37.5,0.29,66.67,0.49,20.0,0.1,1.3599999999999999,64.29,5.26,38.89,1.07,0.78,0.0,19.09,0.88,0.68,33.9,68.1,13.54,55.4,4.68,95.83,28.54,73.38,4.58,40.43,19.65,37.38,0.06,0.68,0.0,0.0,0.1,0.0,0.39,7.79,56.25,2.63,48.15,0.29,33.33,1.3599999999999999,0.49,8.67,67.42,69.67,11.88,0,,0,,0,0.0,0.0,0.0,,,0.1,,2.44,0.0,0.0,0.0,0.1,0,0
C. Arne,Carson Arne,-354626,Oral Roberts Golden Eagles,Oral Roberts Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-7518_120x120.png,NCAA D1 Summit League (W),"LDMF, DMF, RDMF",LDMF,30,DMF,22,RDMF,21,,,0,,10,913,0,0.34,1,1.52,14.88,56.29,United States,['United States'],unknown,165,0,False,10.65,7.2,73.97,2.46,44.0,0.2,0.27,0.30000000000000004,5.13,7.03,0.59,1,0.1,0,0.0,0.79,0.0,0,0.0,0.03,0,0.0,6,0.59,16.67,0.0,0.1,0.59,50.0,0.39,75.0,0.2,0.0,0.0,0.30000000000000004,66.67,3.15,37.5,0.0,0.30000000000000004,0.0,23.36,0.0,0.6900000000000001,45.25,72.33,23.46,65.55,3.75,81.58,36.87,78.34,7.98,44.44,19.54,34.38,0.15,1.48,0.0,0.0,0.2,100.0,0.1,13.31,63.7,1.28,38.46,0.49,20.0,0.39,0.30000000000000004,14.0,75.35,79.39,12.91,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.46,1.28,0.1,0.0,1.18,0,0
K. Smith,Kinsley Smith,-603436,UMKC Kangaroos,UMKC Kangaroos,https://cdn5.wyscout.com/photos/team/public/g-7963_120x120.png,NCAA D1 Summit League (W),"RCB, RCB3",RCB,83,RCB3,16,,0,19.0,2006-02-06,0,,9,905,0,0.0,0,0.0,9.15,63.04,United States,['United States'],unknown,0,0,False,7.66,4.77,66.67,2.39,58.33,0.0,0.0,0.2,4.48,5.84,0.2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,61.54,0.1,0.0,0.0,12.03,0.1,0.6000000000000001,26.15,59.32,17.1,48.26,0.8,75.0,17.01,71.35,9.15,36.96,22.78,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,44.83,0.1,0.0,0.2,0.0,0.0,0.0,9.85,36.36,80.0,5.97,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.39,0.30000000000000004,0.0,0.0,0.0,0,0
T. Thomas,Taylor Thomas,-467116,SD State Jackrabbits,SD State Jackrabbits,https://cdn5.wyscout.com/photos/team/public/g-7517_120x120.png,NCAA D1 Summit League (W),"LCB3, LCB, CB",LCB3,51,LCB,37,CB,11,,,0,,11,905,0,0.28,0,0.0,8.25,49.4,United States,['United States'],unknown,173,0,False,5.47,3.98,60.0,1.5899999999999999,62.5,0.0,0.0,0.2,3.08,4.08,0.1,0,0.0,0,0.0,0.2,0.0,0,0.0,0.03,0,0.0,2,0.2,0.0,0.0,0.0,0.4,25.0,0.4,25.0,0.0,0.0,0.0,0.2,0.0,1.8900000000000001,26.32,0.4,1.5899999999999999,0.0,23.97,0.2,0.1,42.56,72.66,23.77,61.51,2.98,86.67,37.39,77.13,4.77,41.67,20.02,30.14,0.0,0.0,0.0,0.1,0.1,100.0,0.0,7.46,52.0,1.09,18.18,0.1,100.0,0.4,0.1,12.13,63.93,85.94,12.73,0,,0,,0,0.0,0.0,0.0,,,1.69,,1.5899999999999999,0.0,0.0,0.0,0.0,0,0
