Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Handy,Jennifer Handy,-603332,ULM Warhawks,ULM Warhawks,https://cdn5.wyscout.com/photos/team/public/g-7955_120x120.png,NCAA D1 Sun Belt (W),GK,GK,100,,0,,0,,,0,,11,1186,0,0.0,0,0.0,1.37,83.33,England,['England'],unknown,175,0,False,2.2800000000000002,0.23,33.33,0.8300000000000001,90.91,0.0,0.0,0.0,2.2,2.95,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,9.11,0.15,0.30000000000000004,18.52,81.15,6.83,55.56,0.0,0.0,11.99,98.73,6.53,48.84,27.34,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,54.24,95.74,10.7,17,1.29,51,3.87,4,66.67,16.04,1.22,-0.96,-0.073,0.0,2.12,0.8300000000000001,,,,0.0,0,0
M. Grutkamp,Mara Grutkamp,464387,,ULM Warhawks,,,AMF,AMF,89,,0,,0,25.0,2000-12-11,0,,11,1180,1,0.91,3,2.74,26.01,49.27,Germany,['Germany'],,160,0,False,9.23,6.86,64.44,1.45,68.42,0.38,0.51,0.0,4.42,5.9,1.53,1,0.08,0,0.0,4.42,0.08,1,0.08,0.07,0,0.0,31,2.36,38.71,3.226,0.23,1.53,30.0,0.53,28.57,0.92,25.0,0.08,4.65,60.66,15.1,40.91,0.23,1.45,0.0,19.6,0.76,1.53,40.27,69.32,13.12,52.91,6.25,92.68,34.17,77.01,4.58,25.0,18.76,33.24,0.21,1.37,0.0,0.0,0.46,50.0,0.38,6.48,43.53,2.8200000000000003,37.84,1.75,21.74,0.61,0.38,7.25,56.84,75.42,13.65,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.45,1.1400000000000001,0.15,50.0,2.52,0,0
B. Strutton,Beth Strutton,-603364,ULM Warhawks,ULM Warhawks,https://cdn5.wyscout.com/photos/team/public/g-7955_120x120.png,NCAA D1 Sun Belt (W),LCB,LCB,85,,0,,0,,,0,,11,1176,1,0.52,0,0.0,10.26,54.48,England,['England'],unknown,170,0,False,8.42,4.52,74.58,2.6,47.06,0.38,0.51,0.61,4.67,6.25,0.6900000000000001,2,0.15,0,0.0,0.31,0.08,1,0.08,0.04,1,0.08,3,0.23,100.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,1.76,30.43,0.31,0.23,0.0,18.29,0.08,0.38,31.15,73.96,17.6,62.17,0.84,100.0,22.73,84.51,8.42,45.45,23.39,33.97,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.83,50.0,0.08,0.0,0.08,100.0,0.0,0.0,8.04,53.33,90.71,10.71,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.6,0.54,0.0,0.0,0.0,0,0
A. Kulha,Ashlynn  Kulha,-467557,Old Dominion Monarchs,Old Dominion Monarchs,https://cdn5.wyscout.com/photos/team/public/g-7795_120x120.png,NCAA D1 Sun Belt (W),"RCB, CB",RCB,46,CB,43,,0,,,0,,11,1144,1,1.44,0,0.06,16.76,66.2,United States,['United States'],unknown,180,0,False,11.8,7.71,70.41,3.93,70.0,0.39,0.58,0.55,5.98,8.8,0.63,0,0.0,0,0.0,0.47000000000000003,0.08,1,0.08,0.11,1,0.08,11,0.87,27.27,9.091,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.47000000000000003,50.0,2.75,54.29,1.42,0.16,0.0,22.34,0.47000000000000003,0.9400000000000001,42.09,78.5,19.43,66.8,1.8900000000000001,100.0,33.51,85.68,8.5,50.93,22.31,35.26,0.0,0.16,0.0,0.0,0.0,0.0,0.08,5.19,43.94,0.39,40.0,0.39,40.0,0.16,0.0,9.28,59.32,92.59,16.99,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.93,0.0,0.0,0.0,0.0,0,0
J. Foos,Jaddah Foos,-200884,,Georgia State Panthers,,,GK,GK,100,,0,,0,,,0,,11,1134,0,0.0,0,0.0,0.71,66.67,United States,['United States'],,175,0,False,2.7800000000000002,0.08,100.0,0.32,75.0,0.0,0.0,0.0,2.7,3.1,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,33.33,0.0,0.0,0.0,13.73,0.16,0.08,26.27,74.32,14.6,58.15,0.08,100.0,13.49,98.82,12.7,48.75,30.85,42.17,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.35,35.29,0.08,0.0,0.08,0.0,0.0,0.0,8.65,57.8,94.89,10.87,11,0.87,54,4.29,3,79.63,11.24,0.89,0.24,0.019,0.0,1.83,0.32,,,,0.0,0,0
S. Blaise,Skylar Blaise,-467590,ULM Warhawks,ULM Warhawks,https://cdn5.wyscout.com/photos/team/public/g-7955_120x120.png,NCAA D1 Sun Belt (W),CF,CF,90,,0,,0,23.0,2003-02-10,0,,11,1132,4,3.65,0,0.23,28.86,39.39,United States,['United States'],unknown,167,0,False,7.95,7.23,68.13,4.85,29.51,0.0,0.0,0.0,3.02,3.89,1.43,1,0.08,0,0.0,3.74,0.32,4,0.32,0.29,0,0.0,26,2.07,46.15,15.385,0.0,1.43,16.67,0.48,16.67,0.87,18.18,0.16,4.85,52.46,14.39,29.28,3.8200000000000003,2.23,0.64,10.81,2.62,1.03,17.33,66.97,3.98,46.0,4.61,91.38,15.42,73.71,0.8,30.0,15.21,19.95,0.02,0.72,0.0,0.0,0.16,0.0,0.0,1.35,47.06,1.03,23.08,0.16,0.0,0.24,0.0,1.27,37.5,60.78,4.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.85,0.0,0.0,0.0,0.0,0,0
E. Diaz,Elena Diaz,-357372,,Georgia State Panthers,,,"RCMF, RDMF, LCMF",RCMF,40,RDMF,19,LCMF,17,,,0,,11,1132,2,1.07,2,1.6,13.04,55.49,Spain,['Spain'],unknown,162,0,False,6.92,3.66,80.43,1.75,54.55,0.16,0.18,0.24,3.8200000000000003,4.38,0.16,0,0.0,0,0.0,2.31,0.16,2,0.16,0.09,0,0.0,15,1.19,40.0,13.333,0.16,0.4,20.0,0.16,0.0,0.24,33.33,0.08,2.15,77.78,6.2,43.59,1.03,0.56,0.0,18.76,0.48,0.64,37.61,77.59,11.93,55.33,7.63,94.79,32.84,82.81,4.37,43.64,18.64,31.15,0.13,0.64,0.0,0.0,0.16,50.0,0.16,4.77,55.0,1.03,46.15,0.56,42.86,0.4,0.08,6.36,47.5,87.43,13.28,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.75,0.72,0.16,0.0,2.54,0,0
A. Luckhardt,Allison Luckhardt,-201488,,South Alabama Jaguars,,,GK,GK,100,,0,,0,24.0,2001-10-29,0,,11,1126,1,0.03,0,0.0,0.32,100.0,United States,['United States'],,167,0,False,1.28,0.0,0.0,0.16,100.0,0.0,0.0,0.0,1.28,1.76,0.0,0,0.0,0,0.0,0.08,0.08,1,0.08,0.0,1,0.08,1,0.08,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,5.52,0.0,0.0,11.27,90.07,3.12,84.62,0.0,0.0,9.75,96.72,1.28,56.25,21.49,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,16.67,93.06,5.75,10,0.8,47,3.76,4,78.72,10.88,0.87,0.88,0.07,0.0,0.56,0.16,,,,0.0,0,0
A. Faddoul,Aaliyah Faddoul,-470997,Georgia State Panthers,Georgia State Panthers,https://cdn5.wyscout.com/photos/team/public/g-7957_120x120.png,NCAA D1 Sun Belt (W),"CF, AMF",CF,46,AMF,19,,0,,,0,,11,1114,6,3.85,1,1.12,25.85,47.5,Canada,['Canada'],unknown,171,0,False,6.62,5.25,76.92,1.21,20.0,0.0,0.0,0.08,2.59,2.93,0.4,1,0.08,0,0.0,5.49,0.48,5,0.4,0.31,0,0.0,22,1.78,50.0,27.273,0.08,3.8,21.28,1.7000000000000002,28.57,2.02,16.0,0.4,6.79,53.57,16.56,41.46,2.67,3.31,0.4,16.56,2.5,1.7000000000000002,25.93,69.47,5.66,62.86,5.74,87.32,20.84,81.01,2.02,24.0,20.64,40.42,0.09,0.89,0.0,0.08,0.24,66.67,0.32,3.47,53.49,2.42,36.67,0.48,50.0,0.5700000000000001,0.73,4.2,71.15,69.49,9.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.21,0.0,0.0,0.0,0.0,1,100
C. Maughon,Callee Maughon,-200864,,Georgia State Panthers,,,LB,LB,90,,0,,0,,,0,,11,1102,0,0.11,0,0.03,10.86,61.65,United States,['United States'],,157,0,False,8.33,5.39,71.21,1.23,60.0,0.74,0.8300000000000001,0.16,3.76,4.26,0.16,0,0.0,0,0.0,0.5700000000000001,0.0,0,0.0,0.01,0,0.0,1,0.08,0.0,0.0,0.0,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0.8200000000000001,70.0,2.7,63.64,0.08,0.49,0.0,18.54,0.16,1.31,31.93,75.45,14.95,64.48,5.06,98.39,27.36,82.69,4.08,36.0,18.16,29.99,0.0,0.25,0.08,0.0,0.0,0.0,0.0,4.49,70.91,0.9,36.36,0.0,0.0,0.25,0.0,7.02,47.67,83.96,8.66,0,,0,,0,0.0,0.0,0.0,,,0.74,,1.23,0.0,0.0,0.0,0.0,0,0
