Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Hills,Sophia Hills,-471785,Portland Pilots,Portland Pilots,https://cdn5.wyscout.com/photos/team/public/g-7529_120x120.png,NCAA D1 West Coast (W),GK,GK,100,,0,,0,,,0,,11,1137,0,0.0,0,0.0,0.4,100.0,United States,['United States'],unknown,175,0,False,1.03,0.0,0.0,0.08,100.0,0.0,0.0,0.0,1.03,1.57,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,1.82,0.0,0.24,7.12,63.33,5.54,57.14,0.0,0.0,1.74,100.0,5.38,51.47,38.67,44.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,64.44,85.0,1.58,6,0.47000000000000003,41,3.25,7,85.37,11.09,0.88,5.09,0.403,0.0,0.4,0.08,,,,0.0,0,0
V. Rademacher,Violet Rademacher,-356372,Portland Pilots,Portland Pilots,https://cdn5.wyscout.com/photos/team/public/g-7529_120x120.png,NCAA D1 West Coast (W),"LCB3, CB, RCB",LCB3,36,CB,23,RCB,15,22.0,2004-04-10,0,,11,1137,5,3.33,0,0.51,13.54,59.65,United States,['United States'],,173,0,False,7.92,5.86,66.22,3.48,68.18,0.16,0.24,0.71,3.88,5.93,0.63,1,0.08,0,0.0,1.03,0.4,1,0.08,0.26,1,0.08,9,0.71,55.56,55.556,0.0,0.9500000000000001,50.0,0.4,60.0,0.55,42.86,0.16,0.47000000000000003,33.33,2.61,42.42,0.63,0.87,0.0,26.28,0.4,0.79,42.66,77.18,23.35,68.47,1.42,100.0,33.72,84.51,8.07,49.02,21.14,34.2,0.04,0.16,0.0,0.0,0.0,0.0,0.08,6.33,68.75,1.11,42.86,0.08,0.0,0.0,0.47000000000000003,13.61,66.86,89.67,14.56,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.48,0.32,0.0,0.0,0.08,4,100
A. Watts,Alena Watts,-468061,Washington State Cougars,Washington State Cougars,https://cdn5.wyscout.com/photos/team/public/g-7883_120x120.png,NCAA D1 West Coast (W),"LB, RB",LB,82,RB,17,,0,,,0,,11,1132,0,1.5899999999999999,0,0.87,26.71,61.9,United States,['United States'],unknown,0,0,False,13.91,12.16,69.28,1.5899999999999999,75.0,0.32,0.46,0.24,5.17,7.47,1.5899999999999999,3,0.24,0,0.0,2.23,0.0,0,0.0,0.13,0,0.0,23,1.83,17.39,0.0,0.0,1.9100000000000001,20.83,1.67,19.05,0.16,50.0,0.24,2.31,62.07,9.94,53.6,0.64,3.1,0.16,13.2,0.24,1.27,29.1,69.95,16.14,65.52,2.62,84.85,22.18,79.93,5.01,44.44,18.54,29.18,0.07,0.56,0.0,0.0,0.16,50.0,0.16,6.12,64.94,2.23,32.14,0.56,28.57,0.48,0.4,8.59,71.3,71.95,6.52,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.5899999999999999,0.56,0.0,0.0,0.08,1,0
Maggie Mace,Margot Mace,-364697,Fort Lauderdale,Washington State Cougars,https://cdn5.wyscout.com/photos/team/public/g-21033_120x120.png,USL Super League,"RCB, LCB, LDMF",RCB,65,LCB,20,LDMF,11,22.0,2004-01-07,0,,11,1132,1,1.99,0,0.17,11.05,58.99,United States,['United States'],unknown,170,0,False,8.9,5.57,64.29,2.39,63.33,0.0,0.0,0.87,5.33,7.7,0.56,0,0.0,0,0.0,0.4,0.08,0,0.0,0.16,0,0.0,9,0.72,44.44,11.111,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.24,33.33,1.5899999999999999,30.0,0.56,0.32,0.0,11.05,0.08,0.72,24.49,75.0,12.56,67.09,2.39,100.0,17.57,82.35,6.84,56.98,22.18,33.56,0.01,0.4,0.0,0.0,0.0,0.0,0.16,4.85,68.85,0.4,60.0,0.24,66.67,0.16,0.0,7.55,60.0,84.54,7.71,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.39,0.8,0.0,0.0,0.0,2,50
M. Sanchez,Mya  Sanchez,-359736,Shelbourne,Oregon State Beavers,https://cdn5.wyscout.com/photos/team/public/g34391_120x120.png,Women's Premier League,GK,GK,100,,0,,0,21.0,2004-09-29,0,,11,1131,0,0.0,0,0.24,0.8,80.0,United States,['United States'],,178,0,False,2.47,0.08,0.0,0.48,100.0,0.0,0.0,0.0,2.47,3.55,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,14.48,0.16,0.16,24.91,83.07,13.05,70.12,0.08,100.0,13.37,97.62,11.54,66.21,31.38,40.31,0.02,0.08,0.0,0.0,0.0,0.0,0.0,1.03,53.85,0.0,0.0,0.0,0.0,0.0,0.0,7.4,64.52,97.04,10.74,28,2.23,86,6.84,1,67.44,27.85,2.22,-0.15,-0.012,0.0,1.43,0.48,,,,0.0,0,0
M. Kluksdal,Maizy Kluksdal,-736170,Washington State Cougars,Washington State Cougars,https://cdn5.wyscout.com/photos/team/public/g-7883_120x120.png,NCAA D1 West Coast (W),"RDMF, DMF, RB",RDMF,32,DMF,17,RB,15,,,0,,11,1128,0,1.67,0,0.22,21.22,59.77,United States,['United States'],unknown,175,0,False,13.16,10.77,65.93,5.35,52.24,0.8,1.15,0.4,5.27,7.59,2.15,2,0.16,0,0.0,0.72,0.0,0,0.0,0.13,0,0.0,13,1.04,46.15,0.0,0.0,0.48,16.67,0.08,0.0,0.4,20.0,0.16,0.4,40.0,2.55,37.5,0.4,0.56,0.0,15.0,0.48,0.96,33.03,71.26,14.76,62.16,3.67,84.78,29.28,75.48,3.27,41.46,17.79,33.54,0.02,0.4,0.0,0.0,0.0,0.0,0.08,6.78,60.0,1.12,28.57,0.48,16.67,0.24,0.16,6.7,58.33,81.06,10.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.35,0.0,0.0,0.0,0.0,1,0
A. Dockter,Aliyah Dockter,-325332,Portland Pilots,Portland Pilots,https://cdn5.wyscout.com/photos/team/public/g-7529_120x120.png,NCAA D1 West Coast (W),"LCMF, RCMF, DMF",LCMF,24,RCMF,22,DMF,14,21.0,2004-09-19,0,,11,1122,1,0.71,0,0.47000000000000003,16.93,48.82,United States,['United States'],unknown,175,0,False,7.94,5.94,62.16,4.09,43.14,0.0,0.0,0.24,4.25,6.41,1.28,0,0.0,0,0.0,1.28,0.08,1,0.08,0.06,0,0.0,15,1.2,40.0,6.667,0.0,0.72,44.44,0.32,50.0,0.4,40.0,0.0,0.72,55.56,4.33,35.19,0.48,1.6,0.08,29.84,0.4,0.88,47.17,75.68,19.33,60.58,5.86,91.78,41.23,80.16,5.29,45.45,17.67,28.32,0.04,0.56,0.0,0.0,0.08,100.0,0.0,9.63,57.5,2.41,36.67,0.48,66.67,0.8,0.32,8.66,70.37,87.18,15.64,0,,0,,0,0.0,0.0,0.0,,,0.08,,4.09,0.0,0.0,0.0,0.0,0,0
M. Turi,Megin  Turi,-359752,Oregon State Beavers,Oregon State Beavers,https://cdn5.wyscout.com/photos/team/public/g-7886_120x120.png,NCAA D1 West Coast (W),RCB3,RCB3,82,,0,,0,,,0,,11,1122,0,0.0,0,0.02,15.4,55.73,United States,['United States'],,173,0,False,10.27,10.43,63.85,1.04,38.46,0.48,0.6900000000000001,0.4,3.13,4.47,1.12,2,0.16,0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.56,57.14,1.9300000000000002,37.5,0.0,0.8,0.08,19.17,0.88,0.4,30.88,74.29,16.28,63.55,2.9699999999999998,86.49,25.75,81.62,5.05,36.51,20.44,36.45,0.0,0.08,0.0,0.08,0.0,0.0,0.0,5.13,50.0,0.88,27.27,0.16,50.0,0.16,0.08,6.9,63.95,92.52,8.58,0,,0,,0,0.0,0.0,0.0,,,1.28,,1.04,0.0,0.0,0.0,0.0,0,0
K. Kirgan,Kassidy Kirgan,-467506,Seattle Redhawks,Seattle Redhawks,https://cdn5.wyscout.com/photos/team/public/g-7961_120x120.png,NCAA D1 West Coast (W),GK,GK,100,,0,,0,,,0,,11,1121,0,0.0,0,0.0,1.3599999999999999,82.35,United States,['United States'],unknown,170,0,False,2.01,0.08,0.0,0.96,83.33,0.0,0.0,0.0,2.01,2.7,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.24,0.0,0.0,7.15,0.0,0.32,16.54,74.27,8.99,56.25,0.0,0.0,8.75,96.33,7.79,49.48,31.69,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,56.34,97.26,5.86,18,1.45,53,4.26,2,66.04,15.71,1.26,-2.29,-0.184,0.0,1.85,0.96,,,,0.0,0,0
D. Lunceford,Danica Lunceford,-603174,Iowa State Cyclones,San Francisco Dons,https://cdn5.wyscout.com/photos/team/public/g-7718_120x120.png,NCAA D1 Big 12 (W),"CB, LCB",CB,84,LCB,11,,0,,,0,,11,1103,0,0.39,0,0.03,10.44,64.06,United States,['United States'],unknown,178,0,False,9.71,6.12,72.0,2.2800000000000002,57.14,0.16,0.23,0.65,5.14,7.21,0.73,3,0.24,0,0.0,0.16,0.0,0,0.0,0.03,0,0.0,3,0.24,66.67,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,1.3900000000000001,29.41,0.24,0.33,0.0,21.38,0.0,0.65,39.41,73.29,21.21,56.15,2.61,93.75,27.5,86.94,11.83,42.07,25.13,39.93,0.0,0.08,0.0,0.0,0.08,0.0,0.0,6.61,40.74,0.98,25.0,0.8200000000000001,20.0,0.41000000000000003,0.0,10.28,53.97,92.81,13.63,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.2800000000000002,0.98,0.16,100.0,0.0,0,0
