Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Westlund,Ava Westlund,-467538,California Baptist Lancers,California Baptist Lancers,https://cdn5.wyscout.com/photos/team/public/g-12198_120x120.png,NCAA D1 Western Athletic (W),CF,CF,90,,0,,0,,,0,,12,1148,6,5.04,1,1.8,25.56,34.05,United States,['United States'],unknown,173,0,False,3.37,3.61,50.0,5.1,36.92,0.0,0.0,0.0,1.57,2.0,2.27,2,0.16,0,0.0,3.92,0.47000000000000003,6,0.47000000000000003,0.39,2,0.16,37,2.9,48.65,16.216,0.08,1.72,22.73,1.02,23.08,0.71,22.22,0.16,3.14,60.0,14.19,32.6,3.92,1.8,0.24,15.91,3.84,1.1,23.68,74.17,4.47,57.89,6.51,87.95,21.64,78.62,0.47000000000000003,50.0,13.66,9.48,0.14,1.33,0.16,0.0,0.24,100.0,0.55,1.88,62.5,2.43,41.94,0.31,75.0,1.33,0.39,2.59,81.82,71.62,5.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.1,0.0,0.0,0.0,0.16,0,0
B. Frey,Brianna  Frey,-356311,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13435_120x120.png,NCAA D1 Western Athletic (W),GK,GK,100,,0,,0,,,0,,11,1142,0,0.0,0,0.0,0.55,28.57,United States,['United States'],unknown,0,0,False,1.34,0.24,0.0,0.16,100.0,0.08,0.1,0.0,1.26,1.6800000000000002,0.08,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,20.18,82.03,12.06,77.78,0.08,0.0,10.17,94.57,10.01,69.29,33.46,43.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,37.5,0.0,0.0,0.0,0.0,0.0,0.0,7.57,63.54,88.3,7.41,19,1.5,57,4.49,2,66.67,18.59,1.46,-0.41000000000000003,-0.032,0.0,0.87,0.16,,,,0.0,0,0
M. Rodriguez,Michelle Rodriguez,-462695,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13435_120x120.png,NCAA D1 Western Athletic (W),LCB,LCB,98,,0,,0,,,0,,11,1121,0,0.29,0,0.0,10.2,57.48,United States,['United States'],unknown,0,0,False,7.31,4.82,71.67,1.9300000000000002,50.0,0.4,0.54,1.28,3.45,4.61,0.32,1,0.08,0,0.0,0.4,0.0,0,0.0,0.02,0,0.0,4,0.32,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,2.25,46.43,0.4,0.32,0.0,25.53,0.08,0.64,36.53,81.32,18.71,72.1,2.65,100.0,29.95,87.67,6.58,52.44,20.8,33.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,45.16,0.32,0.0,0.08,0.0,0.0,0.0,7.71,48.96,95.33,12.04,0,,0,,0,0.0,0.0,0.0,,,2.49,,1.9300000000000002,0.0,0.0,0.0,0.08,0,0
K. Marsh,Katrina Marsh,-603440,California Baptist Lancers,California Baptist Lancers,https://cdn5.wyscout.com/photos/team/public/g-12198_120x120.png,NCAA D1 Western Athletic (W),"RDMF, LDMF, LCMF",RDMF,52,LDMF,18,LCMF,10,,,0,,12,1115,0,0.13,0,0.04,14.85,63.59,United States,['United States'],unknown,170,0,False,9.77,8.15,75.25,1.6099999999999999,60.0,0.0,0.0,0.08,3.63,4.75,1.21,1,0.08,0,0.0,0.5700000000000001,0.0,0,0.0,0.01,0,0.0,7,0.5700000000000001,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,50.0,3.55,40.91,0.24,0.81,0.08,12.67,0.32,0.24,26.88,74.47,9.77,51.24,5.89,93.15,23.73,80.61,3.15,28.21,19.57,39.17,0.0,0.16,0.08,0.0,0.0,0.0,0.0,4.68,60.34,0.48,16.67,0.4,0.0,0.08,0.0,4.6,52.63,83.5,8.31,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0
S. Allen,Summer Allen,-360256,California Baptist Lancers,California Baptist Lancers,https://cdn5.wyscout.com/photos/team/public/g-12198_120x120.png,NCAA D1 Western Athletic (W),"RB, RCB3",RB,83,RCB3,14,,0,,,0,,11,1101,0,0.52,0,0.08,21.25,53.08,United States,['United States'],unknown,165,0,False,15.04,13.0,64.15,1.88,56.52,0.33,0.42,0.49,6.38,8.27,2.29,1,0.08,0,0.0,0.5700000000000001,0.0,0,0.0,0.04,0,0.0,4,0.33,25.0,0.0,0.0,0.98,16.67,0.0,0.0,0.98,16.67,0.16,0.49,66.67,3.43,21.43,0.49,0.9,0.08,12.67,0.33,0.33,26.4,66.87,12.34,60.93,4.5,85.45,22.64,71.48,2.86,48.57,19.62,32.18,0.01,0.25,0.0,0.0,0.0,0.0,0.0,4.33,60.38,1.47,27.78,0.16,50.0,0.33,0.08,7.03,60.47,67.57,6.05,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.88,0.0,0.0,0.0,0.0,0,0
K. Le,Kyah Le,-356373,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13435_120x120.png,NCAA D1 Western Athletic (W),"LCMF, LCMF3, RCMF",LCMF,28,LCMF3,21,RCMF,20,,,0,,11,1090,3,0.76,2,1.24,11.89,49.31,United States,['United States'],unknown,160,0,False,6.44,4.13,84.0,1.57,31.58,0.58,0.74,0.25,2.39,3.07,0.08,1,0.08,0,0.0,1.07,0.25,3,0.25,0.06,0,0.0,10,0.8300000000000001,80.0,30.0,0.17,0.25,33.33,0.17,50.0,0.08,0.0,0.08,0.58,57.14,4.62,30.36,0.41000000000000003,0.5,0.08,28.16,1.32,0.91,42.11,83.73,9.08,65.45,10.9,92.42,40.13,86.21,1.73,33.33,16.27,29.22,0.1,1.49,0.0,0.0,0.0,0.0,0.17,3.8,58.7,0.74,55.56,0.0,0.0,0.08,0.08,4.13,50.0,87.5,14.53,0,,0,,0,0.0,0.0,0.0,,,0.33,,1.57,0.33,0.08,100.0,2.15,0,0
G. Kelly,Gracie  Kelly,-602048,Abilene Christian  Wildcats,Abilene Christian  Wildcats,https://cdn5.wyscout.com/photos/team/public/g-7924_120x120.png,NCAA D1 Western Athletic (W),RCB,RCB,99,,0,,0,,,0,,11,1086,0,1.53,0,0.34,9.12,58.18,United States,['United States'],unknown,165,0,False,9.61,5.97,58.33,1.82,63.64,0.0,0.0,1.57,6.13,6.51,0.17,0,0.0,0,0.0,0.25,0.0,0,0.0,0.13,0,0.0,10,0.8300000000000001,20.0,0.0,0.0,0.25,0.0,0.08,0.0,0.17,0.0,0.0,0.08,100.0,0.58,42.86,0.99,0.08,0.08,12.02,0.0,0.17,27.18,68.6,15.33,58.92,1.16,100.0,18.98,80.79,8.04,41.24,21.76,32.65,0.03,0.17,0.0,0.0,0.0,0.0,0.08,2.73,36.36,0.33,25.0,0.17,100.0,0.25,0.0,7.71,33.33,79.41,8.45,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.82,0.58,0.0,0.0,0.0,0,0
M. O'Brien,Mikayla  O'Brien,-360254,California Baptist Lancers,California Baptist Lancers,https://cdn5.wyscout.com/photos/team/public/g-12198_120x120.png,NCAA D1 Western Athletic (W),GK,GK,100,,0,,0,,,0,,11,1072,0,0.0,0,0.0,1.18,85.71,United States,['United States'],unknown,178,0,False,2.01,0.08,100.0,0.92,90.91,0.0,0.0,0.0,1.9300000000000002,2.61,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66,0.17,0.25,19.39,80.95,9.99,68.07,0.0,0.0,12.09,98.61,7.3,51.72,30.55,45.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,57.14,94.85,8.14,13,1.09,52,4.37,3,75.0,14.69,1.23,1.69,0.14200000000000002,0.0,2.43,0.92,,,,0.0,0,0
M. Holloman,McCarly  Holloman,-356208,,Abilene Christian  Wildcats,,,"RB, LB",RB,62,LB,29,,0,21.0,2004-07-08,0,,11,1065,0,0.01,0,0.06,19.94,53.81,United States,['United States'],unknown,170,0,False,15.63,12.0,60.56,1.27,33.33,0.76,0.81,0.68,7.61,8.08,1.1,1,0.08,0,0.0,1.01,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.76,44.44,0.17,50.0,0.59,42.86,0.17,1.27,53.33,4.9,43.1,0.0,1.8599999999999999,0.08,17.07,0.25,1.27,34.82,69.66,19.44,61.3,2.62,100.0,30.0,73.8,4.06,43.75,17.42,30.86,0.01,0.25,0.08,0.0,0.0,0.0,0.0,5.58,56.06,0.85,50.0,0.0,0.0,0.08,0.51,9.55,52.21,81.61,7.35,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.27,0.0,0.0,0.0,0.0,0,0
B. Simon,Baylie Simon,-467762,Abilene Christian  Wildcats,Abilene Christian  Wildcats,https://cdn5.wyscout.com/photos/team/public/g-7924_120x120.png,NCAA D1 Western Athletic (W),"DMF, RDMF, LDMF",DMF,66,RDMF,17,LDMF,10,,,0,,11,1035,1,0.93,0,2.1,8.61,55.56,United States,['United States'],unknown,162,0,False,6.43,3.5700000000000003,70.73,1.22,28.57,0.09,0.09,0.17,3.83,4.01,0.26,0,0.0,0,0.0,0.96,0.09,0,0.0,0.08,0,0.0,4,0.35000000000000003,25.0,25.0,0.0,0.78,33.33,0.09,0.0,0.7000000000000001,37.5,0.17,0.87,70.0,2.61,36.67,0.0,0.61,0.17,18.78,0.17,0.26,36.43,79.24,12.61,71.72,4.43,94.12,32.26,84.37,3.39,41.03,18.01,30.81,0.18,1.13,0.09,0.09,0.0,0.0,0.17,3.5700000000000003,70.73,1.04,25.0,0.09,0.0,0.0,0.26,6.61,50.0,81.46,15.48,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.22,0.87,0.09,0.0,2.43,1,100
L. Wolf,Leah Wolf,-356209,Utah Valley Wolverines,Utah Valley Wolverines,https://cdn5.wyscout.com/photos/team/public/g-7962_120x120.png,NCAA D1 Western Athletic (W),GK,GK,100,,0,,0,21.0,2004-10-18,0,,11,1020,0,0.0,0,0.0,0.53,83.33,United States,['United States'],unknown,170,0,False,2.03,0.0,0.0,0.44,80.0,0.0,0.0,0.0,2.03,3.59,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,0.35000000000000003,0.09,19.41,93.18,6.88,85.9,0.0,0.0,16.59,97.87,2.74,67.74,23.61,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4100000000000001,62.5,97.62,11.12,8,0.71,31,2.74,2,74.19,8.15,0.72,0.15,0.013000000000000001,0.0,0.44,0.44,,,,0.0,0,0
K. Shirts,Kate Shirts,-600343,Utah Valley Wolverines,Utah Valley Wolverines,https://cdn5.wyscout.com/photos/team/public/g-7962_120x120.png,NCAA D1 Western Athletic (W),"LDMF, DMF, RDMF",LDMF,40,DMF,23,RDMF,10,19.0,2006-08-11,0,,11,1004,1,1.79,0,0.35000000000000003,7.44,61.45,United States,['United States'],unknown,171,0,False,6.19,3.23,69.44,2.42,66.67,0.09,0.15,0.09,3.85,6.58,0.45,0,0.0,0,0.0,0.63,0.09,1,0.09,0.16,1,0.09,16,1.43,18.75,6.25,0.0,0.27,66.67,0.09,100.0,0.18,50.0,0.09,0.18,100.0,1.08,50.0,1.08,0.54,0.09,28.06,0.27,0.27,43.83,83.64,15.15,68.05,4.57,96.08,38.01,88.92,5.5600000000000005,48.39,19.45,36.39,0.03,0.54,0.09,0.18,0.0,0.0,0.09,9.32,63.46,1.08,33.33,0.18,0.0,0.36,0.18,7.8,74.71,90.95,18.82,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.42,0.45,0.0,0.0,0.0,0,0
M. Owens,Mia Owens,-462789,Utah Valley Wolverines,Utah Valley Wolverines,https://cdn5.wyscout.com/photos/team/public/g-7962_120x120.png,NCAA D1 Western Athletic (W),LCB,LCB,100,,0,,0,21.0,2005-01-27,0,,11,999,1,1.3900000000000001,2,1.0,10.27,61.4,United States,['United States'],unknown,172,0,False,6.04,3.7800000000000002,76.19,1.35,53.33,0.0,0.0,0.09,3.15,5.38,0.54,1,0.09,0,0.0,1.62,0.09,1,0.09,0.13,0,0.0,7,0.63,57.14,14.286,0.18,0.81,44.44,0.81,44.44,0.0,0.0,0.09,1.08,75.0,4.05,53.33,1.8,7.12,0.81,40.27,0.45,0.27,60.27,80.27,25.14,67.38,2.7,90.0,51.26,87.7,8.29,36.96,20.63,35.58,0.09,0.54,0.0,0.0,0.09,100.0,0.18,8.47,57.45,1.26,64.29,0.09,100.0,0.9,0.45,10.63,66.1,91.64,25.86,0,,0,,0,0.0,0.0,0.0,,,1.17,,1.35,0.0,0.0,0.0,0.0,0,0
K. Flanagan,Kaitlyn Flanagan,-356405,Tarleton Texans,Tarleton Texans,https://cdn5.wyscout.com/photos/team/public/g-16568_120x120.png,NCAA D1 Western Athletic (W),LCB,LCB,90,,0,,0,,,0,,10,976,0,0.12,0,0.0,13.37,55.86,United States,['United States'],,178,0,False,11.25,8.39,63.74,2.31,44.0,0.0,0.0,0.65,5.9,7.14,0.37,0,0.0,0,0.0,0.09,0.0,0,0.0,0.01,0,0.0,1,0.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,43.75,0.09,0.28,0.0,5.44,0.09,0.46,23.51,61.18,14.94,54.94,1.75,89.47,16.14,67.43,7.38,47.5,22.08,31.77,0.0,0.0,0.0,0.09,0.0,0.0,0.0,4.52,55.1,0.18,50.0,0.18,50.0,0.18,0.0,9.96,45.37,77.08,4.43,0,,0,,0,0.0,0.0,0.0,,,0.92,,2.31,0.0,0.0,0.0,0.0,0,0
T. Nelson,Taylor Nelson,-736127,Utah Valley Wolverines,Utah Valley Wolverines,https://cdn5.wyscout.com/photos/team/public/g-7962_120x120.png,NCAA D1 Western Athletic (W),"RCB, LB",RCB,58,LB,29,,0,,,0,,11,969,1,0.48,1,0.56,8.08,57.47,United States,['United States'],unknown,160,0,False,5.11,4.46,62.5,1.21,76.92,0.09,0.16,0.28,2.23,3.77,0.74,1,0.09,0,0.0,0.84,0.09,1,0.09,0.04,0,0.0,4,0.37,50.0,25.0,0.09,1.3900000000000001,33.33,1.02,36.36,0.37,25.0,0.46,0.28,66.67,1.8599999999999999,40.0,1.21,2.9699999999999998,0.09,35.11,1.67,0.28,49.6,85.39,21.73,78.21,4.55,97.96,43.56,90.62,4.64,52.0,17.49,31.65,0.05,0.56,0.09,0.0,0.0,0.0,0.19,6.97,66.67,1.67,38.89,0.19,50.0,0.56,0.46,7.62,84.15,90.66,16.9,0,,0,,0,0.0,0.0,0.0,,,0.74,,1.21,0.0,0.0,0.0,0.09,0,0
T. Nelson,Taylor Nelson,-223706,,Utah Valley Wolverines,,,"RCB, LB",RCB,58,LB,29,,0,,,0,,11,969,1,0.48,1,0.56,8.08,57.47,United States,['United States'],,160,0,False,5.11,4.46,62.5,1.21,76.92,0.09,0.16,0.28,2.23,3.77,0.74,1,0.09,0,0.0,0.84,0.09,1,0.09,0.04,0,0.0,4,0.37,50.0,25.0,0.09,1.3900000000000001,33.33,1.02,36.36,0.37,25.0,0.46,0.28,66.67,1.8599999999999999,40.0,1.21,2.9699999999999998,0.09,35.11,1.67,0.28,49.6,85.39,21.73,78.21,4.55,97.96,43.56,90.62,4.64,52.0,17.49,31.65,0.05,0.56,0.09,0.0,0.0,0.0,0.19,6.97,66.67,1.67,38.89,0.19,50.0,0.56,0.46,7.62,84.15,90.66,16.9,0,,0,,0,0.0,0.0,0.0,,,0.74,,1.21,0.0,0.0,0.0,0.09,0,0
H. Vetromile,Hannah  Vetromile,-356242,,Abilene Christian  Wildcats,,,"LB, RB",LB,80,RB,16,,0,21.0,2004-07-29,0,,11,961,1,0.92,0,0.16,19.85,49.06,United States,['United States'],unknown,160,0,False,11.24,11.71,52.8,1.22,23.08,0.19,0.19,0.19,4.87,4.98,0.19,0,0.0,0,0.0,3.18,0.09,1,0.09,0.09,0,0.0,7,0.66,57.14,14.286,0.0,1.78,36.84,1.4,26.67,0.37,75.0,0.09,3.56,60.53,6.09,49.23,0.56,3.37,0.47000000000000003,13.58,0.47000000000000003,0.56,26.22,55.71,15.83,49.11,0.84,77.78,20.51,61.64,4.03,32.56,18.71,28.35,0.01,0.47000000000000003,0.0,0.0,0.0,0.0,0.09,3.09,39.39,1.5899999999999999,41.18,0.09,100.0,0.19,0.84,9.08,42.27,74.19,5.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.22,0.0,0.0,0.0,0.0,0,0
T. Held,Taylor  Held,-360265,California Baptist Lancers,California Baptist Lancers,https://cdn5.wyscout.com/photos/team/public/g-12198_120x120.png,NCAA D1 Western Athletic (W),"RCB, LCB, LCB3",RCB,50,LCB,33,LCB3,10,,,0,,12,960,2,1.67,1,0.08,9.66,71.84,United States,['United States'],unknown,170,0,False,7.97,4.97,83.02,2.16,56.52,0.0,0.0,0.19,3.84,4.52,0.09,0,0.0,0,0.0,0.66,0.19,2,0.19,0.16,1,0.09,5,0.47000000000000003,60.0,40.0,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.38,100.0,1.69,61.11,0.56,0.9400000000000001,0.0,22.41,0.0,0.38,40.69,73.04,21.47,57.21,2.7199999999999998,96.55,28.31,85.76,12.28,44.27,23.91,35.35,0.01,0.38,0.0,0.0,0.0,0.0,0.19,9.94,47.17,0.75,25.0,0.47000000000000003,20.0,0.38,0.0,11.16,68.07,89.33,14.06,0,,0,,0,0.0,0.0,0.0,,,2.16,,2.16,0.19,0.0,0.0,0.0,0,0
A. Talaeai,Ava Talaeai,-737392,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13435_120x120.png,NCAA D1 Western Athletic (W),RCB,RCB,96,,0,,0,,,0,,10,956,0,0.23,0,0.0,11.3,67.5,United States,['United States'],,0,0,False,8.47,5.55,74.58,2.45,69.23,0.28,0.35000000000000003,0.66,4.05,5.08,0.28,2,0.19,0,0.0,0.09,0.0,0,0.0,0.02,0,0.0,3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.0,1.98,47.62,0.47000000000000003,0.66,0.0,22.59,0.19,0.66,37.37,81.11,19.58,72.12,1.98,100.0,32.76,87.93,4.61,32.65,19.55,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,41.94,0.19,0.0,0.28,0.0,0.0,0.0,7.06,45.33,90.7,12.14,0,,0,,0,0.0,0.0,0.0,,,1.6,,2.45,0.19,0.0,0.0,0.0,0,0
B. Medrano,Bella Medrano,-736096,Abilene Christian  Wildcats,Abilene Christian  Wildcats,https://cdn5.wyscout.com/photos/team/public/g-7924_120x120.png,NCAA D1 Western Athletic (W),GK,GK,100,,0,,0,,,0,,10,930,0,0.0,0,0.0,1.35,100.0,United States,['United States'],unknown,180,0,False,2.81,0.1,100.0,0.87,100.0,0.0,0.0,0.0,2.71,2.8200000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,3.58,0.0,0.58,13.45,77.7,7.74,63.75,0.0,0.0,8.23,94.12,5.23,51.85,30.85,40.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,56.0,98.08,5.03,25,2.42,96,9.29,0,73.96,29.91,2.89,4.91,0.47500000000000003,0.0,2.23,0.87,,,,0.0,0,0
L. Nelson,Lexi  Nelson,-603381,Utah Tech Trailblazers,Utah Tech Trailblazers,https://cdn5.wyscout.com/photos/team/public/g-13435_120x120.png,NCAA D1 Western Athletic (W),DMF,DMF,81,,0,,0,,,0,,11,928,1,0.71,0,0.02,17.75,59.56,United States,['United States'],unknown,165,0,False,10.77,7.37,72.37,2.81,72.41,0.58,0.66,0.58,4.85,5.51,0.87,2,0.19,0,0.0,0.87,0.1,1,0.1,0.07,1,0.1,4,0.39,50.0,25.0,0.0,0.19,100.0,0.0,0.0,0.19,100.0,0.1,0.68,71.43,5.63,41.38,0.58,0.48,0.0,19.69,0.1,1.65,35.11,84.25,8.05,66.27,5.14,94.34,32.39,85.93,2.52,61.54,18.85,27.16,0.0,0.1,0.1,0.0,0.0,0.0,0.0,3.3,67.65,0.1,100.0,0.0,0.0,0.0,0.1,4.95,49.02,91.48,17.07,0,,0,,0,0.0,0.0,0.0,,,0.58,,2.81,0.0,0.0,0.0,0.0,0,0
