Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Wood,Isabelle Wood,-821727,The Gap,The Gap,https://cdn5.wyscout.com/photos/team/public/g33003_120x120.png,Queensland FQPL 1 Women,CF,CF,87,,0,,0,24.0,2002-02-05,0,,12,1154,18,11.9,2,1.19,32.29,46.38,Australia,['Australia'],unknown,0,0,False,6.24,6.63,60.0,2.81,58.33,0.08,0.11,0.31,2.18,3.22,1.09,0,0.0,0,0.0,9.12,1.4,16,1.25,0.93,0,0.0,91,7.1,45.05,19.78,0.16,1.25,25.0,0.31,0.0,0.9400000000000001,33.33,0.08,8.5,63.3,20.51,40.3,6.47,2.65,0.47000000000000003,18.56,3.67,0.9400000000000001,28.7,72.55,7.72,50.51,7.33,91.49,25.11,77.95,2.34,40.0,18.3,24.9,0.09,1.79,0.08,0.0,0.23,100.0,0.9400000000000001,3.59,52.17,2.81,38.89,0.55,42.86,1.25,0.31,3.9,64.0,74.55,8.58,0,,0,,0,0.0,0.0,0.0,,,0.23,,2.81,0.08,0.08,0.0,0.0,2,100.0
F. Crooks,Freya Crooks,-696325,The Gap,The Gap,https://cdn5.wyscout.com/photos/team/public/g33003_120x120.png,Queensland FQPL 1 Women,GK,GK,100,,0,,0,19.0,2007-01-15,0,,12,1154,0,0.06,0,0.0,0.55,57.14,Australia,['Australia'],unknown,0,0,False,2.11,0.23,66.67,0.0,0.0,0.0,0.0,0.0,1.9500000000000002,2.87,0.0,0,0.0,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,15.52,0.39,0.0,28.62,87.47,10.76,73.91,0.0,0.0,20.59,97.35,7.88,63.37,24.76,36.33,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,45.07,96.14,16.14,31,2.42,127,9.9,0,75.59,32.73,2.55,1.73,0.135,0.0,0.62,0.0,,,,0.0,0,0.0
T. Morris,Taylor  Morris,-727460,Logan Lightning,Logan Lightning,https://cdn5.wyscout.com/photos/team/public/g33719_120x120.png,Queensland FQPL 1 Women,"CB, RCB",CB,51,RCB,43,,0,23.0,2002-11-14,0,,12,1152,0,0.76,0,0.0,18.52,67.09,United States,['United States'],unknown,170,0,False,17.5,9.77,78.4,2.19,71.43,0.08,0.1,0.47000000000000003,9.77,12.06,0.31,0,0.0,0,0.0,1.02,0.0,0,0.0,0.06,0,0.0,6,0.47000000000000003,50.0,0.0,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,1.09,64.29,4.77,44.26,0.39,1.56,0.31,17.58,0.08,1.02,46.02,72.5,25.08,63.24,3.59,95.65,35.55,80.0,10.39,46.62,21.92,34.07,0.0,0.0,0.0,0.08,0.08,0.0,0.0,4.84,50.0,0.63,12.5,0.47000000000000003,16.67,0.08,0.08,12.73,47.24,83.91,13.59,0,,0,,0,0.0,0.0,0.0,,,2.9699999999999998,,2.19,0.23,0.08,100.0,0.0,0,0.0
L. Holt,Lucy Holt,-409818,Mitchelton,Mitchelton,https://cdn5.wyscout.com/photos/team/public/g33658_120x120.png,Queensland FQPL 1 Women,"RB, RCB3, RCB",RB,41,RCB3,25,RCB,21,23.0,2002-12-06,0,,12,1151,0,0.04,0,0.0,17.12,61.64,Australia,['Australia'],unknown,0,0,False,12.2,11.03,74.47,1.56,55.0,0.0,0.0,0.39,3.99,5.98,0.47000000000000003,1,0.08,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.86,9.09,0.0,0.0,0.86,9.09,0.08,0.7000000000000001,33.33,2.89,37.84,0.16,0.23,0.0,18.3,0.23,0.47000000000000003,33.78,68.52,20.1,64.2,2.58,78.79,26.19,75.22,6.88,48.86,19.21,29.91,0.0,0.0,0.0,0.08,0.0,0.0,0.0,5.71,60.27,0.9400000000000001,25.0,0.08,100.0,0.08,0.08,11.1,57.75,79.12,7.12,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.56,0.0,0.0,0.0,0.0,0,0.0
E. Phillips,Emily Phillips,-692033,Peninsula Power,Peninsula Power,https://cdn5.wyscout.com/photos/team/public/g32998_120x120.png,Queensland FQPL 1 Women,"CB, RCMF, RDMF",CB,25,RCMF,21,RDMF,12,28.0,1997-12-03,0,,12,1141,0,0.33,0,0.71,10.73,61.76,Australia,['Australia'],unknown,0,0,False,10.89,5.84,66.22,2.6,72.73,0.08,0.11,0.79,6.94,9.85,0.32,0,0.0,0,0.0,0.47000000000000003,0.0,0,0.0,0.03,0,0.0,10,0.79,30.0,0.0,0.0,0.24,66.67,0.24,66.67,0.0,0.0,0.08,0.24,33.33,0.79,30.0,0.16,0.24,0.0,13.17,0.24,0.0,32.89,66.67,16.33,51.21,3.0,92.11,26.74,71.68,5.99,44.74,19.36,36.18,0.06,0.63,0.0,0.0,0.24,0.0,0.0,5.68,47.22,0.71,11.11,0.55,14.29,0.16,0.0,7.73,41.84,83.06,9.78,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.6,1.81,0.16,100.0,0.9500000000000001,0,0.0
K. Covert,Kaylee Covert,-181127,Peninsula Power,Peninsula Power,https://cdn5.wyscout.com/photos/team/public/g32998_120x120.png,Queensland FQPL 1 Women,"CF, LW, LAMF",CF,36,LW,18,LAMF,16,24.0,2001-11-15,0,,12,1141,4,3.3,3,1.16,19.96,43.08,United States,['United States'],,160,0,False,6.78,5.68,68.06,1.1,21.43,0.16,0.22,0.0,2.76,3.92,0.32,0,0.0,0,0.0,3.87,0.32,4,0.32,0.26,0,0.0,36,2.84,41.67,11.111,0.24,2.68,29.41,2.21,25.0,0.47000000000000003,50.0,0.71,4.42,41.07,11.36,34.72,2.05,2.05,0.24,17.59,2.13,0.87,27.77,55.97,11.44,44.14,4.26,88.89,21.45,63.97,3.71,29.79,18.84,32.47,0.09,0.79,0.0,0.0,0.16,50.0,0.16,5.44,33.33,3.71,36.17,0.63,25.0,0.63,0.87,4.89,69.35,56.25,6.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.1,0.32,0.08,0.0,2.52,0,0.0
J. Kosegarten,Jacquelyn Kosegarten Lopez,-232507,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g36414_120x120.png,Queensland FQPL 1 Women,LCB,LCB,89,,0,,0,25.0,2001-02-16,0,,12,1135,2,1.0,1,1.37,13.64,56.98,Mexico,['Mexico'],,162,59,False,7.61,6.42,66.67,1.11,35.71,0.24,0.34,0.24,3.09,4.42,0.71,2,0.16,0,0.0,2.46,0.16,2,0.16,0.08,0,0.0,10,0.79,60.0,20.0,0.08,1.43,22.22,0.71,22.22,0.71,22.22,0.4,2.38,66.67,4.76,53.33,0.63,1.43,0.0,15.38,0.24,0.63,30.05,65.96,18.24,57.83,1.35,100.0,19.9,78.88,8.72,43.64,22.37,32.65,0.11,0.71,0.0,0.0,0.08,100.0,0.24,5.55,54.29,0.9500000000000001,16.67,0.48,16.67,0.0,0.32,9.59,59.5,80.43,7.3,0,,0,,0,0.0,0.0,0.0,,,0.56,,1.11,0.32,0.08,100.0,0.16,0,0.0
A. Serna,Adrianna Serna,-277042,Moreton City Excelsior,Moreton City Excelsior,https://cdn5.wyscout.com/photos/team/public/g-20952_120x120.png,Queensland FQPL 1 Women,"AMF, RDMF",AMF,49,RDMF,15,,0,,,0,,12,1132,3,1.06,3,2.49,27.03,49.41,United States,['United States'],unknown,160,0,False,10.42,7.16,81.11,1.35,70.59,0.08,0.09,0.24,4.53,5.25,0.64,1,0.08,0,0.0,4.37,0.24,3,0.24,0.08,1,0.08,13,1.03,61.54,23.077,0.24,2.62,36.36,0.56,42.86,2.07,34.62,0.16,4.05,68.63,16.14,35.47,2.15,1.5899999999999999,0.08,26.63,1.83,0.8,46.75,81.46,15.19,72.25,9.62,95.87,41.42,86.95,2.86,38.89,16.62,29.23,0.2,1.75,0.08,0.08,0.0,0.0,0.64,7.71,73.2,2.46,38.71,0.08,0.0,0.56,0.9500000000000001,7.71,78.35,80.81,13.67,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.35,0.56,0.08,0.0,1.27,0,0.0
C. Buhmann,Cassandra Buhmann,-713375,Caboolture,Caboolture,https://cdn5.wyscout.com/photos/team/public/g36414_120x120.png,Queensland FQPL 1 Women,RCB,RCB,97,,0,,0,34.0,1992-05-28,0,,12,1132,3,1.6099999999999999,0,0.35000000000000003,10.73,58.52,Australia,['Australia'],unknown,0,0,False,7.0,4.61,79.31,3.18,47.5,0.16,0.23,0.24,3.18,4.55,0.4,1,0.08,0,0.0,0.48,0.24,3,0.24,0.13,2,0.16,8,0.64,62.5,37.5,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.16,50.0,1.75,36.36,1.27,0.4,0.0,12.24,0.08,0.48,30.85,71.13,18.29,61.3,3.74,91.49,21.86,80.36,8.9,49.11,21.8,32.02,0.03,0.16,0.08,0.0,0.0,0.0,0.08,4.29,53.7,0.4,40.0,0.16,50.0,0.4,0.08,9.3,54.7,87.64,7.08,0,,0,,0,0.0,0.0,0.0,,,1.35,,3.18,0.0,0.0,0.0,0.0,0,0.0
S. Murphy,Sonja Murphy,-323928,Palm Beach,Palm Beach,https://cdn5.wyscout.com/photos/team/public/g-25724_120x120.png,Queensland FQPL 1 Women,"LCB, LCB3, LB",LCB,71,LCB3,12,LB,11,33.0,1992-09-23,0,,12,1123,0,0.52,0,0.15,14.99,61.5,Australia,['Australia'],unknown,0,0,False,14.83,8.58,75.7,2.89,50.0,0.4,0.5,1.28,7.93,9.97,0.32,0,0.0,0,0.0,0.56,0.0,0,0.0,0.04,0,0.0,7,0.56,42.86,0.0,0.0,0.4,40.0,0.4,40.0,0.0,0.0,0.08,0.16,100.0,1.6,35.0,0.72,1.04,0.08,20.2,0.24,0.32,44.16,73.32,24.36,67.43,5.45,92.65,36.38,79.3,7.37,45.65,19.63,31.57,0.01,0.24,0.0,0.08,0.08,0.0,0.08,6.33,51.9,0.48,33.33,0.24,0.0,0.16,0.08,11.38,49.3,82.2,9.46,0,,0,,0,0.0,0.0,0.0,,,3.85,,2.89,0.0,0.0,0.0,0.0,0,0.0
