Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Findlay,Danni  Findlay,-737323,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/g11460_120x120.png,SWPL 2,"CF, AMF",CF,61,AMF,21,,0,31.0,1994-12-23,0,,25,2379,11,9.45,1,1.99,25.27,40.87,Scotland,['Scotland'],unknown,0,0,False,6.66,4.92,70.0,4.35,46.96,0.0,0.0,0.23,3.22,4.73,0.9500000000000001,0,0.0,0,0.0,3.29,0.42,8,0.30000000000000004,0.36,4,0.15,70,2.65,45.71,15.714,0.04,1.1,10.34,0.45,25.0,0.61,0.0,0.19,3.71,51.02,13.77,30.22,2.91,1.1,0.04,13.43,2.08,1.17,27.92,64.63,9.08,43.75,6.66,88.64,24.14,70.22,2.69,36.62,17.03,33.35,0.08,0.91,0.04,0.0,0.23,33.33,0.34,5.15,42.65,2.35,27.42,0.64,41.18,0.79,0.11,3.75,63.64,65.03,6.17,0,,0,,0,0.0,0.0,0.0,,,0.04,,4.35,0.34,0.23,50.0,0.19,3,100.0
E. Kane,Ellie Kane,517272,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g5422_120x120.png,SWPL 2,CF,CF,94,,0,,0,26.0,2000-03-02,0,,26,2325,10,14.03,7,3.47,18.81,36.21,Scotland,['Scotland'],,0,0,False,4.49,2.83,68.49,2.79,31.94,0.08,0.12,0.04,2.48,3.73,0.46,2,0.08,0,0.0,3.87,0.39,10,0.39,0.54,0,0.0,96,3.7199999999999998,40.63,10.417,0.27,1.82,42.55,0.62,43.75,1.08,42.86,0.0,2.67,55.07,10.99,28.87,4.8,1.2,0.04,16.68,2.83,0.7000000000000001,30.23,71.7,6.97,49.44,9.21,88.24,26.09,75.52,2.44,50.79,17.18,31.28,0.13,1.55,0.04,0.04,0.19,60.0,0.7000000000000001,3.33,56.98,2.9,36.0,0.35000000000000003,55.56,1.01,0.77,3.95,73.53,71.49,8.83,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.79,0.5,0.39,40.0,0.12,0,0.0
Rob. McCafferty,Robyn McCafferty,-74827,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g7114_120x120.png,SWPL 2,"CB, RCB, LCB",CB,40,RCB,36,LCB,22,22.0,2003-06-30,0,,25,2320,1,2.77,1,0.65,11.02,72.18,Scotland,['Scotland'],,0,0,False,8.38,5.04,83.85,3.03,71.79,0.23,0.36,0.31,3.92,6.01,0.35000000000000003,2,0.08,0,0.0,0.23,0.04,1,0.04,0.11,1,0.04,23,0.89,8.7,4.348,0.04,0.31,12.5,0.19,20.0,0.08,0.0,0.08,0.19,60.0,1.75,46.67,1.13,0.66,0.0,32.35,0.16,0.43,53.84,77.88,28.4,66.12,4.19,95.37,42.09,89.22,11.44,37.97,23.57,40.71,0.03,0.16,0.04,0.04,0.0,0.0,0.04,9.85,41.34,1.82,27.66,1.16,23.33,0.54,0.04,12.3,69.09,92.51,18.12,0,,0,,0,0.0,0.0,0.0,,,3.26,,3.03,0.08,0.0,0.0,0.0,0,0.0
L. Sidey,Leah Sidey,-364450,Boroughmuir Thistle,Boroughmuir Thistle,https://cdn5.wyscout.com/photos/team/public/g11461_120x120.png,SWPL 2,LB,LB,98,,0,,0,20.0,2005-07-03,0,,25,2310,4,1.82,3,3.81,24.12,61.87,Scotland,['Scotland'],unknown,0,0,False,12.7,10.36,72.93,3.12,62.5,0.19,0.28,0.08,4.95,7.06,0.39,2,0.08,0,0.0,4.09,0.16,4,0.16,0.07,2,0.08,27,1.05,44.44,14.815,0.12,4.29,36.36,4.25,36.7,0.04,0.0,0.7000000000000001,2.69,75.36,8.65,51.8,0.9,2.81,0.31,23.18,0.86,0.66,42.39,53.95,25.68,48.71,3.7,87.37,26.65,65.79,11.61,33.56,23.93,37.31,0.15,1.25,0.04,0.0,0.12,33.33,0.51,11.69,42.0,5.26,30.37,0.9400000000000001,25.0,0.31,1.48,14.3,64.58,57.82,8.22,0,,0,,0,0.0,0.0,0.0,,,0.62,,3.12,0.58,0.08,50.0,0.86,0,0.0
M. Hay,Morgan Hay,-364485,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g5422_120x120.png,SWPL 2,RB,RB,93,,0,,0,23.0,2003-03-06,0,,26,2304,2,1.3599999999999999,1,0.96,15.55,53.52,Scotland,['Scotland'],unknown,0,0,False,9.8,7.07,73.48,0.78,45.0,0.0,0.0,0.08,4.61,6.82,0.47000000000000003,3,0.12,0,0.0,1.88,0.08,2,0.08,0.05,0,0.0,20,0.78,35.0,10.0,0.04,2.11,22.22,0.12,33.33,1.99,21.57,0.39,1.8399999999999999,59.57,6.13,33.12,0.8200000000000001,1.6800000000000002,0.12,27.58,1.33,0.55,42.62,71.86,21.6,65.1,5.35,89.78,35.94,79.13,4.65,37.82,19.36,39.45,0.04,0.7000000000000001,0.04,0.0,0.04,100.0,0.2,7.54,63.21,2.38,29.51,0.27,28.57,0.47000000000000003,0.51,11.29,66.44,76.45,9.45,0,,0,,0,0.0,0.0,0.0,,,0.66,,0.78,0.23,0.0,0.0,0.08,0,0.0
B. Rennie,Beth Rennie,-364406,Boroughmuir Thistle,Boroughmuir Thistle,https://cdn5.wyscout.com/photos/team/public/g11461_120x120.png,SWPL 2,GK,GK,100,,0,,0,20.0,2006-03-27,0,,24,2284,0,0.0,1,0.11,0.51,61.54,Scotland,['Scotland'],unknown,0,0,False,1.85,0.08,0.0,0.2,80.0,0.0,0.0,0.0,1.85,2.68,0.12,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,60.0,0.0,0.04,0.0,6.11,0.0,0.16,14.93,83.11,6.19,63.69,0.0,0.0,9.38,97.9,5.5600000000000005,58.16,27.08,38.95,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.28,28.57,0.0,0.0,0.0,0.0,0.04,0.0,3.7800000000000002,51.04,97.42,7.64,21,0.8300000000000001,93,3.66,11,77.42,22.09,0.87,1.09,0.043000000000000003,0.0,0.63,0.2,,,,0.0,0,0.0
E. MacDonald,Ellie  MacDonald,-512166,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g5422_120x120.png,SWPL 2,"LB, LCB, DMF",LB,28,LCB,23,DMF,20,24.0,2002-01-20,0,,25,2244,1,1.47,3,2.64,16.16,51.12,Scotland,['Scotland'],unknown,160,0,False,12.03,7.66,64.4,1.24,51.61,0.16,0.24,0.48,6.94,10.26,1.04,2,0.08,0,0.0,1.8,0.04,1,0.04,0.06,0,0.0,30,1.2,46.67,3.333,0.12,1.2,26.67,0.64,43.75,0.56,7.14,0.12,1.52,57.89,5.53,36.23,0.36,1.28,0.0,29.12,0.84,0.52,50.25,72.15,25.91,61.92,4.73,84.75,39.43,80.98,9.67,41.49,21.22,38.95,0.11,1.08,0.04,0.08,0.04,100.0,0.28,10.79,55.02,2.13,30.19,1.0,36.0,0.48,0.32,13.48,62.5,86.24,14.28,0,,0,,0,0.0,0.0,0.0,,,1.04,,1.24,1.0,0.36,44.44,2.89,0,0.0
J. McPhie,Jasmine McPhie,-364509,Queen's Park,Queen's Park,https://cdn5.wyscout.com/photos/team/public/g5422_120x120.png,SWPL 2,GK,GK,100,,0,,0,22.0,2004-04-28,0,,24,2242,0,0.0,0,0.0,1.16,75.86,Scotland,['Scotland'],unknown,0,0,False,1.77,0.08,0.0,0.48,83.33,0.0,0.0,0.0,1.77,2.67,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,88.89,0.0,0.0,0.0,14.33,0.08,0.36,24.17,86.21,9.83,71.84,0.0,0.0,18.67,97.85,5.46,47.06,22.35,36.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,3.65,30.77,96.22,11.68,23,0.92,116,4.66,7,80.17,28.75,1.15,5.75,0.231,0.0,1.12,0.48,,,,0.0,0,0.0
R. Todd,Rachel Todd,-366360,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/g11460_120x120.png,SWPL 2,"LB, LCB3, LAMF",LB,53,LCB3,23,LAMF,11,29.0,1997-03-12,0,,23,2198,1,1.09,2,1.48,17.77,56.45,Scotland,['Scotland'],left,0,0,False,9.66,6.8,69.28,1.8399999999999999,60.0,0.16,0.24,0.25,4.79,7.01,0.66,6,0.25,0,0.0,2.7,0.04,1,0.04,0.04,0,0.0,8,0.33,62.5,12.5,0.08,2.54,24.19,2.33,21.05,0.2,60.0,0.5700000000000001,2.58,73.02,6.96,45.88,0.61,1.06,0.12,18.14,0.41000000000000003,0.45,38.24,59.74,24.12,55.01,3.2800000000000002,82.5,26.16,71.05,9.58,38.03,22.55,36.79,0.06,0.41000000000000003,0.0,0.0,0.0,0.0,0.16,10.03,48.16,2.66,27.69,0.45,0.0,0.16,0.61,11.67,62.46,65.45,6.76,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.8399999999999999,0.16,0.0,0.0,0.45,0,0.0
A. Yates,Alicia Yates,-74819,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g7114_120x120.png,SWPL 2,GK,GK,100,,0,,0,22.0,2003-05-27,0,,23,2185,0,0.0,0,0.08,0.45,81.82,Scotland,['Scotland'],,0,0,False,1.6099999999999999,0.0,0.0,0.33,87.5,0.0,0.0,0.0,1.6099999999999999,2.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,25.87,0.0,0.08,36.0,87.87,16.02,76.09,0.0,0.0,26.32,97.97,9.56,61.21,27.74,42.6,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.85,44.44,0.04,0.0,0.37,55.56,0.0,0.0,6.71,64.42,98.2,18.29,8,0.33,63,2.59,16,87.3,13.72,0.5700000000000001,5.72,0.23600000000000002,0.0,0.99,0.33,,,,0.0,0,0.0
