Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Leighton,Kenady Leighton,-231691,Keilor Park,Keilor Park,https://cdn5.wyscout.com/photos/team/public/g38827_120x120.png,Victoria NPL Women,RCB,RCB,98,,0,,0,24.0,2001-11-02,0,,19,1843,0,0.0,1,0.7000000000000001,9.23,60.85,United States,['United States'],,173,0,False,10.94,5.42,73.87,1.81,48.65,0.2,0.21,1.07,6.74,7.19,0.2,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.05,0.15,33.33,0.1,50.0,0.05,0.0,0.0,0.05,0.0,0.98,20.0,0.1,0.1,0.0,12.55,0.1,0.15,28.71,65.82,17.43,54.06,1.76,97.22,16.95,82.42,11.67,41.84,25.31,35.89,0.03,0.24,0.05,0.0,0.0,0.0,0.05,4.3,27.27,0.63,7.69,0.63,46.15,0.1,0.1,9.33,40.84,87.04,7.91,0,,0,,0,0.0,0.0,0.0,,,1.42,,1.81,0.59,0.0,0.0,0.0,0,0
B. Bennett,Brooke Bennett,-380888,Avondale,Avondale,https://cdn5.wyscout.com/photos/team/public/g-25655_120x120.png,Victoria NPL Women,GK,GK,100,,0,,0,24.0,2001-12-11,0,,19,1842,0,0.0,1,0.0,0.78,75.0,New Zealand,['New Zealand'],unknown,0,0,False,1.9500000000000002,0.0,0.0,0.49,90.0,0.0,0.0,0.0,1.9500000000000002,2.69,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,24.14,0.1,0.05,33.71,80.72,17.88,66.67,0.05,100.0,22.33,97.59,11.34,47.84,27.62,43.97,0.0,0.0,0.05,0.05,0.0,0.0,0.05,1.71,28.57,0.24,20.0,0.15,66.67,0.0,0.0,7.18,53.74,97.19,13.93,22,1.07,91,4.45,5,75.82,23.94,1.17,1.94,0.095,0.05,1.32,0.49,,,,0.0,0,0
I. Accardo,Isabella Accardo,-316550,Avondale,Avondale,https://cdn5.wyscout.com/photos/team/public/g-25655_120x120.png,Victoria NPL Women,LCB,LCB,94,,0,,0,20.0,2005-10-10,0,,19,1842,3,1.38,0,0.24,13.14,62.45,Australia,['Australia'],,0,0,False,10.41,6.64,78.68,1.76,47.22,0.15,0.2,0.59,5.03,6.93,0.29,2,0.1,0,0.0,0.8300000000000001,0.15,3,0.15,0.07,1,0.05,9,0.44,33.33,33.333,0.0,0.24,40.0,0.15,0.0,0.1,100.0,0.0,0.73,80.0,3.52,44.44,0.93,0.78,0.34,29.02,0.1,0.54,50.33,87.57,16.66,73.02,8.01,98.78,45.15,91.45,4.98,53.92,20.64,36.29,0.01,0.1,0.1,0.0,0.0,0.0,0.05,3.66,56.0,0.59,25.0,0.2,25.0,0.05,0.1,6.94,54.93,95.67,21.45,0,,0,,0,0.0,0.0,0.0,,,6.06,,1.76,0.0,0.0,0.0,0.0,0,0
Y. Sato,Yuka Sato,-583480,Bentleigh Greens,Bentleigh Greens,https://cdn5.wyscout.com/photos/team/public/g-21488_120x120.png,Victoria NPL Women,"RDMF, RCMF, LDMF",RDMF,26,RCMF,13,LDMF,10,26.0,1999-08-17,0,,19,1829,1,0.91,0,0.51,17.67,45.13,Japan,['Japan'],unknown,0,0,False,8.86,6.05,71.54,2.17,36.36,0.15,0.16,0.15,4.38,4.78,0.39,0,0.0,0,0.0,1.08,0.05,1,0.05,0.04,0,0.0,20,0.98,25.0,5.0,0.0,0.34,28.57,0.2,25.0,0.1,0.0,0.05,1.38,53.57,7.68,30.13,0.49,0.59,0.05,15.99,1.08,0.74,31.59,70.87,12.65,57.98,5.51,95.54,28.15,76.75,3.1,22.22,15.89,29.96,0.03,0.25,0.0,0.1,0.0,0.0,0.05,4.13,45.24,0.98,20.0,0.39,0.0,0.1,0.1,5.27,44.86,72.84,7.97,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.17,0.1,0.05,100.0,0.0,0,0
E. Ingles,Emilia Ingles,-582702,Keilor Park,Keilor Park,https://cdn5.wyscout.com/photos/team/public/g38827_120x120.png,Victoria NPL Women,LCB,LCB,98,,0,,0,19.0,2006-10-17,0,,19,1829,2,0.79,0,0.06,14.22,58.48,Australia,['Australia'],unknown,0,0,False,13.48,7.28,73.65,1.87,55.26,0.6900000000000001,0.73,0.64,7.43,7.92,0.6900000000000001,1,0.05,0,0.0,0.49,0.1,2,0.1,0.04,2,0.1,3,0.15,66.67,66.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,57.14,3.74,31.58,0.39,0.05,0.15,9.79,0.05,0.44,25.34,64.85,14.96,56.25,1.77,77.78,19.98,69.7,5.36,46.79,19.98,31.34,0.0,0.15,0.0,0.0,0.0,0.0,0.0,2.17,38.64,0.15,33.33,0.05,0.0,0.15,0.0,7.43,31.79,77.5,5.9,0,,0,,0,0.0,0.0,0.0,,,0.84,,1.87,0.0,0.0,0.0,0.0,0,0
S. Laskey,Summer Laskey,-271358,Alamein,Alamein,https://cdn5.wyscout.com/photos/team/public/g35950_120x120.png,Victoria NPL Women,"CF, LAMF, LW",CF,41,LAMF,32,LW,23,23.0,2002-11-24,0,,19,1808,7,7.6,2,5.5600000000000005,28.57,49.13,United States,['United States'],unknown,168,0,False,6.37,5.67,72.81,2.19,47.73,0.0,0.0,0.0,2.24,3.03,0.8,0,0.0,0,0.0,7.07,0.35000000000000003,7,0.35000000000000003,0.38,0,0.0,71,3.5300000000000002,53.52,9.859,0.1,3.98,37.5,3.09,35.48,0.85,41.18,0.75,5.58,66.07,17.17,42.9,4.28,3.38,0.25,14.68,2.49,1.54,23.64,64.42,4.98,44.0,5.58,84.82,18.07,72.18,1.74,40.0,18.1,25.21,0.28,1.34,0.0,0.0,0.15,0.0,1.1400000000000001,2.24,53.33,4.13,33.73,0.30000000000000004,16.67,0.65,1.69,4.43,65.17,59.17,8.41,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.19,0.0,0.0,0.0,0.65,0,0
N. Duston,Neve  Duston,-503769,Alamein,Alamein,https://cdn5.wyscout.com/photos/team/public/g35950_120x120.png,Victoria NPL Women,"LCMF, RDMF, LDMF",LCMF,35,RDMF,25,LDMF,23,25.0,2001-06-25,0,,19,1807,6,6.34,0,3.01,22.91,55.87,United States,['United States'],unknown,160,0,False,10.31,7.87,78.48,3.04,47.54,0.4,0.54,0.05,3.74,5.03,0.8,2,0.1,0,0.0,2.59,0.30000000000000004,2,0.1,0.32,0,0.0,57,2.84,33.33,10.526,0.0,0.9500000000000001,47.37,0.4,50.0,0.55,45.45,0.15,2.19,50.0,9.31,39.04,1.1,0.85,0.1,18.58,1.05,0.85,37.85,69.87,16.73,54.76,5.58,91.96,30.98,73.47,5.93,54.62,19.32,33.75,0.15,1.6400000000000001,0.05,0.0,0.25,40.0,0.35000000000000003,8.92,54.19,2.09,30.95,0.9,33.33,0.25,0.5,8.62,68.21,79.81,10.36,0,,0,,0,0.0,0.0,0.0,,,0.15,,3.04,1.69,0.55,18.18,3.04,4,100
E. Bougias,Estelle Bougias,-583487,Alamein,Alamein,https://cdn5.wyscout.com/photos/team/public/g35950_120x120.png,Victoria NPL Women,RB,RB,95,,0,,0,23.0,2002-10-24,0,,19,1797,0,0.17,0,0.28,19.53,56.67,Australia,['Australia'],unknown,0,0,False,13.27,9.72,71.65,2.05,60.98,0.4,0.54,0.2,5.91,7.96,0.35000000000000003,2,0.1,0,0.0,1.25,0.0,0,0.0,0.01,0,0.0,3,0.15,0.0,0.0,0.0,0.9,38.89,0.0,0.0,0.9,38.89,0.1,1.55,51.61,5.46,33.94,0.05,1.25,0.30000000000000004,19.08,0.7000000000000001,0.4,36.61,71.27,17.43,62.07,5.66,92.92,30.55,77.38,5.16,40.78,19.8,34.71,0.01,0.35000000000000003,0.0,0.05,0.15,66.67,0.0,5.8100000000000005,56.9,1.8,47.22,0.7000000000000001,42.86,0.45,0.35000000000000003,9.37,59.36,77.78,9.47,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.05,0.0,0.0,0.0,0.0,0,0
S. Minarik,Sydney Minarik,-272410,Box Hill United,Box Hill United,https://cdn5.wyscout.com/photos/team/public/g27333_120x120.png,Victoria NPL Women,"RCB, LB",RCB,69,LB,19,,0,23.0,2003-03-18,0,,19,1779,3,1.53,1,0.5,13.51,61.05,United States,['United States'],unknown,162,0,False,11.13,6.12,74.38,1.77,45.71,0.25,0.37,0.2,6.32,9.28,0.30000000000000004,1,0.05,0,0.0,1.06,0.15,3,0.15,0.08,0,0.0,16,0.81,37.5,18.75,0.05,0.71,14.29,0.25,0.0,0.46,22.22,0.05,1.11,59.09,3.84,50.0,1.06,1.26,0.1,44.62,1.16,0.66,63.69,80.94,25.4,67.53,4.45,94.32,53.98,88.0,9.06,44.13,21.68,38.08,0.03,0.15,0.0,0.1,0.0,0.0,0.1,7.54,57.72,1.06,9.52,0.30000000000000004,0.0,0.35000000000000003,0.05,12.7,56.97,91.99,28.43,0,,0,,0,0.0,0.0,0.0,,,1.67,,1.77,0.05,0.05,0.0,0.0,0,0
K. Bercelli,Kiara Bercelli,-303964,Box Hill United,Box Hill United,https://cdn5.wyscout.com/photos/team/public/g27333_120x120.png,Victoria NPL Women,"LW, LAMF",LW,50,LAMF,24,,0,21.0,2005-02-23,0,,19,1757,9,6.63,15,6.69,25.3,47.17,New Zealand,['New Zealand'],unknown,0,0,False,7.17,5.38,63.81,2.2,44.19,0.2,0.30000000000000004,0.05,3.5300000000000002,5.12,0.97,2,0.1,0,0.0,6.35,0.46,9,0.46,0.34,0,0.0,58,2.9699999999999998,51.72,15.517,0.77,2.9699999999999998,31.03,2.46,31.25,0.51,30.0,0.2,6.51,58.27,15.73,41.69,3.5300000000000002,4.46,0.46,27.05,3.94,1.13,39.9,75.48,9.53,62.37,12.24,92.05,34.11,81.08,2.92,52.63,18.22,34.47,0.34,2.1,0.05,0.26,0.26,40.0,1.33,4.66,60.44,3.64,42.25,0.41000000000000003,37.5,1.43,1.02,5.89,74.78,73.91,11.78,0,,0,,0,0.0,0.0,0.0,,,0.1,,2.2,0.31,0.1,100.0,0.87,0,0
