Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Mccartney,Kimberley Mccartney,-580872,Perth,Perth,https://cdn5.wyscout.com/photos/team/public/g-21135_120x120.png,Western Australia NPL Women,RCB,RCB,92,,0,,0,31.0,1994-08-06,0,,14,1342,2,1.3,2,1.44,5.77,62.79,Australia,['Australia'],unknown,0,0,False,6.1,3.62,77.78,0.87,38.46,0.0,0.0,0.34,3.29,4.3,0.34,0,0.0,0,0.0,0.4,0.13,2,0.13,0.09,1,0.07,9,0.6000000000000001,66.67,22.222,0.13,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.13,0.0,0.54,0.0,0.34,0.34,0.0,37.62,0.34,0.0,52.44,85.55,21.66,72.45,3.08,95.65,42.85,92.33,9.52,55.63,20.57,33.08,0.1,0.74,0.0,0.07,0.0,0.0,0.13,6.24,60.22,0.54,25.0,0.34,40.0,0.13,0.0,9.79,67.12,96.76,22.73,0,,0,,0,0.0,0.0,0.0,,,2.68,,0.87,1.4100000000000001,0.27,75.0,0.0,0,0
C. Souza,Cassia Souza,-826384,Fremantle City,Fremantle City,https://cdn5.wyscout.com/photos/team/public/g35856_120x120.png,Western Australia NPL Women,GK,GK,100,,0,,0,,,0,,14,1336,0,0.0,0,0.0,0.81,50.0,Australia,['Australia'],unknown,0,0,False,2.36,0.13,50.0,0.34,80.0,0.07,0.09,0.0,2.22,2.98,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,11.05,0.0,0.0,21.15,79.3,13.27,73.6,0.0,0.0,14.08,94.26,7.07,49.52,27.1,39.87,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.34,60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,37.5,88.24,6.87,16,1.08,82,5.52,4,80.49,16.29,1.1,0.29,0.02,0.0,1.08,0.34,,,,0.0,0,0
L. Hope,Lucy Hope,-580878,Sorrento,Sorrento,https://cdn5.wyscout.com/photos/team/public/g-25930_120x120.png,Western Australia NPL Women,RCB,RCB,100,,0,,0,19.0,2006-12-27,0,,14,1331,0,0.0,0,0.24,9.53,60.28,Australia,['Australia'],unknown,0,0,False,10.48,6.29,65.59,1.01,46.67,0.14,0.15,0.61,6.22,6.87,0.34,0,0.0,0,0.0,0.27,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,66.67,1.35,50.0,0.07,0.27,0.14,26.1,0.2,0.07,40.44,74.92,21.3,62.54,2.43,97.22,34.69,82.46,5.75,29.41,20.24,32.1,0.02,0.07,0.07,0.0,0.0,0.0,0.07,2.23,36.36,0.27,50.0,0.07,100.0,0.14,0.0,8.38,30.65,91.54,13.59,0,,0,,0,0.0,0.0,0.0,,,2.23,,1.01,0.0,0.0,0.0,0.0,0,0
C. Doeglas,Caitlin Doeglas,-825399,Balcatta,Balcatta,https://cdn5.wyscout.com/photos/team/public/g33151_120x120.png,Western Australia NPL Women,"CF, LAMF, RAMF",CF,56,LAMF,10,RAMF,10,,,0,,14,1325,11,12.23,4,2.41,16.37,45.64,Australia,['Australia'],unknown,0,0,False,5.37,4.89,65.28,1.22,38.89,0.0,0.0,0.0,2.17,3.36,0.54,1,0.07,0,0.0,7.06,0.75,11,0.75,0.8300000000000001,0,0.0,94,6.38,57.45,11.702,0.27,3.19,31.91,1.63,37.5,1.56,26.09,0.8200000000000001,3.74,60.0,8.22,34.71,5.91,2.65,0.41000000000000003,25.61,4.01,0.2,31.65,60.94,9.78,48.61,5.64,83.13,25.95,67.02,2.58,34.21,16.59,32.8,0.16,1.56,0.07,0.14,0.14,100.0,0.9500000000000001,3.94,43.1,4.42,33.85,0.75,36.36,1.15,1.15,4.82,63.38,57.58,8.97,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.22,0.34,0.2,33.33,0.48,0,0
R. Bennett,Rebecca Bennett,-234165,Balcatta,Balcatta,https://cdn5.wyscout.com/photos/team/public/g33151_120x120.png,Western Australia NPL Women,GK,GK,100,,0,,0,32.0,1993-11-19,0,,14,1325,0,0.0,0,0.03,0.8200000000000001,83.33,Australia,['Australia'],,0,0,False,2.17,0.2,66.67,0.48,100.0,0.0,0.0,0.0,2.04,3.15,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.07,0.0,0.0,17.52,0.61,0.0,30.43,77.9,16.78,63.56,0.07,100.0,18.48,97.06,11.75,49.13,30.3,41.86,0.0,0.07,0.07,0.0,0.0,0.0,0.07,2.17,40.63,0.2,66.67,0.07,0.0,0.14,0.0,8.29,47.54,96.63,12.09,11,0.75,56,3.8,7,80.36,10.37,0.7000000000000001,-0.63,-0.043000000000000003,0.0,1.43,0.48,,,,0.0,0,0
A. Meakins,Abbey Meakins,-105699,Balcatta,Balcatta,https://cdn5.wyscout.com/photos/team/public/g33151_120x120.png,Western Australia NPL Women,"RDMF, RCMF, AMF",RDMF,21,RCMF,16,AMF,15,26.0,1999-10-07,0,,14,1325,8,5.83,1,2.73,18.95,49.82,Australia,['Australia'],,0,0,False,9.51,8.42,67.74,0.88,46.15,0.07,0.1,0.07,3.74,5.77,0.68,0,0.0,0,0.0,3.8,0.54,7,0.48,0.4,1,0.07,70,4.75,45.71,11.429,0.07,0.88,30.77,0.14,0.0,0.75,36.36,0.14,2.24,54.55,7.47,30.91,3.26,0.88,0.0,34.98,2.17,0.75,47.14,81.12,15.83,70.39,11.75,95.38,42.59,85.01,3.74,47.27,16.7,35.71,0.19,1.9,0.14,0.0,0.14,100.0,0.54,8.97,63.64,2.51,45.95,0.34,40.0,1.15,0.34,7.74,81.58,79.56,12.29,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.88,0.9500000000000001,0.8200000000000001,41.67,0.68,1,100
L. Tana,Louise Tana,-580873,Perth,Perth,https://cdn5.wyscout.com/photos/team/public/g-21135_120x120.png,Western Australia NPL Women,RB,RB,92,,0,,0,19.0,2006-10-16,0,,14,1312,1,0.45,0,0.09,17.08,59.04,Australia,['Australia'],unknown,0,0,False,14.47,10.77,69.43,0.8200000000000001,33.33,0.07,0.09,0.07,6.93,9.07,0.89,1,0.07,0,0.0,1.44,0.07,1,0.07,0.03,0,0.0,7,0.48,57.14,14.286,0.0,1.1,25.0,0.0,0.0,1.1,25.0,0.27,1.37,65.0,3.98,46.55,0.41000000000000003,0.62,0.14,29.43,0.55,0.62,44.86,85.17,19.14,78.85,7.48,90.83,41.98,88.07,1.85,55.56,16.22,26.74,0.01,0.34,0.07,0.0,0.0,0.0,0.0,4.87,70.42,0.96,14.29,0.21,0.0,0.0,0.27,7.55,72.73,90.42,11.46,0,,0,,0,0.0,0.0,0.0,,,0.96,,0.8200000000000001,0.0,0.0,0.0,0.0,0,0
A. Leek,Annabelle Leek,-580824,Fremantle City,Fremantle City,https://cdn5.wyscout.com/photos/team/public/g35856_120x120.png,Western Australia NPL Women,"RCB, CB",RCB,76,CB,23,,0,24.0,2002-01-04,0,,14,1308,2,2.56,2,0.98,6.61,56.25,Australia,['Australia'],unknown,0,0,False,7.91,4.13,71.67,0.55,37.5,0.14,0.18,0.89,4.82,6.42,0.14,1,0.07,0,0.0,0.41000000000000003,0.14,1,0.07,0.18,0,0.0,6,0.41000000000000003,66.67,33.333,0.14,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.21,33.33,1.31,15.79,0.48,0.62,0.0,38.46,0.21,0.14,57.8,82.74,29.38,72.83,2.96,95.35,50.37,89.62,7.36,35.51,19.9,36.33,0.07,0.48,0.0,0.14,0.0,0.0,0.28,6.19,45.56,1.24,16.67,1.65,16.67,0.28,0.07,10.87,58.86,93.71,20.78,0,,0,,0,0.0,0.0,0.0,,,2.2,,0.55,0.76,0.07,100.0,0.0,1,100
L. Heys,Lacey Heys,-589463,Fremantle City,Fremantle City,https://cdn5.wyscout.com/photos/team/public/g35856_120x120.png,Western Australia NPL Women,"LDMF, AMF, LCMF",LDMF,21,AMF,18,LCMF,14,,,0,,14,1289,5,3.98,3,2.34,24.44,49.43,Australia,['Australia'],,0,0,False,10.05,6.98,71.0,2.16,54.84,0.42,0.56,0.14,4.68,6.28,0.84,2,0.14,0,0.0,3.42,0.35000000000000003,5,0.35000000000000003,0.28,0,0.0,33,2.3,30.3,15.152,0.21,1.47,38.1,0.56,62.5,0.84,16.67,0.21,3.77,57.41,12.08,37.57,2.79,2.51,0.14,26.04,1.33,0.84,40.08,78.22,11.87,62.35,7.89,93.81,35.82,82.85,2.86,39.02,17.31,35.46,0.16,0.98,0.0,0.07,0.21,0.0,0.91,6.21,65.17,2.79,45.0,0.63,11.11,1.33,0.7000000000000001,6.14,76.14,85.79,13.75,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.16,0.0,0.0,0.0,0.0,0,0
A. Caceres,Amalia Caceres,-580877,Sorrento,Sorrento,https://cdn5.wyscout.com/photos/team/public/g-25930_120x120.png,Western Australia NPL Women,GK,GK,100,,0,,0,18.0,2008-05-28,0,,14,1282,0,0.0,0,0.0,0.42,66.67,Australia,['Australia'],unknown,0,0,False,1.83,0.14,50.0,0.07,100.0,0.0,0.0,0.0,1.76,1.9500000000000002,0.07,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.14,100.0,0.0,0.0,0.0,9.27,0.07,0.07,21.48,89.54,8.71,78.23,0.0,0.0,17.62,96.81,3.86,56.36,21.23,31.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,28.95,97.83,9.69,37,2.6,140,9.83,0,73.57,31.48,2.21,-5.52,-0.388,0.0,0.49,0.07,,,,0.0,0,0
